species	max_age	min_age	lat	lon	family	mean_age	source	kingdom	citation
Ammospermophilus	13.6	10.3	34.299999	-119.0	Sciuridae	11.95	pbdb	Animalia	G. T. James. 1963. Paleontology and nonmarine stratigraphy of the Cuyama Valley badlands, California; Part 1, Geology, faunal interpretations, and systematic descriptions of Chiroptera, Insectivora, and Rodentia. University of California Publications in Geological Sciences 45:1-154
Ammospermophilus	13.6	10.3	34.299999	-119.0	Sciuridae	11.95	pbdb	Animalia	G. T. James. 1963. Paleontology and nonmarine stratigraphy of the Cuyama Valley badlands, California; Part 1, Geology, faunal interpretations, and systematic descriptions of Chiroptera, Insectivora, and Rodentia. University of California Publications in Geological Sciences 45:1-154
Ammospermophilus	13.6	10.3	34.299999	-119.0	Sciuridae	11.95	pbdb	Animalia	G. T. James. 1963. Paleontology and nonmarine stratigraphy of the Cuyama Valley badlands, California; Part 1, Geology, faunal interpretations, and systematic descriptions of Chiroptera, Insectivora, and Rodentia. University of California Publications in Geological Sciences 45:1-154
Ammospermophilus	4.9	1.8	46.299999	-119.099998	Sciuridae	3.35	pbdb	Animalia	E. P. Gustafson. 1978. The Vertebrate Faunas of the Pliocene Ringold Formation, South-Central Washington. Bulletin of the Museum of Natural History, University of Oregon 23:1-62
Ammospermophilus	0.0117	0.0	31.183332	-104.199997	Sciuridae	0.00585	pbdb	Animalia	W. W. Dalquest and F. B. Stangl, Jr. 1984. Late Pleistocene and early Recent mammals from Fowlkes Cave, southern Culberson County, Texas. Carnegie Museum of Natural History Special Publication 8:432-455
Ammospermophilus	13.6	10.3	43.599998	-117.5	Sciuridae	11.95	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Ammospermophilus	13.6	10.3	42.633331	-100.050003	Sciuridae	11.95	pbdb	Animalia	W. W. Korth. 1998. Annals of Carnegie Museum 67(4):299-348
Ammospermophilus	13.6	10.3	43.599998	-117.5	Sciuridae	11.95	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Ammospermophilus	13.6	10.3	42.299999	-98.0	Sciuridae	11.95	pbdb	Animalia	W. W. Korth. 1997. Paludicola 1(3):97-111
Ammospermophilus	0.126	0.0	39.483334	-114.033333	Sciuridae	0.063	pbdb	Animalia	T. H. Heaton. 1985. Quaternary paleontology and paleocology of Crystal Ball Cave, Millard County, Utah: with emphasis on mammals and description of a new species of fossil skunk. Great Basin Naturalist 45(3):337-390
Ammospermophilus	1.8	0.3	36.5	-107.0	Sciuridae	1.05	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Antrozous	4.9	1.8	32.716667	-100.916664	Vespertilionidae	3.35	pbdb	Animalia	W. W. Dalquest. 1978. Early Blancan mammals of the Beck Ranch local fauna of Texas. Journal of Mammalogy 59(2):269-298
Antrozous	4.9	1.8	32.0	-110.199997	Vespertilionidae	3.35	pbdb	Animalia	N. J. Czaplewski. 1993. Late Tertiary bats (Mammalia, Chiroptera) from the southwestern United States. Southwestern Naturalist 38(2):111-118
Antrozous	0.126	0.0117	31.566668	-108.400002	Vespertilionidae	0.06885	pbdb	Animalia	A. H. Harris. 1987. Reconstruction of mid Wisconsinan environments in southern New Mexico. National Geographic Research 3(2):142-151
