lng	lat	avg_age	paleolng	paleolat	x_present_albers	y_present_albers
-99.25	79.75	23	-86.59	80.38	-147126	5628495
-98.75	79.75	23	-86.06	80.37	-124498	5627781
-95.75	79.75	23	-82.92	80.28	11320	5625994
-95.25	79.75	23	-82.4	80.27	33958	5626113
-94.75	79.75	23	-81.89	80.25	56596	5626352
-94.25	79.75	23	-81.37	80.24	79233	5626709
-93.75	79.75	23	-80.85	80.23	101867	5627185
-93.25	79.75	23	-80.33	80.21	124498	5627781
-92.75	79.75	23	-79.82	80.2	147126	5628495
-92.25	79.75	23	-79.3	80.18	169750	5629329
-91.75	79.75	23	-78.79	80.17	192369	5630282
-91.25	79.75	23	-78.27	80.15	214983	5631353
-90.75	79.75	23	-77.76	80.14	237591	5632544
-90.25	79.75	23	-77.25	80.12	260192	5633853
-89.75	79.75	23	-76.74	80.11	282786	5635282
-89.25	79.75	23	-76.23	80.1	305373	5636829
-88.75	79.75	23	-75.72	80.08	327951	5638495
-88.25	79.75	23	-75.21	80.07	350519	5640280
-87.75	79.75	23	-74.7	80.05	373078	5642183
-87.25	79.75	23	-74.19	80.04	395627	5644206
-86.25	79.75	23	-73.18	80.01	440691	5648606
-85.75	79.75	23	-72.67	79.99	463205	5650984
-85.25	79.75	23	-72.17	79.98	485706	5653480
-84.75	79.75	23	-71.67	79.96	508194	5656095
-84.25	79.75	23	-71.16	79.95	530667	5658827
-83.75	79.75	23	-70.66	79.93	553126	5661679
-83.25	79.75	23	-70.16	79.92	575570	5664648
-82.75	79.75	23	-69.66	79.9	597998	5667735
-82.25	79.75	23	-69.16	79.89	620409	5670940
-81.25	79.75	23	-68.16	79.86	665179	5677704
-80.75	79.75	23	-67.66	79.85	687537	5681263
-80.25	79.75	23	-67.16	79.83	709876	5684939
-79.75	79.75	23	-66.67	79.82	732195	5688733
-79.25	79.75	23	-66.17	79.8	754494	5692643
-78.75	79.75	23	-65.68	79.79	776772	5696672
-78.25	79.75	23	-65.18	79.77	799028	5700817
-77.75	79.75	23	-64.69	79.76	821262	5705080
-77.25	79.75	23	-64.19	79.74	843474	5709459
-76.75	79.75	23	-63.7	79.73	865662	5713955
-76.25	79.75	23	-63.21	79.71	887826	5718568
-75.75	79.75	23	-62.72	79.7	909966	5723297
-75.25	79.75	23	-62.23	79.68	932081	5728143
-74.75	79.75	23	-61.74	79.67	954169	5733105
-74.25	79.75	23	-61.25	79.65	976232	5738183
-73.75	79.75	23	-60.76	79.64	998267	5743378
-72.75	79.75	23	-59.79	79.61	1042254	5754114
-72.25	79.75	23	-59.3	79.6	1064205	5759655
-71.75	79.75	23	-58.81	79.58	1086126	5765312
-64.75	79.75	23	-52.08	79.38	1389590	5856532
-64.25	79.75	23	-51.6	79.37	1410996	5863899
-63.75	79.75	23	-51.13	79.35	1432364	5871379
-63.25	79.75	23	-50.65	79.34	1453693	5878971
-62.75	79.75	23	-50.18	79.33	1474980	5886676
-62.25	79.75	23	-49.7	79.31	1496228	5894492
-61.75	79.75	23	-49.23	79.3	1517433	5902420
-61.25	79.75	23	-48.76	79.28	1538597	5910459
-60.75	79.75	23	-48.28	79.27	1559718	5918610
-60.25	79.75	23	-47.81	79.26	1580796	5926872
-59.75	79.75	23	-47.34	79.24	1601830	5935244
-59.25	79.75	23	-46.87	79.23	1622820	5943727
-58.75	79.75	23	-46.4	79.22	1643765	5952320
-58.25	79.75	23	-45.93	79.2	1664664	5961024
-57.75	79.75	23	-45.46	79.19	1685518	5969837
-57.25	79.75	23	-44.99	79.17	1706324	5978760
-56.75	79.75	23	-44.53	79.16	1727084	5987792
-56.25	79.75	23	-44.06	79.15	1747795	5996933
-55.75	79.75	23	-43.59	79.13	1768459	6006183
-55.25	79.75	23	-43.12	79.12	1789073	6015542
-54.75	79.75	23	-42.66	79.11	1809638	6025009
-54.25	79.75	23	-42.19	79.1	1830152	6034584
-53.75	79.75	23	-41.73	79.08	1850616	6044267
-53.25	79.75	23	-41.26	79.07	1871029	6054057
-52.75	79.75	23	-40.8	79.06	1891390	6063955
-52.25	79.75	23	-40.34	79.04	1911699	6073960
-105.25	79.25	23	-93.39	80.05	-420596	5621443
-104.75	79.25	23	-92.86	80.04	-397928	5619290
-104.25	79.25	23	-92.33	80.03	-375248	5617256
-103.75	79.25	23	-91.79	80.01	-352558	5615342
-103.25	79.25	23	-91.26	80	-329858	5613546
-92.25	79.25	23	-79.76	79.69	170737	5604327
-91.75	79.25	23	-79.24	79.67	193488	5605285
-91.25	79.25	23	-78.73	79.66	216233	5606363
-90.75	79.25	23	-78.22	79.65	238973	5607561
-90.25	79.25	23	-77.7	79.63	261705	5608878
-89.75	79.25	23	-77.19	79.62	284431	5610314
-89.25	79.25	23	-76.68	79.6	307148	5611871
-88.75	79.25	23	-76.17	79.59	329858	5613546
-88.25	79.25	23	-75.66	79.57	352558	5615342
-87.75	79.25	23	-75.15	79.56	375248	5617256
-87.25	79.25	23	-74.65	79.54	397928	5619290
-86.75	79.25	23	-74.14	79.53	420596	5621443
-86.25	79.25	23	-73.63	79.51	443254	5623716
-85.75	79.25	23	-73.13	79.5	465898	5626108
-85.25	79.25	23	-72.62	79.48	488530	5628618
-84.25	79.25	23	-71.61	79.45	533753	5633997
-83.75	79.25	23	-71.11	79.44	556343	5636865
-83.25	79.25	23	-70.61	79.43	578917	5639851
-82.75	79.25	23	-70.11	79.41	601475	5642956
-82.25	79.25	23	-69.61	79.4	624017	5646180
-81.75	79.25	23	-69.11	79.38	646541	5649523
-81.25	79.25	23	-68.61	79.37	669047	5652983
-80.75	79.25	23	-68.11	79.35	691535	5656563
-80.25	79.25	23	-67.61	79.34	714004	5660260
-79.75	79.25	23	-67.11	79.32	736452	5664076
-79.25	79.25	23	-66.62	79.31	758881	5668010
-78.75	79.25	23	-66.12	79.29	781288	5672061
-78.25	79.25	23	-65.63	79.28	803674	5676231
-77.75	79.25	23	-65.13	79.26	826038	5680518
-77.25	79.25	23	-64.64	79.25	848379	5684923
-76.75	79.25	23	-64.14	79.23	870696	5689445
-65.25	79.25	23	-52.97	78.9	1376100	5825554
-64.75	79.25	23	-52.49	78.89	1397670	5832851
-64.25	79.25	23	-52.01	78.87	1419201	5840261
-63.75	79.25	23	-51.54	78.86	1440693	5847785
-63.25	79.25	23	-51.06	78.85	1462146	5855421
-62.75	79.25	23	-50.58	78.83	1483557	5863170
-62.25	79.25	23	-50.11	78.82	1504928	5871032
-61.75	79.25	23	-49.63	78.8	1526257	5879006
-61.25	79.25	23	-49.16	78.79	1547544	5887092
-60.75	79.25	23	-48.68	78.78	1568788	5895290
-60.25	79.25	23	-48.21	78.76	1589988	5903600
-59.75	79.25	23	-47.74	78.75	1611145	5912021
-59.25	79.25	23	-47.26	78.73	1632257	5920553
-58.75	79.25	23	-46.79	78.72	1653323	5929196
-58.25	79.25	23	-46.32	78.71	1674344	5937950
-57.75	79.25	23	-45.85	78.69	1695319	5946815
-57.25	79.25	23	-45.38	78.68	1716246	5955790
-56.75	79.25	23	-44.91	78.67	1737127	5964874
-56.25	79.25	23	-44.44	78.65	1757959	5974069
-55.75	79.25	23	-43.97	78.64	1778742	5983372
-55.25	79.25	23	-43.5	78.63	1799476	5992786
-54.75	79.25	23	-43.03	78.61	1820161	6002308
-54.25	79.25	23	-42.57	78.6	1840795	6011938
-53.75	79.25	23	-42.1	78.59	1861378	6021678
-53.25	79.25	23	-41.63	78.57	1881909	6031525
-52.75	79.25	23	-41.17	78.56	1902388	6041480
-52.25	79.25	23	-40.7	78.55	1922815	6051543
-103.75	78.75	23	-92.19	79.52	-354679	5589385
-103.25	78.75	23	-91.66	79.5	-331842	5587579
-102.75	78.75	23	-91.13	79.49	-308997	5585893
-102.25	78.75	23	-90.6	79.48	-286142	5584327
-101.75	78.75	23	-90.08	79.46	-263280	5582882
-101.25	78.75	23	-89.55	79.45	-240411	5581557
-100.75	78.75	23	-89.02	79.44	-217534	5580352
-100.25	78.75	23	-88.49	79.42	-194652	5579268
-98.25	78.75	23	-86.4	79.37	-103076	5576135
-97.75	78.75	23	-85.87	79.35	-80173	5575653
-93.75	78.75	23	-81.72	79.24	103076	5576135
-93.25	78.75	23	-81.2	79.22	125976	5576737
-92.75	78.75	23	-80.69	79.21	148872	5577460
-92.25	78.75	23	-80.17	79.19	171765	5578304
-91.75	78.75	23	-79.66	79.18	194652	5579268
-91.25	78.75	23	-79.14	79.17	217534	5580352
-90.75	78.75	23	-78.63	79.15	240411	5581557
-90.25	78.75	23	-78.12	79.14	263280	5582882
-89.75	78.75	23	-77.61	79.12	286142	5584327
-89.25	78.75	23	-77.1	79.11	308997	5585893
-88.75	78.75	23	-76.59	79.09	331842	5587579
-88.25	78.75	23	-76.08	79.08	354679	5589385
-87.75	78.75	23	-75.57	79.06	377506	5591311
-86.75	78.75	23	-74.55	79.03	423127	5595523
-86.25	78.75	23	-74.05	79.02	445921	5597809
-85.75	78.75	23	-73.54	79	468702	5600215
-85.25	78.75	23	-73.03	78.99	491470	5602741
-84.75	78.75	23	-72.53	78.98	514225	5605387
-84.25	78.75	23	-72.03	78.96	536965	5608152
-83.75	78.75	23	-71.52	78.95	559691	5611037
-82.25	78.75	23	-70.02	78.9	627772	5620409
-81.75	78.75	23	-69.52	78.89	650431	5623771
-81.25	78.75	23	-69.02	78.87	673073	5627253
