lng	lat	avg_age	paleolng	paleolat
-99.25	79.75	30	-80.02	80.28
-98.75	79.75	30	-79.51	80.26
-95.75	79.75	30	-76.47	80.13
-95.25	79.75	30	-75.97	80.1
-94.75	79.75	30	-75.47	80.08
-94.25	79.75	30	-74.97	80.06
-93.75	79.75	30	-74.48	80.04
-93.25	79.75	30	-73.98	80.01
-92.75	79.75	30	-73.48	79.99
-92.25	79.75	30	-72.99	79.97
-91.75	79.75	30	-72.49	79.95
-91.25	79.75	30	-72	79.92
-90.75	79.75	30	-71.51	79.9
-90.25	79.75	30	-71.02	79.88
-89.75	79.75	30	-70.53	79.86
-89.25	79.75	30	-70.04	79.83
-88.75	79.75	30	-69.55	79.81
-88.25	79.75	30	-69.07	79.79
-87.75	79.75	30	-68.58	79.77
-87.25	79.75	30	-68.1	79.74
-86.25	79.75	30	-67.13	79.7
-85.75	79.75	30	-66.65	79.68
-85.25	79.75	30	-66.17	79.66
-84.75	79.75	30	-65.69	79.63
-84.25	79.75	30	-65.21	79.61
-83.75	79.75	30	-64.74	79.59
-83.25	79.75	30	-64.26	79.57
-82.75	79.75	30	-63.78	79.55
-82.25	79.75	30	-63.31	79.52
-81.25	79.75	30	-62.36	79.48
-80.75	79.75	30	-61.89	79.46
-80.25	79.75	30	-61.42	79.44
-79.75	79.75	30	-60.95	79.41
-79.25	79.75	30	-60.48	79.39
-78.75	79.75	30	-60.01	79.37
-78.25	79.75	30	-59.55	79.35
-77.75	79.75	30	-59.08	79.33
-77.25	79.75	30	-58.61	79.31
-76.75	79.75	30	-58.15	79.28
-76.25	79.75	30	-57.68	79.26
-75.75	79.75	30	-57.22	79.24
-75.25	79.75	30	-56.76	79.22
-74.75	79.75	30	-56.3	79.2
-74.25	79.75	30	-55.84	79.18
-73.75	79.75	30	-55.38	79.16
-72.75	79.75	30	-54.46	79.11
-72.25	79.75	30	-54	79.09
-71.75	79.75	30	-53.55	79.07
-64.75	79.75	30	-48.66	78.35
-64.25	79.75	30	-48.23	78.33
-63.75	79.75	30	-47.8	78.31
-63.25	79.75	30	-47.37	78.29
-62.75	79.75	30	-46.94	78.27
-62.25	79.75	30	-46.51	78.26
-61.75	79.75	30	-46.08	78.24
-61.25	79.75	30	-45.66	78.22
-60.75	79.75	30	-45.23	78.2
-60.25	79.75	30	-44.8	78.19
-59.75	79.75	30	-44.38	78.17
-59.25	79.75	30	-43.95	78.15
-58.75	79.75	30	-43.53	78.13
-58.25	79.75	30	-43.1	78.12
-57.75	79.75	30	-42.68	78.1
-57.25	79.75	30	-42.25	78.08
-56.75	79.75	30	-41.83	78.07
-56.25	79.75	30	-41.41	78.05
-55.75	79.75	30	-40.99	78.03
-55.25	79.75	30	-40.56	78.02
-54.75	79.75	30	-40.14	78
-54.25	79.75	30	-39.72	77.99
-53.75	79.75	30	-39.3	77.97
-53.25	79.75	30	-38.88	77.96
-52.75	79.75	30	-38.46	77.94
-52.25	79.75	30	-38.04	77.92
-105.25	79.25	30	-86.95	80.07
-104.75	79.25	30	-86.42	80.04
-104.25	79.25	30	-85.9	80.02
-103.75	79.25	30	-85.38	80
-103.25	79.25	30	-84.85	79.98
-92.25	79.25	30	-73.68	79.48
-91.75	79.25	30	-73.18	79.46
-91.25	79.25	30	-72.69	79.44
-90.75	79.25	30	-72.2	79.42
-90.25	79.25	30	-71.7	79.39
-89.75	79.25	30	-71.21	79.37
-89.25	79.25	30	-70.72	79.35
-88.75	79.25	30	-70.23	79.33
-88.25	79.25	30	-69.74	79.3
-87.75	79.25	30	-69.26	79.28
-87.25	79.25	30	-68.77	79.26
-86.75	79.25	30	-68.29	79.24
-86.25	79.25	30	-67.8	79.22
-85.75	79.25	30	-67.32	79.19
-85.25	79.25	30	-66.83	79.17
-84.25	79.25	30	-65.87	79.13
-83.75	79.25	30	-65.39	79.1
-83.25	79.25	30	-64.91	79.08
-82.75	79.25	30	-64.44	79.06
-82.25	79.25	30	-63.96	79.04
-81.75	79.25	30	-63.48	79.02
-81.25	79.25	30	-63.01	78.99
-80.75	79.25	30	-62.53	78.97
-80.25	79.25	30	-62.06	78.95
-79.75	79.25	30	-61.59	78.93
-79.25	79.25	30	-61.12	78.91
-78.75	79.25	30	-60.64	78.89
-78.25	79.25	30	-60.17	78.86
-77.75	79.25	30	-59.71	78.84
-77.25	79.25	30	-59.24	78.82
-76.75	79.25	30	-58.77	78.8
-65.25	79.25	30	-49.58	77.87
-64.75	79.25	30	-49.15	77.86
-64.25	79.25	30	-48.71	77.84
-63.75	79.25	30	-48.28	77.82
-63.25	79.25	30	-47.85	77.8
-62.75	79.25	30	-47.41	77.78
-62.25	79.25	30	-46.98	77.76
-61.75	79.25	30	-46.55	77.75
-61.25	79.25	30	-46.12	77.73
-60.75	79.25	30	-45.69	77.71
-60.25	79.25	30	-45.26	77.69
-59.75	79.25	30	-44.83	77.68
