x,y
-93.25,79.75
-92.75,79.75
-92.25,79.75
-91.75,79.75
-91.25,79.75
-90.75,79.75
-90.25,79.75
-89.75,79.75
-80.75,79.75
-80.25,79.75
-79.75,79.75
-79.25,79.75
-78.75,79.75
-78.25,79.75
-77.75,79.75
-77.25,79.75
-76.75,79.75
-76.25,79.75
-75.75,79.75
-75.25,79.75
-74.75,79.75
-74.25,79.75
-73.75,79.75
-89.25,79.25
-88.75,79.25
-91.75,78.75
-91.25,78.75
-90.75,78.75
-90.25,78.75
-89.75,78.75
-89.25,78.75
-81.25,78.75
-80.75,78.75
-80.25,78.75
-79.75,78.75
-79.25,78.75
-78.75,78.75
-78.25,78.75
-77.75,78.75
-77.25,78.75
-76.75,78.75
-76.25,78.75
-81.75,78.25
-81.25,78.25
-80.75,78.25
-80.25,78.25
-79.75,78.25
-79.25,78.25
-78.75,78.25
-78.25,78.25
-77.75,78.25
-77.25,78.25
-76.75,78.25
-76.25,78.25
-81.75,77.75
-81.25,77.75
-80.75,77.75
-80.25,77.75
-79.75,77.75
-79.25,77.75
-78.75,77.75
-78.25,77.75
-80.75,77.25
-81.25,76.75
-80.75,76.75
-80.25,76.75
-79.75,76.75
-79.25,76.75
-78.75,76.75
-78.25,76.75
-80.75,76.25
-80.25,76.25
-82.75,75.75
-82.25,75.75
-84.25,75.25
-83.75,75.25
-83.25,75.25
-82.75,75.25
-82.25,75.25
-81.75,75.25
-81.25,75.25
-80.75,75.25
-80.25,75.25
-84.75,74.75
-82.25,74.75
-81.75,74.75
-81.25,74.75
-80.75,74.75
-79.75,73.25
-79.25,73.25
-78.75,73.25
-78.25,73.25
-77.75,73.25
-77.25,73.25
-77.25,72.25
-76.75,72.25
-76.25,72.25
-75.75,72.25
-76.25,71.75
-75.25,71.75
-74.75,71.75
-74.25,71.25
-73.75,71.25
-73.25,71.25
-72.75,71.25
-72.25,71.25
-71.75,71.25
-72.75,70.75
-71.75,70.75
-71.25,70.75
-70.75,70.25
-70.25,70.25
-69.75,70.25
-70.25,69.75
-69.75,69.75
-69.25,69.75
-68.75,69.75
-68.25,69.75
-69.75,69.25
-69.25,69.25
-68.75,69.25
-68.25,69.25
-67.25,69.25
-69.25,68.75
-68.75,68.75
-69.25,68.25
-68.75,68.25
-68.25,68.25
-67.75,68.25
-68.75,67.75
-68.25,67.75
-67.75,67.75
-67.25,67.75
-66.75,67.75
-66.25,67.75
-65.75,67.75
-65.25,67.75
-64.75,67.75
-67.25,67.25
-66.75,67.25
-66.25,67.25
-65.75,67.25
-65.25,67.25
-64.75,67.25
-65.75,66.75
-65.25,66.75
-64.75,66.75
-64.25,66.75
-63.75,66.75
-63.25,66.75
-62.75,66.75
-62.25,66.75
-65.25,66.25
-64.75,66.25
-64.25,66.25
-63.75,66.25
-63.25,66.25
-62.75,66.25
-62.25,66.25
-63.75,65.75
-63.25,65.75
-64.75,59.75
-65.25,59.25
-64.75,59.25
-64.25,59.25
-65.25,58.75
-64.75,58.75
-64.25,58.75
-63.75,58.75
-63.25,58.75
-64.75,58.25
-64.25,58.25
-63.75,58.25
-63.25,58.25
-62.75,58.25
-64.25,57.75
-63.75,57.75
-63.25,57.75
-62.25,57.75
-64.25,57.25
