x,y
-67.25,47.75
-66.75,47.75
-66.25,47.75
-65.75,47.75
-65.25,47.75
-95.75,47.25
-68.75,47.25
-68.25,47.25
-67.75,47.25
-67.25,47.25
-66.75,47.25
-66.25,47.25
-65.75,47.25
-65.25,47.25
-96.25,46.75
-95.75,46.75
-95.25,46.75
-94.75,46.75
-71.75,46.75
-71.25,46.75
-68.25,46.75
-67.75,46.75
-67.25,46.75
-66.75,46.75
-66.25,46.75
-65.75,46.75
-65.25,46.75
-95.75,46.25
-95.25,46.25
-94.75,46.25
-72.75,46.25
-72.25,46.25
-71.75,46.25
-68.75,46.25
-68.25,46.25
-67.75,46.25
-67.25,46.25
-66.75,46.25
-66.25,46.25
-65.75,46.25
-65.25,46.25
-64.75,46.25
-62.75,46.25
-95.75,45.75
-95.25,45.75
-94.75,45.75
-94.25,45.75
-93.75,45.75
-93.25,45.75
-73.75,45.75
-73.25,45.75
-72.75,45.75
-68.75,45.75
-68.25,45.75
-67.75,45.75
-67.25,45.75
-66.75,45.75
-66.25,45.75
-65.75,45.75
-65.25,45.75
-64.75,45.75
-64.25,45.75
-63.75,45.75
-95.25,45.25
-94.75,45.25
-94.25,45.25
-93.75,45.25
-93.25,45.25
-92.75,45.25
-92.25,45.25
-91.75,45.25
-90.25,45.25
-89.25,45.25
-76.25,45.25
-75.75,45.25
-75.25,45.25
-74.75,45.25
-74.25,45.25
-73.75,45.25
-73.25,45.25
-72.75,45.25
-69.25,45.25
-68.75,45.25
-68.25,45.25
-67.75,45.25
-67.25,45.25
-66.75,45.25
-63.75,45.25
-63.25,45.25
-93.75,44.75
-93.25,44.75
-92.25,44.75
-91.75,44.75
-91.25,44.75
-90.75,44.75
-90.25,44.75
-89.75,44.75
-89.25,44.75
-88.75,44.75
-88.25,44.75
-85.75,44.75
-76.25,44.75
-75.75,44.75
-75.25,44.75
-74.75,44.75
-73.25,44.75
-69.75,44.75
-69.25,44.75
-68.75,44.75
-68.25,44.75
-67.75,44.75
-93.75,44.25
-92.75,44.25
-92.25,44.25
-91.75,44.25
-91.25,44.25
-90.75,44.25
