x,y
-113.75,53.75
-113.25,53.75
-112.75,53.75
-112.25,53.75
-111.75,53.75
-110.75,53.75
-113.75,53.25
-113.25,53.25
-112.75,53.25
-112.25,53.25
-111.75,53.25
-111.25,53.25
-110.75,53.25
-110.25,53.25
-109.75,53.25
-109.25,53.25
-113.75,52.75
-113.25,52.75
-112.75,52.75
-112.25,52.75
-111.75,52.75
-111.25,52.75
-110.75,52.75
-110.25,52.75
-109.75,52.75
-109.25,52.75
-108.75,52.75
-108.25,52.75
-107.75,52.75
-107.25,52.75
-106.75,52.75
-114.25,52.25
-113.75,52.25
-113.25,52.25
-112.75,52.25
-112.25,52.25
-111.75,52.25
-111.25,52.25
-110.75,52.25
-110.25,52.25
-109.75,52.25
-109.25,52.25
-108.75,52.25
-108.25,52.25
-107.75,52.25
-107.25,52.25
-106.75,52.25
-106.25,52.25
-105.75,52.25
-105.25,52.25
-104.75,52.25
-104.25,52.25
-103.75,52.25
-114.25,51.75
-113.75,51.75
-113.25,51.75
-112.75,51.75
-112.25,51.75
-111.75,51.75
-111.25,51.75
-110.75,51.75
-110.25,51.75
-109.75,51.75
-109.25,51.75
-108.75,51.75
-108.25,51.75
-107.75,51.75
-107.25,51.75
-106.75,51.75
-106.25,51.75
-105.75,51.75
-105.25,51.75
-104.75,51.75
-104.25,51.75
-103.75,51.75
-103.25,51.75
-102.75,51.75
-114.25,51.25
-113.75,51.25
-113.25,51.25
-112.75,51.25
-112.25,51.25
-111.75,51.25
-111.25,51.25
-110.75,51.25
-110.25,51.25
-109.75,51.25
-109.25,51.25
-108.75,51.25
-108.25,51.25
-107.75,51.25
-107.25,51.25
-106.75,51.25
-106.25,51.25
-105.75,51.25
-105.25,51.25
-104.75,51.25
-104.25,51.25
-103.75,51.25
-103.25,51.25
-102.75,51.25
-102.25,51.25
-101.75,51.25
-100.75,51.25
-100.25,51.25
-99.75,51.25
-99.25,51.25
-114.25,50.75
-113.75,50.75
-113.25,50.75
-112.75,50.75
-112.25,50.75
-111.75,50.75
-111.25,50.75
-110.75,50.75
-110.25,50.75
-109.75,50.75
-109.25,50.75
-108.75,50.75
-108.25,50.75
-107.75,50.75
-107.25,50.75
-106.75,50.75
-106.25,50.75
-105.75,50.75
-105.25,50.75
-104.75,50.75
-104.25,50.75
-103.75,50.75
-103.25,50.75
-102.75,50.75
-102.25,50.75
-101.75,50.75
-101.25,50.75
-99.25,50.75
