x,y
-95.25,58.75
-94.75,58.75
-94.75,58.25
-94.25,58.25
-93.75,58.25
-93.25,58.25
-94.25,57.75
-93.75,57.75
-93.25,57.75
-93.75,57.25
-93.25,57.25
-92.75,57.25
-94.25,56.75
-93.75,56.75
-93.25,56.75
-92.75,56.75
-92.25,56.75
-91.75,56.75
-91.25,56.75
-90.75,56.75
-90.25,56.75
-89.75,56.75
-89.25,56.75
-93.75,56.25
-93.25,56.25
-92.75,56.25
-92.25,56.25
-91.75,56.25
-91.25,56.25
-90.75,56.25
-90.25,56.25
-89.75,56.25
-89.25,56.25
-88.75,56.25
-88.25,56.25
-92.25,55.75
-91.75,55.75
-91.25,55.75
-90.75,55.75
-90.25,55.75
-89.75,55.75
-89.25,55.75
-88.75,55.75
-88.25,55.75
-87.75,55.75
-87.25,55.75
-86.75,55.75
-92.75,55.25
-92.25,55.25
-91.75,55.25
-91.25,55.25
-90.75,55.25
-90.25,55.25
-89.75,55.25
-89.25,55.25
-88.75,55.25
-88.25,55.25
-87.75,55.25
-87.25,55.25
-86.25,55.25
-85.75,55.25
-90.25,54.75
-89.25,54.75
-88.75,54.75
-88.25,54.75
-87.75,54.75
-87.25,54.75
-86.75,54.75
-86.25,54.75
-85.75,54.75
-85.25,54.75
-84.75,54.75
-84.25,54.75
-83.75,54.75
-83.25,54.75
-82.75,54.75
-88.75,54.25
-88.25,54.25
-87.75,54.25
-87.25,54.25
-86.75,54.25
-86.25,54.25
-85.75,54.25
-85.25,54.25
-84.75,54.25
-84.25,54.25
-83.75,54.25
-83.25,54.25
-82.75,54.25
-87.25,53.75
-86.75,53.75
-86.25,53.75
-85.75,53.75
-85.25,53.75
-84.75,53.75
-84.25,53.75
-83.75,53.75
-83.25,53.75
-82.75,53.75
-86.75,53.25
-86.25,53.25
-85.75,53.25
-85.25,53.25
-84.75,53.25
-84.25,53.25
-83.75,53.25
-83.25,53.25
-82.75,53.25
-86.25,52.75
-85.75,52.75
-85.25,52.75
-84.75,52.75
-84.25,52.75
-83.75,52.75
-83.25,52.75
-82.75,52.75
-82.25,52.75
-78.25,52.75
-77.75,52.75
-77.25,52.75
-76.25,52.75
-86.25,52.25
-85.75,52.25
-85.25,52.25
-84.75,52.25
-84.25,52.25
-83.75,52.25
-83.25,52.25
-82.75,52.25
-82.25,52.25
-81.75,52.25
-78.25,52.25
-77.75,52.25
-77.25,52.25
-76.75,52.25
-76.25,52.25
-86.25,51.75
-85.75,51.75
-85.25,51.75
-84.75,51.75
-84.25,51.75
-83.75,51.75
-83.25,51.75
-82.75,51.75
-82.25,51.75
-81.75,51.75
-81.25,51.75
-78.75,51.75
-78.25,51.75
-77.75,51.75
-77.25,51.75
-76.75,51.75
-85.75,51.25
-85.25,51.25
-84.75,51.25
-84.25,51.25
-83.75,51.25
-83.25,51.25
-82.75,51.25
-82.25,51.25
-81.75,51.25
-81.25,51.25
-80.75,51.25
-80.25,51.25
-79.25,51.25
-78.75,51.25
-78.25,51.25
-77.75,51.25
-85.75,50.75
-85.25,50.75
-84.75,50.75
-84.25,50.75
-83.75,50.75
-83.25,50.75
-82.75,50.75
-82.25,50.75
-81.75,50.75
-81.25,50.75
-80.75,50.75
-80.25,50.75
-79.75,50.75
-79.25,50.75
-78.75,50.75
-78.25,50.75
-85.25,50.25
-84.25,50.25
-83.75,50.25
-83.25,50.25
-82.75,50.25
-82.25,50.25
-81.75,50.25
-79.25,50.25
