x,y
-150.25,62.75
-151.75,62.25
-151.25,62.25
-150.75,62.25
-150.25,62.25
-151.25,61.75
-150.75,61.75
-150.25,61.75
-149.75,61.75
-148.75,61.75
-148.25,61.75
-147.75,61.75
-147.25,61.75
-146.75,61.75
-146.25,61.75
-145.75,61.75
-160.25,61.25
-159.75,61.25
-159.25,61.25
-158.75,61.25
-158.25,61.25
-157.75,61.25
-151.75,61.25
-151.25,61.25
-149.25,61.25
-148.75,61.25
-148.25,61.25
-147.25,61.25
-146.75,61.25
-146.25,61.25
-145.75,61.25
-145.25,61.25
-144.75,61.25
-144.25,61.25
-143.75,61.25
-160.75,60.75
-160.25,60.75
-159.75,60.75
-159.25,60.75
-152.25,60.75
-150.75,60.75
-150.25,60.75
-149.75,60.75
-149.25,60.75
-148.75,60.75
-145.75,60.75
-145.25,60.75
-144.75,60.75
-144.25,60.75
-143.75,60.75
-143.25,60.75
-142.75,60.75
-142.25,60.75
-141.75,60.75
-141.25,60.75
-140.75,60.75
-161.25,60.25
-160.75,60.25
-160.25,60.25
-159.75,60.25
-159.25,60.25
-158.75,60.25
-158.25,60.25
-151.25,60.25
-150.75,60.25
-150.25,60.25
-149.75,60.25
-149.25,60.25
-148.75,60.25
-143.75,60.25
-143.25,60.25
-142.75,60.25
-142.25,60.25
-141.75,60.25
-141.25,60.25
-140.75,60.25
-140.25,60.25
-139.75,60.25
-139.25,60.25
-161.75,59.75
-161.25,59.75
-160.75,59.75
-160.25,59.75
-159.75,59.75
-159.25,59.75
-158.75,59.75
-151.25,59.75
-150.75,59.75
-150.25,59.75
-139.25,59.75
-138.75,59.75
-136.25,59.75
-135.75,59.75
-161.75,59.25
-161.25,59.25
-160.75,59.25
-160.25,59.25
-159.75,59.25
-159.25,59.25
-158.75,59.25
-154.75,59.25
-154.25,59.25
-138.25,59.25
-137.75,59.25
-136.75,59.25
-136.25,59.25
-135.75,59.25
-135.25,59.25
-134.75,59.25
-155.25,58.75
-154.75,58.75
-154.25,58.75
-153.75,58.75
-137.25,58.75
-136.75,58.75
-135.75,58.75
-134.75,58.75
-134.25,58.75
-133.75,58.75
-155.75,58.25
-155.25,58.25
-154.75,58.25
-133.75,58.25
-133.25,58.25
-132.75,58.25
-155.75,57.75
-153.25,57.75
-152.75,57.75
-133.25,57.75
-132.75,57.75
-156.75,57.25
-154.25,57.25
-153.75,57.25
-153.25,57.25
-133.25,57.25
-132.75,57.25
-132.25,57.25
-131.75,57.25
-131.25,57.25
-158.25,56.75
-157.75,56.75
-132.25,56.75
-131.75,56.75
-131.25,56.75
-159.25,56.25
-158.75,56.25
-131.75,56.25
-131.25,56.25
-130.75,56.25
-130.25,56.25
-129.75,56.25
-129.25,56.25
-128.75,56.25
-161.25,55.75
-131.25,55.75
-130.75,55.75
-130.25,55.75
-129.75,55.75
-129.25,55.75
-128.75,55.75
-162.25,55.25
-131.25,55.25
-130.75,55.25
-130.25,55.25
-129.75,55.25
-129.25,55.25
-128.75,55.25
-128.25,55.25
-127.75,55.25
-164.25,54.75
-163.75,54.75
-130.25,54.75
-129.75,54.75
-129.25,54.75
-128.75,54.75
-128.25,54.75
-127.75,54.75
-130.25,54.25
-129.75,54.25
-129.25,54.25
-128.75,54.25
-128.25,54.25
-132.75,53.75
-129.25,53.75
-128.75,53.75
-128.25,53.75
-127.75,53.75
-132.25,53.25
-128.75,53.25
-128.25,53.25
-127.75,53.25
-127.25,53.25
-128.75,52.75
-128.25,52.75
-127.75,52.75
-127.25,52.75
-126.75,52.75
-126.25,52.75
-127.25,52.25
-126.75,52.25
-126.25,52.25
-127.75,51.75
-127.25,51.75
-126.75,51.75
-126.25,51.75
-125.75,51.75
-127.25,51.25
-126.75,51.25
-126.25,51.25
-125.75,51.25
-125.25,51.25
-124.75,51.25
-126.25,50.75
-125.75,50.75
-125.25,50.75
-124.75,50.75
-124.25,50.75
-123.75,50.75
-127.75,50.25
-127.25,50.25
-126.75,50.25
-126.25,50.25
-125.75,50.25
-125.25,50.25
-124.75,50.25
-124.25,50.25
-123.75,50.25
-123.25,50.25
-122.75,50.25
-122.25,50.25
-126.75,49.75
-126.25,49.75
-125.75,49.75
-125.25,49.75
-123.75,49.75
-123.25,49.75
-122.75,49.75
-122.25,49.75
-121.75,49.75
-121.25,49.75
-125.25,49.25
-124.75,49.25
-122.75,49.25
-122.25,49.25
-121.75,49.25
-124.25,48.75
-123.75,48.75
-124.25,48.25
-122.25,48.25
-124.25,47.75
-122.25,47.75
-123.75,47.25
-123.25,47.25
-122.75,47.25
-122.25,47.25
-123.75,46.75
-123.25,46.75
-122.75,46.75
-123.25,46.25
-123.75,45.75
-123.25,45.75
-122.75,45.75
-123.75,45.25
-123.25,45.25
-122.75,45.25
-123.75,44.75
-123.25,44.75
-122.75,44.75
-123.75,44.25
-123.25,44.25
-123.75,43.75
-123.25,43.75
-124.25,43.25
-123.75,43.25
-124.25,42.75
-124.25,40.25
-123.75,39.75
-123.75,39.25
-123.25,38.75
-122.25,37.25
