x,y
-122.25,40.75
-122.75,40.25
-122.25,40.25
-121.75,40.25
-122.25,39.75
-121.75,39.75
-123.25,39.25
-122.75,39.25
-122.25,39.25
-121.75,39.25
-121.25,39.25
-122.75,38.75
-122.25,38.75
-121.75,38.75
-121.25,38.75
-122.75,38.25
-122.25,38.25
-121.75,38.25
-121.25,38.25
-120.75,38.25
-121.75,37.75
-121.25,37.75
-120.75,37.75
-120.25,37.75
-121.75,37.25
-121.25,37.25
-120.75,37.25
-120.25,37.25
-119.75,37.25
-121.25,36.75
-120.75,36.75
-120.25,36.75
-119.75,36.75
-119.25,36.75
-121.25,36.25
-120.75,36.25
-120.25,36.25
-119.75,36.25
-119.25,36.25
-118.75,36.25
-120.75,35.75
-120.25,35.75
-119.75,35.75
-119.25,35.75
-118.75,35.75
-120.25,35.25
-119.75,35.25
-119.25,35.25
-118.75,35.25
-120.25,34.75
-119.75,34.75
-119.25,34.75
-118.75,34.75
-118.75,34.25
-118.25,34.25
-117.75,34.25
-117.25,34.25
-116.75,34.25
-117.75,33.75
-117.25,33.75
-116.75,33.75
-117.25,33.25
-116.75,33.25
-116.75,32.75
-116.25,32.75
-116.75,32.25
-116.25,32.25
-116.25,31.75
-115.75,31.75
-116.25,31.25
-115.75,31.25
-115.75,30.75
-115.25,30.75
-115.75,30.25
