x,y
-120.25,51.75
-121.75,51.25
-120.25,51.25
-123.25,50.75
-122.75,50.75
-122.25,50.75
-121.75,50.75
-121.25,50.75
-120.75,50.75
-120.25,50.75
-119.75,50.75
-119.25,50.75
-121.75,50.25
-121.25,50.25
-120.75,50.25
-120.25,50.25
-119.75,50.25
-119.25,50.25
-118.75,50.25
-120.75,49.75
-120.25,49.75
-119.75,49.75
-119.25,49.75
-118.75,49.75
-119.25,49.25
-118.75,49.25
-119.75,48.25
-119.75,47.75
-119.25,47.75
-118.75,47.75
-118.25,47.75
-117.75,47.75
-119.75,47.25
-119.25,47.25
-118.75,47.25
-118.25,47.25
-117.75,47.25
-117.25,47.25
-120.75,46.75
-120.25,46.75
-119.75,46.75
-119.25,46.75
-118.75,46.75
-118.25,46.75
-117.75,46.75
-117.25,46.75
-120.75,46.25
-120.25,46.25
-119.75,46.25
-119.25,46.25
-118.75,46.25
-118.25,46.25
-117.25,46.25
-116.75,46.25
-116.25,46.25
-120.75,45.75
-120.25,45.75
-119.75,45.75
-119.25,45.75
-118.75,45.75
-121.25,45.25
-120.75,45.25
-120.25,45.25
-119.75,45.25
-109.25,44.75
-108.75,44.75
-108.25,44.75
-117.25,44.25
-116.75,44.25
-116.25,44.25
-112.25,44.25
-111.75,44.25
-108.75,44.25
-108.25,44.25
-107.75,44.25
-120.75,43.75
-118.25,43.75
-117.75,43.75
-117.25,43.75
-116.75,43.75
-116.25,43.75
-112.75,43.75
-112.25,43.75
-111.75,43.75
-111.25,43.75
-108.75,43.75
-108.25,43.75
-107.75,43.75
-107.25,43.75
-106.75,43.75
-120.75,43.25
-120.25,43.25
-119.75,43.25
-119.25,43.25
-118.75,43.25
-118.25,43.25
-117.75,43.25
-117.25,43.25
-116.75,43.25
-116.25,43.25
-115.75,43.25
-115.25,43.25
-114.75,43.25
-114.25,43.25
-113.75,43.25
-113.25,43.25
-112.75,43.25
-112.25,43.25
-111.75,43.25
-109.25,43.25
-108.75,43.25
-108.25,43.25
-107.75,43.25
-107.25,43.25
-120.75,42.75
-120.25,42.75
-119.75,42.75
-119.25,42.75
-118.75,42.75
-118.25,42.75
-117.75,42.75
-117.25,42.75
-116.75,42.75
-116.25,42.75
-115.75,42.75
-115.25,42.75
-114.75,42.75
-114.25,42.75
-113.75,42.75
-113.25,42.75
-112.75,42.75
-112.25,42.75
-111.75,42.75
-110.25,42.75
-109.75,42.75
-108.75,42.75
-108.25,42.75
-107.75,42.75
-107.25,42.75
-106.75,42.75
-119.75,42.25
-119.25,42.25
-118.75,42.25
-118.25,42.25
-117.75,42.25
-117.25,42.25
-116.75,42.25
-116.25,42.25
-115.75,42.25
-115.25,42.25
-114.75,42.25
-114.25,42.25
-113.75,42.25
-113.25,42.25
-112.75,42.25
-112.25,42.25
-111.75,42.25
-111.25,42.25
-110.25,42.25
-109.75,42.25
-109.25,42.25
-108.75,42.25
-108.25,42.25
-107.75,42.25
-107.25,42.25
-106.75,42.25
-106.25,42.25
-120.25,41.75
-119.75,41.75
-119.25,41.75
-118.75,41.75
-118.25,41.75
-117.75,41.75
-117.25,41.75
-116.75,41.75
-116.25,41.75
-115.75,41.75
-115.25,41.75
-114.75,41.75
-114.25,41.75
-113.75,41.75
-113.25,41.75
-112.75,41.75
-112.25,41.75
-111.25,41.75
-110.75,41.75
-110.25,41.75
-109.75,41.75
-109.25,41.75
-108.75,41.75
-108.25,41.75
-107.75,41.75
-107.25,41.75
-106.75,41.75
-106.25,41.75
-105.75,41.75
-119.75,41.25
-119.25,41.25
-118.75,41.25
-118.25,41.25
-117.75,41.25
-117.25,41.25
-116.75,41.25
-116.25,41.25
-115.75,41.25
-115.25,41.25
-114.75,41.25
-114.25,41.25
-113.75,41.25
-113.25,41.25
-111.25,41.25
-110.75,41.25
-110.25,41.25
-109.75,41.25
-109.25,41.25
-108.75,41.25
-108.25,41.25
-107.75,41.25
-106.75,41.25
-105.75,41.25
-120.75,40.75
-120.25,40.75
-119.75,40.75
-119.25,40.75
-118.75,40.75
-118.25,40.75
-117.75,40.75
-117.25,40.75
-116.75,40.75
-116.25,40.75
-115.75,40.75
-115.25,40.75
-114.75,40.75
-114.25,40.75
-113.75,40.75
-113.25,40.75
-112.75,40.75
-109.25,40.75
-108.75,40.75
-108.25,40.75
-107.75,40.75
-120.25,40.25
-119.75,40.25
-119.25,40.25
-118.75,40.25
-118.25,40.25
-117.75,40.25
-117.25,40.25
-116.75,40.25
-116.25,40.25
-115.75,40.25
-115.25,40.25
-114.75,40.25
-114.25,40.25
-113.75,40.25
-113.25,40.25
-112.75,40.25
-112.25,40.25
-111.75,40.25
-110.75,40.25
-110.25,40.25
-109.75,40.25
-109.25,40.25
-108.75,40.25
-108.25,40.25
-107.75,40.25
-120.25,39.75
-119.75,39.75
-119.25,39.75
-118.75,39.75
-118.25,39.75
-117.75,39.75
-117.25,39.75
-116.75,39.75
-116.25,39.75
-115.75,39.75
-115.25,39.75
-114.75,39.75
-114.25,39.75
-113.75,39.75
-113.25,39.75
-112.75,39.75
-112.25,39.75
-110.25,39.75
-109.75,39.75
-109.25,39.75
-108.75,39.75
-108.25,39.75
-119.75,39.25
-119.25,39.25
-118.75,39.25
-118.25,39.25
-117.75,39.25
-117.25,39.25
-116.75,39.25
-116.25,39.25
-115.75,39.25
-115.25,39.25
-114.75,39.25
-114.25,39.25
-113.75,39.25
-113.25,39.25
-112.75,39.25
-112.25,39.25
-110.75,39.25
-110.25,39.25
-109.75,39.25
-109.25,39.25
-108.75,39.25
-108.25,39.25
-119.75,38.75
-119.25,38.75
-118.75,38.75
-118.25,38.75
-117.75,38.75
-117.25,38.75
-116.75,38.75
-116.25,38.75
-115.75,38.75
-115.25,38.75
-114.75,38.75
-114.25,38.75
-113.75,38.75
-113.25,38.75
-112.75,38.75
-111.25,38.75
-110.75,38.75
-110.25,38.75
-109.75,38.75
-109.25,38.75
-108.25,38.75
-107.75,38.75
-119.25,38.25
-118.75,38.25
-118.25,38.25
-117.75,38.25
-117.25,38.25
-116.75,38.25
-116.25,38.25
-115.75,38.25
-115.25,38.25
-114.75,38.25
-114.25,38.25
-113.75,38.25
-113.25,38.25
-112.75,38.25
-111.25,38.25
-110.75,38.25
-110.25,38.25
-109.75,38.25
-109.25,38.25
-108.75,38.25
-107.75,38.25
-118.25,37.75
-117.75,37.75
-117.25,37.75
-116.75,37.75
-116.25,37.75
-115.75,37.75
-115.25,37.75
-114.75,37.75
-114.25,37.75
-113.75,37.75
-113.25,37.75
-111.75,37.75
-111.25,37.75
-110.75,37.75
-110.25,37.75
-109.75,37.75
-109.25,37.75
-108.75,37.75
-106.25,37.75
-105.75,37.75
-118.25,37.25
