x,y
-107.75,59.25
-107.25,59.25
-106.75,59.25
-106.25,59.25
-105.75,59.25
-116.75,58.75
-116.25,58.75
-114.25,58.75
-110.25,58.75
-109.75,58.75
-109.25,58.75
-108.75,58.75
-108.25,58.75
-107.75,58.75
-107.25,58.75
-106.75,58.75
-106.25,58.75
-105.75,58.75
-105.25,58.75
-104.75,58.75
-104.25,58.75
-103.75,58.75
-117.75,58.25
-117.25,58.25
-116.75,58.25
-116.25,58.25
-115.75,58.25
-115.25,58.25
-114.75,58.25
-114.25,58.25
-110.75,58.25
-110.25,58.25
-109.75,58.25
-109.25,58.25
-108.75,58.25
-108.25,58.25
-107.75,58.25
-107.25,58.25
-106.75,58.25
-106.25,58.25
-105.75,58.25
-105.25,58.25
-104.75,58.25
-104.25,58.25
-103.75,58.25
-120.75,57.75
-120.25,57.75
-119.75,57.75
-119.25,57.75
-118.25,57.75
-117.75,57.75
-117.25,57.75
-116.75,57.75
-116.25,57.75
-115.75,57.75
-115.25,57.75
-114.75,57.75
-114.25,57.75
-113.75,57.75
-113.25,57.75
-112.75,57.75
-112.25,57.75
-110.75,57.75
-110.25,57.75
-109.75,57.75
-109.25,57.75
-108.75,57.75
-108.25,57.75
-107.75,57.75
-107.25,57.75
-106.75,57.75
-106.25,57.75
-105.75,57.75
-105.25,57.75
-104.75,57.75
-104.25,57.75
-103.75,57.75
-103.25,57.75
-102.75,57.75
-121.75,57.25
-121.25,57.25
-120.75,57.25
-120.25,57.25
-119.75,57.25
-119.25,57.25
-118.75,57.25
-118.25,57.25
-117.75,57.25
-117.25,57.25
-116.75,57.25
-116.25,57.25
-115.75,57.25
-115.25,57.25
-114.75,57.25
-114.25,57.25
-113.75,57.25
-113.25,57.25
-112.75,57.25
-112.25,57.25
-111.75,57.25
-111.25,57.25
-110.75,57.25
-110.25,57.25
-109.75,57.25
-109.25,57.25
-108.75,57.25
-108.25,57.25
-107.75,57.25
-107.25,57.25
-106.75,57.25
-106.25,57.25
-105.75,57.25
-105.25,57.25
-104.75,57.25
-104.25,57.25
-103.75,57.25
-103.25,57.25
-101.75,57.25
-101.25,57.25
-100.75,57.25
-100.25,57.25
-99.75,57.25
-122.75,56.75
-122.25,56.75
-121.75,56.75
-121.25,56.75
-120.75,56.75
-120.25,56.75
-119.75,56.75
-119.25,56.75
-118.75,56.75
-118.25,56.75
-117.75,56.75
-117.25,56.75
-116.75,56.75
-116.25,56.75
-115.75,56.75
-115.25,56.75
-114.75,56.75
-114.25,56.75
-113.75,56.75
-113.25,56.75
-112.75,56.75
-112.25,56.75
-111.75,56.75
-111.25,56.75
-110.75,56.75
-110.25,56.75
-109.75,56.75
-109.25,56.75
-108.75,56.75
-108.25,56.75
-107.75,56.75
-107.25,56.75
-106.75,56.75
-106.25,56.75
-105.75,56.75
-105.25,56.75
-104.75,56.75
-104.25,56.75
-103.75,56.75
-103.25,56.75
-102.75,56.75
-102.25,56.75
-101.75,56.75
-101.25,56.75
-100.75,56.75
-100.25,56.75
-99.75,56.75
-99.25,56.75
-98.75,56.75
-98.25,56.75
-97.75,56.75
-97.25,56.75
-96.75,56.75
-122.25,56.25
-121.75,56.25
-121.25,56.25
-120.75,56.25
-120.25,56.25
-119.75,56.25
-119.25,56.25
-118.75,56.25
-118.25,56.25
-117.75,56.25
-117.25,56.25
-116.75,56.25
-116.25,56.25
-115.75,56.25
-115.25,56.25
-114.75,56.25
-114.25,56.25
-113.75,56.25
-113.25,56.25
-112.75,56.25
-112.25,56.25
-111.75,56.25
-111.25,56.25
-110.75,56.25
-110.25,56.25
-109.75,56.25
-109.25,56.25
-108.75,56.25
-108.25,56.25
-107.75,56.25
-107.25,56.25
-106.75,56.25
-106.25,56.25
-105.75,56.25
-105.25,56.25
-104.75,56.25
-104.25,56.25
-103.75,56.25
-103.25,56.25
-102.75,56.25
-102.25,56.25
-101.75,56.25
-101.25,56.25
-100.75,56.25
-100.25,56.25
-99.75,56.25
-99.25,56.25
-98.75,56.25
-98.25,56.25
-97.75,56.25
-97.25,56.25
-96.75,56.25
-96.25,56.25
-95.75,56.25
-95.25,56.25
-94.75,56.25
-94.25,56.25
-121.75,55.75
-121.25,55.75
-120.75,55.75
-120.25,55.75
-119.75,55.75
-119.25,55.75
-118.75,55.75
-118.25,55.75
-117.75,55.75
-117.25,55.75
-116.75,55.75
-116.25,55.75
-115.75,55.75
-115.25,55.75
-114.75,55.75
-114.25,55.75
-113.75,55.75
-113.25,55.75
-112.75,55.75
-112.25,55.75
-111.75,55.75
-111.25,55.75
-110.75,55.75
-110.25,55.75
-109.75,55.75
-109.25,55.75
-108.75,55.75
-108.25,55.75
-107.75,55.75
-107.25,55.75
-106.75,55.75
-106.25,55.75
-105.75,55.75
-105.25,55.75
-104.75,55.75
-104.25,55.75
-103.75,55.75
-103.25,55.75
-102.75,55.75
-102.25,55.75
-101.75,55.75
-101.25,55.75
-100.75,55.75
-100.25,55.75
-99.75,55.75
-99.25,55.75
-98.75,55.75
-98.25,55.75
-97.75,55.75
-97.25,55.75
-96.75,55.75
-96.25,55.75
-95.75,55.75
-95.25,55.75
-94.75,55.75
-94.25,55.75
-93.75,55.75
-93.25,55.75
-92.75,55.75
-120.75,55.25
-120.25,55.25
-119.75,55.25
-119.25,55.25
-118.75,55.25
-118.25,55.25
-117.75,55.25
-117.25,55.25
-116.75,55.25
-116.25,55.25
-115.75,55.25
-115.25,55.25
-114.75,55.25
-114.25,55.25
-113.75,55.25
-113.25,55.25
-112.75,55.25
-112.25,55.25
-111.75,55.25
-111.25,55.25
-110.75,55.25
-110.25,55.25
-109.75,55.25
-109.25,55.25
-108.75,55.25
-108.25,55.25
-107.75,55.25
-107.25,55.25
-106.75,55.25
-106.25,55.25
-105.75,55.25
-105.25,55.25
-104.75,55.25
-104.25,55.25
-103.75,55.25
-103.25,55.25
-102.75,55.25
-102.25,55.25
-101.75,55.25
-101.25,55.25
-100.75,55.25
-100.25,55.25
-99.75,55.25
-99.25,55.25
-98.75,55.25
-98.25,55.25
-97.75,55.25
-97.25,55.25
-96.75,55.25
-96.25,55.25
-95.75,55.25
-95.25,55.25
-94.75,55.25
-94.25,55.25
-93.75,55.25
-93.25,55.25
-120.25,54.75
-119.75,54.75
-119.25,54.75
-118.75,54.75
-118.25,54.75
-117.75,54.75
-117.25,54.75
-116.75,54.75
-116.25,54.75
-115.75,54.75
-115.25,54.75
-114.75,54.75
-114.25,54.75
-113.75,54.75
-113.25,54.75
-112.75,54.75
-112.25,54.75
-111.75,54.75
-111.25,54.75
-110.75,54.75
-110.25,54.75
-109.75,54.75
-109.25,54.75
-108.75,54.75
-108.25,54.75
-107.75,54.75
-107.25,54.75
-106.75,54.75
-106.25,54.75
-105.75,54.75
-105.25,54.75
-104.75,54.75
-104.25,54.75
-103.75,54.75
-103.25,54.75
-102.75,54.75
-102.25,54.75
-101.75,54.75
-101.25,54.75
-100.75,54.75
-100.25,54.75
-99.75,54.75
-99.25,54.75
-98.75,54.75
-98.25,54.75
-97.75,54.75
-97.25,54.75
-96.75,54.75
-96.25,54.75
-95.75,54.75
-95.25,54.75
-94.75,54.75
-94.25,54.75
-93.75,54.75
-93.25,54.75
-92.75,54.75
-92.25,54.75
-91.75,54.75
-91.25,54.75
-90.75,54.75
-89.75,54.75
-119.25,54.25
-118.75,54.25
-118.25,54.25
-117.75,54.25
-117.25,54.25
-116.75,54.25
-116.25,54.25
-115.75,54.25
-115.25,54.25
-114.75,54.25
-114.25,54.25
-113.75,54.25
-113.25,54.25
-112.75,54.25
-112.25,54.25
-111.75,54.25
-111.25,54.25
-110.75,54.25
-110.25,54.25
-109.75,54.25
-109.25,54.25
-108.75,54.25
-108.25,54.25
-107.75,54.25
-107.25,54.25
-106.75,54.25
-106.25,54.25
-105.75,54.25
-105.25,54.25
-104.75,54.25
-104.25,54.25
-103.75,54.25
-103.25,54.25
-102.75,54.25
-102.25,54.25
-101.75,54.25
-101.25,54.25
-100.75,54.25
-100.25,54.25
-99.75,54.25
-99.25,54.25
-98.75,54.25
-98.25,54.25
-97.75,54.25
-97.25,54.25
-96.75,54.25
-96.25,54.25
-95.75,54.25
-95.25,54.25
-94.75,54.25
-94.25,54.25
-93.75,54.25
-93.25,54.25
-92.75,54.25
-92.25,54.25
-91.75,54.25
-91.25,54.25
-90.75,54.25
-90.25,54.25
-89.75,54.25
-89.25,54.25
-59.75,54.25
-59.25,54.25
-58.75,54.25
-58.25,54.25
-118.25,53.75
-117.75,53.75
-117.25,53.75
-116.75,53.75
-116.25,53.75
-115.75,53.75
-115.25,53.75
-114.75,53.75
-114.25,53.75
-111.25,53.75
-110.25,53.75
-109.75,53.75
-109.25,53.75
-108.75,53.75
-108.25,53.75
-107.75,53.75
-107.25,53.75
-106.75,53.75
-106.25,53.75
-105.75,53.75
-105.25,53.75
-104.75,53.75
-104.25,53.75
-103.75,53.75
-103.25,53.75
-102.75,53.75
-102.25,53.75
-101.75,53.75
-101.25,53.75
-100.75,53.75
-99.75,53.75
-99.25,53.75
-97.75,53.75
-97.25,53.75
-96.75,53.75
-96.25,53.75
-95.75,53.75
-95.25,53.75
-94.75,53.75
-94.25,53.75
-93.75,53.75
-93.25,53.75
-92.75,53.75
-92.25,53.75
-91.75,53.75
-91.25,53.75
-90.75,53.75
-90.25,53.75
-89.75,53.75
-89.25,53.75
-88.75,53.75
-88.25,53.75
-87.75,53.75
-60.75,53.75
-60.25,53.75
-57.75,53.75
-57.25,53.75
-117.75,53.25
-117.25,53.25
-116.75,53.25
-116.25,53.25
-115.75,53.25
-115.25,53.25
-114.75,53.25
-114.25,53.25
-108.75,53.25
-108.25,53.25
-107.75,53.25
-107.25,53.25
-106.75,53.25
-106.25,53.25
-105.75,53.25
-105.25,53.25
-104.75,53.25
-104.25,53.25
-103.75,53.25
-103.25,53.25
-102.75,53.25
-102.25,53.25
-101.75,53.25
-101.25,53.25
-100.75,53.25
-97.25,53.25
-96.75,53.25
-96.25,53.25
-95.75,53.25
-95.25,53.25
-94.75,53.25
-94.25,53.25
-93.75,53.25
-93.25,53.25
-92.75,53.25
-92.25,53.25
-91.75,53.25
-91.25,53.25
-90.75,53.25
-90.25,53.25
-89.75,53.25
-89.25,53.25
-88.75,53.25
-88.25,53.25
-87.75,53.25
-87.25,53.25
-63.25,53.25
-62.75,53.25
-60.75,53.25
-60.25,53.25
-58.25,53.25
-57.75,53.25
-57.25,53.25
-56.75,53.25
-56.25,53.25
-116.25,52.75
-115.75,52.75
-115.25,52.75
-114.75,52.75
-114.25,52.75
-106.25,52.75
-105.75,52.75
-105.25,52.75
-104.75,52.75
-104.25,52.75
-103.75,52.75
-103.25,52.75
-102.75,52.75
-102.25,52.75
-101.75,52.75
-101.25,52.75
-100.75,52.75
