x,y
-143.75,68.25
-143.25,68.25
-142.75,68.25
-142.25,68.25
-141.75,68.25
-146.25,67.75
-145.75,67.75
-145.25,67.75
-144.75,67.75
-144.25,67.75
-143.25,67.75
-141.75,67.75
-141.25,67.75
-149.75,67.25
-149.25,67.25
-148.75,67.25
-148.25,67.25
-147.25,67.25
-146.75,67.25
-150.25,66.75
-149.75,66.75
-149.25,66.75
-157.25,66.25
-156.25,66.25
-150.75,66.25
-150.25,66.25
-151.75,65.75
-151.25,65.75
-150.75,65.75
-150.25,65.75
-147.75,65.75
-147.25,65.75
-146.75,65.75
-146.25,65.75
-159.25,65.25
-154.75,65.25
-154.25,65.25
-153.75,65.25
-150.75,65.25
-147.75,65.25
-147.25,65.25
-146.75,65.25
-146.25,65.25
-145.75,65.25
-145.25,65.25
-144.75,65.25
-144.25,65.25
-143.75,65.25
-143.25,65.25
-159.75,64.75
-159.25,64.75
-146.75,64.75
-146.25,64.75
-145.75,64.75
-145.25,64.75
-144.75,64.75
-144.25,64.75
-143.75,64.75
-143.25,64.75
-142.75,64.75
-142.25,64.75
-141.75,64.75
-141.25,64.75
-159.75,64.25
-152.25,64.25
-151.75,64.25
-145.25,64.25
-144.75,64.25
-144.25,64.25
-143.75,64.25
-143.25,64.25
-142.75,64.25
-142.25,64.25
-141.75,64.25
-141.25,64.25
-140.75,64.25
-140.25,64.25
-139.75,64.25
-139.25,64.25
-138.75,64.25
-153.75,63.75
-150.25,63.75
-149.75,63.75
-149.25,63.75
-148.75,63.75
-148.25,63.75
-147.75,63.75
-147.25,63.75
-146.75,63.75
-146.25,63.75
-145.75,63.75
-145.25,63.75
-143.75,63.75
-143.25,63.75
-142.75,63.75
-142.25,63.75
-141.75,63.75
-141.25,63.75
-140.75,63.75
-140.25,63.75
-139.75,63.75
-139.25,63.75
-138.75,63.75
-138.25,63.75
-137.75,63.75
-137.25,63.75
-136.75,63.75
-136.25,63.75
-135.75,63.75
-135.25,63.75
-134.75,63.75
-134.25,63.75
-133.75,63.75
-133.25,63.75
-132.75,63.75
-151.75,63.25
-151.25,63.25
-150.75,63.25
-150.25,63.25
-149.75,63.25
-149.25,63.25
-148.75,63.25
-148.25,63.25
-147.75,63.25
-147.25,63.25
-146.75,63.25
-146.25,63.25
-145.75,63.25
-145.25,63.25
-144.75,63.25
-144.25,63.25
-143.75,63.25
-143.25,63.25
-142.25,63.25
-141.75,63.25
-141.25,63.25
-140.75,63.25
-140.25,63.25
-139.75,63.25
-139.25,63.25
-138.75,63.25
-138.25,63.25
-137.75,63.25
-137.25,63.25
-136.75,63.25
-136.25,63.25
-135.75,63.25
-135.25,63.25
-134.75,63.25
-134.25,63.25
-133.75,63.25
-133.25,63.25
-132.75,63.25
-132.25,63.25
-157.25,62.75
-152.75,62.75
-152.25,62.75
-151.75,62.75
-151.25,62.75
-150.75,62.75
-149.75,62.75
-149.25,62.75
-148.75,62.75
-148.25,62.75
-147.75,62.75
-147.25,62.75
-146.75,62.75
-146.25,62.75
-145.75,62.75
-145.25,62.75
-144.75,62.75
-144.25,62.75
-143.75,62.75
-143.25,62.75
-142.75,62.75
-142.25,62.75
-141.25,62.75
-140.75,62.75
-140.25,62.75
-139.75,62.75
-139.25,62.75
-138.75,62.75
-138.25,62.75
-137.75,62.75
-137.25,62.75
-136.75,62.75
-136.25,62.75
-135.75,62.75
-135.25,62.75
-134.75,62.75
-134.25,62.75
-133.75,62.75
-133.25,62.75
-132.75,62.75
-132.25,62.75
-154.25,62.25
-153.75,62.25
-153.25,62.25
-152.75,62.25
