x,y
-109.75,33.25
-110.75,32.75
-110.25,32.75
-109.75,32.75
-109.25,32.75
-110.25,32.25
-109.75,32.25
-109.25,32.25
-111.25,31.75
-110.75,31.75
-110.25,31.75
-109.75,31.75
-109.25,31.75
-108.75,31.75
-110.75,31.25
-110.25,31.25
-109.75,31.25
-109.25,31.25
-108.75,31.25
-108.25,31.25
-110.75,30.75
-110.25,30.75
-109.75,30.75
-109.25,30.75
-108.75,30.75
-108.25,30.75
-107.75,30.75
-110.75,30.25
-110.25,30.25
-109.75,30.25
-109.25,30.25
-108.75,30.25
-107.75,30.25
-107.25,30.25
-109.75,29.75
-107.25,29.75
-106.75,29.75
-106.25,29.75
-107.25,29.25
-106.75,29.25
-106.25,29.25
-107.25,28.75
-106.75,28.75
-106.25,28.75
-106.75,28.25
-106.25,28.25
-105.75,28.25
-106.75,27.75
-106.25,27.75
-105.75,27.75
-106.75,27.25
-106.25,27.25
-105.75,27.25
-105.25,27.25
-106.25,26.75
-105.25,26.75
-105.75,26.25
-105.25,26.25
-104.75,25.75
-105.25,25.25
-104.75,25.25
