x,y
-140.25,68.75
-135.25,68.75
-134.75,68.75
-134.25,68.75
-130.25,68.75
-141.25,68.25
-140.75,68.25
-140.25,68.25
-139.75,68.25
-139.25,68.25
-138.75,68.25
-138.25,68.25
-135.25,68.25
-134.75,68.25
-133.75,68.25
-133.25,68.25
-132.75,68.25
-132.25,68.25
-131.75,68.25
-131.25,68.25
-130.75,68.25
-130.25,68.25
-129.75,68.25
-129.25,68.25
-128.75,68.25
-143.75,67.75
-142.75,67.75
-142.25,67.75
-140.75,67.75
-140.25,67.75
-139.75,67.75
-139.25,67.75
-138.75,67.75
-138.25,67.75
-137.75,67.75
-135.75,67.75
-135.25,67.75
-134.75,67.75
-134.25,67.75
-133.75,67.75
-133.25,67.75
-132.75,67.75
-132.25,67.75
-131.75,67.75
-131.25,67.75
-130.75,67.75
-130.25,67.75
-129.75,67.75
-129.25,67.75
-128.75,67.75
-128.25,67.75
-127.75,67.75
-127.25,67.75
-126.75,67.75
-126.25,67.75
-125.75,67.75
-125.25,67.75
-162.25,67.25
-161.75,67.25
-161.25,67.25
-160.75,67.25
-159.75,67.25
-159.25,67.25
-158.75,67.25
-158.25,67.25
-157.75,67.25
-157.25,67.25
-147.75,67.25
-146.25,67.25
-145.75,67.25
-145.25,67.25
-144.75,67.25
-144.25,67.25
-143.75,67.25
-143.25,67.25
-142.75,67.25
-142.25,67.25
-141.75,67.25
-141.25,67.25
-140.75,67.25
-140.25,67.25
-139.75,67.25
-139.25,67.25
-138.75,67.25
-138.25,67.25
-137.75,67.25
-137.25,67.25
-135.75,67.25
-135.25,67.25
-134.75,67.25
-134.25,67.25
-133.75,67.25
-133.25,67.25
-132.75,67.25
-132.25,67.25
-131.75,67.25
-131.25,67.25
-130.75,67.25
-130.25,67.25
-129.75,67.25
-129.25,67.25
-128.75,67.25
-128.25,67.25
-127.75,67.25
-127.25,67.25
-126.75,67.25
-125.75,67.25
-125.25,67.25
-118.75,67.25
-118.25,67.25
-160.75,66.75
-157.75,66.75
-157.25,66.75
-156.75,66.75
-156.25,66.75
-155.75,66.75
-155.25,66.75
-154.75,66.75
-154.25,66.75
-153.75,66.75
-153.25,66.75
-152.75,66.75
-152.25,66.75
-151.75,66.75
-151.25,66.75
-150.75,66.75
-148.75,66.75
-148.25,66.75
-147.75,66.75
-147.25,66.75
-146.75,66.75
-146.25,66.75
-145.75,66.75
-145.25,66.75
-144.75,66.75
-144.25,66.75
-143.75,66.75
-143.25,66.75
-142.75,66.75
-142.25,66.75
-141.75,66.75
-141.25,66.75
-140.75,66.75
-140.25,66.75
-139.75,66.75
-139.25,66.75
-138.75,66.75
-138.25,66.75
-137.75,66.75
-137.25,66.75
-136.75,66.75
-135.75,66.75
-135.25,66.75
-134.75,66.75
-134.25,66.75
-133.75,66.75
-133.25,66.75
-132.75,66.75
-132.25,66.75
-131.75,66.75
-131.25,66.75
-130.75,66.75
-130.25,66.75
-129.75,66.75
-129.25,66.75
-128.75,66.75
-128.25,66.75
-127.75,66.75
-127.25,66.75
-126.75,66.75
-126.25,66.75
-125.75,66.75
-124.75,66.75
-119.25,66.75
-118.75,66.75
-118.25,66.75
-117.75,66.75
-117.25,66.75
-116.75,66.75
-116.25,66.75
-115.75,66.75
-159.25,66.25
-158.75,66.25
-158.25,66.25
-157.75,66.25
-156.75,66.25
-155.75,66.25
-155.25,66.25
-154.75,66.25
-154.25,66.25
-153.75,66.25
-153.25,66.25
-152.75,66.25
-152.25,66.25
-151.75,66.25
-151.25,66.25
-149.75,66.25
-149.25,66.25
-148.75,66.25
-148.25,66.25
-147.75,66.25
-147.25,66.25
-146.75,66.25
-146.25,66.25
-145.75,66.25
-145.25,66.25
-144.75,66.25
-144.25,66.25
-143.75,66.25
-143.25,66.25
-142.75,66.25
-142.25,66.25
-141.75,66.25
-141.25,66.25
-140.75,66.25
-140.25,66.25
-139.75,66.25
-139.25,66.25
-138.75,66.25
-138.25,66.25
-137.75,66.25
-137.25,66.25
-136.75,66.25
-136.25,66.25
-135.25,66.25
-134.75,66.25
-134.25,66.25
-133.75,66.25
-133.25,66.25
-132.75,66.25
-132.25,66.25
-131.75,66.25
-131.25,66.25
-130.75,66.25
-130.25,66.25
-129.75,66.25
-129.25,66.25
-128.75,66.25
-128.25,66.25
-127.75,66.25
-127.25,66.25
-126.75,66.25
-126.25,66.25
-125.75,66.25
-125.25,66.25
-124.25,66.25
-117.25,66.25
-116.75,66.25
-116.25,66.25
-115.75,66.25
-115.25,66.25
-114.75,66.25
-158.75,65.75
-158.25,65.75
-157.75,65.75
-157.25,65.75
-156.75,65.75
-156.25,65.75
-155.75,65.75
-155.25,65.75
-154.75,65.75
-154.25,65.75
-153.75,65.75
-153.25,65.75
-152.75,65.75
-152.25,65.75
-149.75,65.75
-149.25,65.75
-148.75,65.75
-148.25,65.75
-145.75,65.75
-145.25,65.75
-144.75,65.75
-144.25,65.75
-143.75,65.75
-143.25,65.75
-142.75,65.75
-142.25,65.75
-141.75,65.75
-141.25,65.75
-140.75,65.75
-140.25,65.75
-139.75,65.75
-139.25,65.75
-138.75,65.75
-138.25,65.75
-137.75,65.75
-137.25,65.75
-136.75,65.75
-136.25,65.75
-135.75,65.75
-135.25,65.75
-134.75,65.75
-134.25,65.75
-133.75,65.75
-133.25,65.75
-132.75,65.75
-132.25,65.75
-131.75,65.75
-131.25,65.75
-130.75,65.75
-130.25,65.75
-129.75,65.75
-129.25,65.75
-128.75,65.75
-128.25,65.75
-127.75,65.75
-127.25,65.75
-126.75,65.75
-126.25,65.75
-125.75,65.75
-125.25,65.75
-124.75,65.75
-124.25,65.75
-123.75,65.75
-123.25,65.75
-122.75,65.75
-117.75,65.75
-117.25,65.75
-116.75,65.75
-116.25,65.75
-115.75,65.75
-115.25,65.75
-114.75,65.75
-114.25,65.75
-113.75,65.75
-160.75,65.25
-160.25,65.25
-159.75,65.25
-158.75,65.25
-158.25,65.25
-157.75,65.25
-157.25,65.25
-156.75,65.25
-156.25,65.25
-155.75,65.25
-155.25,65.25
-153.25,65.25
-152.75,65.25
-152.25,65.25
-151.75,65.25
-151.25,65.25
-150.25,65.25
-149.75,65.25
-149.25,65.25
-148.75,65.25
-148.25,65.25
-142.75,65.25
-142.25,65.25
-141.75,65.25
-141.25,65.25
-140.75,65.25
-140.25,65.25
-139.75,65.25
-139.25,65.25
-138.75,65.25
-138.25,65.25
-137.75,65.25
-137.25,65.25
-136.75,65.25
-136.25,65.25
-135.75,65.25
-135.25,65.25
-134.75,65.25
-134.25,65.25
-133.75,65.25
-133.25,65.25
-132.75,65.25
-132.25,65.25
-131.75,65.25
-131.25,65.25
-130.75,65.25
-130.25,65.25
-129.75,65.25
-129.25,65.25
-128.75,65.25
-128.25,65.25
-127.75,65.25
-127.25,65.25
-126.75,65.25
-126.25,65.25
-125.75,65.25
-125.25,65.25
-124.75,65.25
-124.25,65.25
-123.75,65.25
-123.25,65.25
-121.25,65.25
-119.25,65.25
-117.75,65.25
-117.25,65.25
-116.75,65.25
-116.25,65.25
-115.75,65.25
