x,y
-112.25,35.75
-111.75,35.75
-109.25,35.75
-112.25,35.25
-111.75,35.25
-108.25,35.25
-107.75,35.25
-107.25,35.25
-106.25,35.25
-112.75,34.75
-112.25,34.75
-111.75,34.75
-111.25,34.75
-107.75,34.75
-106.25,34.75
-112.25,34.25
-111.75,34.25
-111.25,34.25
-110.75,34.25
-110.25,34.25
-109.75,34.25
-109.25,34.25
-108.25,34.25
-107.75,34.25
-107.25,34.25
-105.75,34.25
-111.25,33.75
-110.75,33.75
-110.25,33.75
-109.75,33.75
-109.25,33.75
-108.75,33.75
-107.75,33.75
-105.75,33.75
-110.75,33.25
-109.25,33.25
-108.75,33.25
-108.25,33.25
-107.75,33.25
-105.75,33.25
-105.25,33.25
-107.75,32.75
-105.75,32.75
-105.25,32.75
-104.75,32.25
-108.25,30.25
-108.75,29.75
-108.25,29.75
-107.75,29.75
-108.75,29.25
-108.25,29.25
-107.75,29.25
-108.75,28.75
-108.25,28.75
-107.75,28.75
-108.75,28.25
-108.25,28.25
-107.75,28.25
-107.25,28.25
-108.25,27.75
-107.75,27.75
-107.25,27.75
-108.25,27.25
-107.75,27.25
-107.25,27.25
-107.75,26.75
-107.25,26.75
-106.75,26.75
-105.75,26.75
-107.25,26.25
-106.75,26.25
-106.25,26.25
-106.75,25.75
-106.25,25.75
-105.75,25.75
-105.25,25.75
-106.75,25.25
-106.25,25.25
-105.75,25.25
-100.75,25.25
-100.25,25.25
