x,y
-95.75,79.75
-95.25,79.75
-94.75,79.75
-94.25,79.75
-93.75,79.75
-89.25,79.75
-88.75,79.75
-88.25,79.75
-87.75,79.75
-87.25,79.75
-86.25,79.75
-85.75,79.75
-85.25,79.75
-84.75,79.75
-84.25,79.75
-83.75,79.75
-83.25,79.75
-82.75,79.75
-82.25,79.75
-81.25,79.75
-72.75,79.75
-92.25,79.25
-91.75,79.25
-91.25,79.25
-90.75,79.25
-90.25,79.25
-89.75,79.25
-88.25,79.25
-87.75,79.25
-87.25,79.25
-86.75,79.25
-86.25,79.25
-84.25,79.25
-83.75,79.25
-83.25,79.25
-82.75,79.25
-82.25,79.25
-81.75,79.25
-81.25,79.25
-80.75,79.25
-80.25,79.25
-79.75,79.25
-79.25,79.25
-78.75,79.25
-78.25,79.25
-77.75,79.25
-103.25,78.75
-102.75,78.75
-102.25,78.75
-101.75,78.75
-101.25,78.75
-92.75,78.75
-92.25,78.75
-88.75,78.75
-88.25,78.75
-86.25,78.75
-85.75,78.75
-85.25,78.75
-84.75,78.75
-84.25,78.75
-83.75,78.75
-82.75,78.75
-82.25,78.75
-81.75,78.75
-101.25,78.25
-100.75,78.25
-100.25,78.25
-97.25,78.25
-96.75,78.25
-96.25,78.25
-95.75,78.25
-91.25,78.25
-86.75,78.25
-86.25,78.25
-85.75,78.25
-85.25,78.25
-84.75,78.25
-84.25,78.25
-83.75,78.25
-83.25,78.25
-82.75,78.25
-82.25,78.25
-112.75,77.75
-112.25,77.75
-111.75,77.75
-111.25,77.75
-110.75,77.75
-110.25,77.75
-95.75,77.75
-87.75,77.75
-87.25,77.75
-86.75,77.75
-84.75,77.75
-84.25,77.75
-83.75,77.75
-83.25,77.75
-82.75,77.75
-82.25,77.75
-118.75,77.25
-118.25,77.25
-117.75,77.25
-117.25,77.25
-116.75,77.25
-86.75,77.25
-86.25,77.25
-85.75,77.25
-85.25,77.25
-84.25,77.25
-83.75,77.25
-83.25,77.25
-82.75,77.25
-82.25,77.25
-81.25,77.25
-120.25,76.75
-119.75,76.75
-119.25,76.75
-118.75,76.75
-117.25,76.75
-116.75,76.75
-96.25,76.75
-95.75,76.75
-95.25,76.75
-94.75,76.75
-94.25,76.75
-93.75,76.75
-89.25,76.75
-88.75,76.75
-88.25,76.75
-87.75,76.75
-87.25,76.75
-86.75,76.75
-86.25,76.75
-85.75,76.75
-85.25,76.75
-84.75,76.75
-84.25,76.75
-83.75,76.75
-83.25,76.75
-82.75,76.75
-82.25,76.75
-81.75,76.75
-122.25,76.25
-121.75,76.25
-121.25,76.25
-120.75,76.25
-120.25,76.25
-119.75,76.25
-119.25,76.25
-115.75,76.25
-115.25,76.25
-114.75,76.25
-114.25,76.25
-109.25,76.25
-108.75,76.25
-101.25,76.25
-99.75,76.25
-99.25,76.25
-98.75,76.25
-98.25,76.25
-97.75,76.25
-92.75,76.25
-92.25,76.25
-91.75,76.25
-91.25,76.25
-116.25,75.75
-115.75,75.75
-115.25,75.75
-114.75,75.75
-114.25,75.75
-113.75,75.75
-113.25,75.75
-112.75,75.75
-112.25,75.75
-111.75,75.75
-108.75,75.75
-108.25,75.75
-107.75,75.75
-107.25,75.75
-106.75,75.75
-106.25,75.75
-100.75,75.75
-100.25,75.75
-99.75,75.75
-99.25,75.75
-98.75,75.75
-98.25,75.75
-91.75,75.75
-91.25,75.75
-90.75,75.75
-90.25,75.75
-89.75,75.75
-116.25,75.25
-115.75,75.25
-115.25,75.25
-114.75,75.25
-113.25,75.25
-112.75,75.25
-112.25,75.25
-111.75,75.25
-111.25,75.25
-110.75,75.25
-110.25,75.25
-109.75,75.25
-109.25,75.25
-108.75,75.25
-108.25,75.25
-107.75,75.25
-107.25,75.25
-106.75,75.25
-106.25,75.25
-99.75,75.25
-99.25,75.25
-98.75,75.25
-98.25,75.25
-95.75,75.25
-95.25,75.25
-94.75,75.25
-94.25,75.25
-92.25,75.25
-91.75,75.25
-91.25,75.25
-90.75,75.25
-90.25,75.25
-89.75,75.25
-89.25,75.25
-88.75,75.25
-88.25,75.25
-87.75,75.25
-87.25,75.25
-86.75,75.25
-86.25,75.25
-85.75,75.25
-85.25,75.25
-84.75,75.25
-113.25,74.75
-112.75,74.75
-112.25,74.75
-111.75,74.75
-111.25,74.75
-94.75,74.75
-94.25,74.75
-90.75,74.75
-90.25,74.75
-89.75,74.75
-88.25,74.75
-87.75,74.75
-87.25,74.75
-86.75,74.75
-86.25,74.75
-85.75,74.75
-85.25,74.75
-84.25,74.75
-83.75,74.75
-82.75,74.75
-124.25,74.25
-123.75,74.25
-123.25,74.25
-122.75,74.25
-122.25,74.25
-121.75,74.25
-121.25,74.25
-120.75,74.25
-120.25,74.25
-123.75,73.75
-123.25,73.75
-122.75,73.75
-122.25,73.75
-121.75,73.75
-121.25,73.75
-120.75,73.75
-120.25,73.75
-119.75,73.75
-119.25,73.75
-118.75,73.75
-118.25,73.75
-117.75,73.75
-117.25,73.75
-116.75,73.75
-116.25,73.75
-100.25,73.75
-94.75,73.75
-94.25,73.75
-93.75,73.75
-93.25,73.75
-92.75,73.75
-92.25,73.75
-91.75,73.75
-91.25,73.75
-90.75,73.75
-86.25,73.75
-124.25,73.25
-123.75,73.25
-123.25,73.25
-122.75,73.25
-122.25,73.25
