genus	species	family	order
Arctocephalus	australis	OTARIIDAE	CARNIVORA
Arctocephalus	forsteri	OTARIIDAE	CARNIVORA
Arctocephalus	galapagoensis	OTARIIDAE	CARNIVORA
Arctocephalus	gazella	OTARIIDAE	CARNIVORA
Arctocephalus	philippii	OTARIIDAE	CARNIVORA
Arctocephalus	pusillus	OTARIIDAE	CARNIVORA
Arctocephalus	townsendi	OTARIIDAE	CARNIVORA
Arctocephalus	tropicalis	OTARIIDAE	CARNIVORA
Callorhinus	ursinus	OTARIIDAE	CARNIVORA
Eumetopias	jubatus	OTARIIDAE	CARNIVORA
Neophoca	cinerea	OTARIIDAE	CARNIVORA
Otaria	byronia	OTARIIDAE	CARNIVORA
Phocarctos	hookeri	OTARIIDAE	CARNIVORA
Zalophus	californianus	OTARIIDAE	CARNIVORA
Zalophus	japonicus	OTARIIDAE	CARNIVORA
Zalophus	wollebaeki	OTARIIDAE	CARNIVORA
Odobenus	rosmarus	ODOBENIDAE	CARNIVORA
Cystophora	cristata	PHOCIDAE	CARNIVORA
Erignathus	barbatus	PHOCIDAE	CARNIVORA
Halichoerus	grypus	PHOCIDAE	CARNIVORA
Histriophoca	fasciata	PHOCIDAE	CARNIVORA
Hydrurga	leptonyx	PHOCIDAE	CARNIVORA
Leptonychotes	weddellii	PHOCIDAE	CARNIVORA
Lobodon	carcinophaga	PHOCIDAE	CARNIVORA
Mirounga	angustirostris	PHOCIDAE	CARNIVORA
Mirounga	leonina	PHOCIDAE	CARNIVORA
Monachus	monachus	PHOCIDAE	CARNIVORA
Neomonachus	schauinslandi	PHOCIDAE	CARNIVORA
Neomonachus	tropicalis	PHOCIDAE	CARNIVORA
Ommatophoca	rossii	PHOCIDAE	CARNIVORA
Pagophilus	groenlandicus	PHOCIDAE	CARNIVORA
Phoca	largha	PHOCIDAE	CARNIVORA
Phoca	vitulina	PHOCIDAE	CARNIVORA
Pusa	caspica	PHOCIDAE	CARNIVORA
Pusa	hispida	PHOCIDAE	CARNIVORA
Pusa	sibirica	PHOCIDAE	CARNIVORA
Balaena	mysticetus	BALAENIDAE	CETARTIODACTYLA
Eubalaena	australis	BALAENIDAE	CETARTIODACTYLA
Eubalaena	glacialis	BALAENIDAE	CETARTIODACTYLA
Eubalaena	japonica	BALAENIDAE	CETARTIODACTYLA
Caperea	marginata	NEOBALAENIDAE	CETARTIODACTYLA
Balaenoptera	acutorostrata	BALAENOPTERIDAE	CETARTIODACTYLA
Balaenoptera	bonaerensis	BALAENOPTERIDAE	CETARTIODACTYLA
Balaenoptera	borealis	BALAENOPTERIDAE	CETARTIODACTYLA
Balaenoptera	edeni	BALAENOPTERIDAE	CETARTIODACTYLA
Balaenoptera	musculus	BALAENOPTERIDAE	CETARTIODACTYLA
Balaenoptera	omurai	BALAENOPTERIDAE	CETARTIODACTYLA
Balaenoptera	physalus	BALAENOPTERIDAE	CETARTIODACTYLA
Megaptera	novaeangliae	BALAENOPTERIDAE	CETARTIODACTYLA
Eschrichtius	robustus	ESCHRICHTIIDAE	CETARTIODACTYLA
Cephalorhynchus	commersonii	DELPHINIDAE	CETARTIODACTYLA
Cephalorhynchus	eutropia	DELPHINIDAE	CETARTIODACTYLA
Cephalorhynchus	heavisidii	DELPHINIDAE	CETARTIODACTYLA
Cephalorhynchus	hectori	DELPHINIDAE	CETARTIODACTYLA
Delphinus	capensis	DELPHINIDAE	CETARTIODACTYLA
Delphinus	delphis	DELPHINIDAE	CETARTIODACTYLA
Feresa	attenuata	DELPHINIDAE	CETARTIODACTYLA
Globicephala	macrorhynchus	DELPHINIDAE	CETARTIODACTYLA
Globicephala	melas	DELPHINIDAE	CETARTIODACTYLA
Grampus	griseus	DELPHINIDAE	CETARTIODACTYLA
Lagenodelphis	hosei	DELPHINIDAE	CETARTIODACTYLA
Lagenorhynchus	acutus	DELPHINIDAE	CETARTIODACTYLA
Lagenorhynchus	albirostris	DELPHINIDAE	CETARTIODACTYLA
Lagenorhynchus	australis	DELPHINIDAE	CETARTIODACTYLA
Lagenorhynchus	cruciger	DELPHINIDAE	CETARTIODACTYLA
Lagenorhynchus	obliquidens	DELPHINIDAE	CETARTIODACTYLA
Lagenorhynchus	obscurus	DELPHINIDAE	CETARTIODACTYLA
Lissodelphis	borealis	DELPHINIDAE	CETARTIODACTYLA
Lissodelphis	peronii	DELPHINIDAE	CETARTIODACTYLA
Orcaella	brevirostris	DELPHINIDAE	CETARTIODACTYLA
Orcaella	heinsohni	DELPHINIDAE	CETARTIODACTYLA
Orcinus	orca	DELPHINIDAE	CETARTIODACTYLA
Peponocephala	electra	DELPHINIDAE	CETARTIODACTYLA
Pseudorca	crassidens	DELPHINIDAE	CETARTIODACTYLA
Sotalia	fluviatilis	DELPHINIDAE	CETARTIODACTYLA
Sotalia	guianensis	DELPHINIDAE	CETARTIODACTYLA
Sousa	chinensis	DELPHINIDAE	CETARTIODACTYLA
Sousa	teuszii	DELPHINIDAE	CETARTIODACTYLA
Stenella	attenuata	DELPHINIDAE	CETARTIODACTYLA
Stenella	clymene	DELPHINIDAE	CETARTIODACTYLA
Stenella	coeruleoalba	DELPHINIDAE	CETARTIODACTYLA
Stenella	frontalis	DELPHINIDAE	CETARTIODACTYLA
Stenella	longirostris	DELPHINIDAE	CETARTIODACTYLA
Steno	bredanensis	DELPHINIDAE	CETARTIODACTYLA
Tursiops	aduncus	DELPHINIDAE	CETARTIODACTYLA
Tursiops	truncatus	DELPHINIDAE	CETARTIODACTYLA
Delphinapterus	leucas	MONODONTIDAE	CETARTIODACTYLA
Monodon	monoceros	MONODONTIDAE	CETARTIODACTYLA
Neophocaena	asiaeorientalis	PHOCOENIDAE	CETARTIODACTYLA
Neophocaena	phocaenoides	PHOCOENIDAE	CETARTIODACTYLA
Phocoena	dioptrica	PHOCOENIDAE	CETARTIODACTYLA
Phocoena	phocoena	PHOCOENIDAE	CETARTIODACTYLA
Phocoena	sinus	PHOCOENIDAE	CETARTIODACTYLA
Phocoena	spinipinnis	PHOCOENIDAE	CETARTIODACTYLA
Phocoenoides	dalli	PHOCOENIDAE	CETARTIODACTYLA
Kogia	breviceps	PHYSETERIDAE	CETARTIODACTYLA
Kogia	sima	PHYSETERIDAE	CETARTIODACTYLA
Physeter	macrocephalus	PHYSETERIDAE	CETARTIODACTYLA
Inia	geoffrensis	INIIDAE	CETARTIODACTYLA
Lipotes	vexillifer	INIIDAE	CETARTIODACTYLA
