species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Altingiaceae	0.0	0.0	37.944917	-87.639989	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	34.099771999999994	-83.811512	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	39.852497	-75.279808	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	36.080669	-78.845603	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	23.773132999999998	-99.31626999999999	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	39.191111	-75.707222	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	30.744087	-95.47375100000001	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	40.524753000000004	-74.401174	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	35.772589	-84.265305	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	32.504767	-93.719258	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	38.665164000000004	-77.208022	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	35.574255	-80.931122	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	41.609441	-81.3041	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	40.505005	-75.06875500000002	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	40.661018	-74.373184	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	40.767527	-73.97796600000002	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	35.986742	-79.06170999999998	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	35.834958	-78.986312	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	19.457039	-96.939699	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	40.434814	-73.98499100000002	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	36.26432	-91.057962	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	35.081907	-85.587276	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	35.029714	-85.58076899999998	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	37.145506	-76.466303	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	40.499361	-78.020191	0.0	0.0	0.0021
Altingiaceae	0.0	0.0	40.039255	-86.09885200000002	0.0	0.0	0.0021
