species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Antrozous	0.0	0.0	39.178178	-120.738355	0.0	0.0	0.0021
Antrozous	0.0	0.0	37.481863	-111.20973799999999	0.0	0.0	0.0021
Antrozous	0.0	0.0	31.834757	-110.35411699999999	0.0	0.0	0.0021
Antrozous	0.0	0.0	35.130018	-114.119716	0.0	0.0	0.0021
Antrozous	0.0	0.0	30.595434	-103.932435	0.0	0.0	0.0021
Antrozous	0.0	0.0	31.88657700000001	-109.173608	0.0	0.0	0.0021
Antrozous	0.0	0.0	32.013571	-109.342295	0.0	0.0	0.0021
Antrozous	0.0	0.0	29.252501000000002	-103.172226	0.0	0.0	0.0021
Antrozous	0.0	0.0	35.125783	-120.58187099999999	0.0	0.0	0.0021
Antrozous	0.0	0.0	36.486919	-118.83984099999999	0.0	0.0	0.0021
Antrozous	0.0	0.0	34.829066999999995	-111.856195	0.0	0.0	0.0021
Antrozous	0.0	0.0	36.413662	-113.955909	0.0	0.0	0.0021
Antrozous	0.0	0.0	38.776039000000004	-120.973152	0.0	0.0	0.0021
Antrozous	0.0	0.0	36.414970000000004	-113.957307	0.0	0.0	0.0021
Antrozous	0.0	0.0	36.94165	-114.446983	0.0	0.0	0.0021
Antrozous	0.0	0.0	29.787	-99.78	0.0	0.0	0.0021
Antrozous	0.0	0.0	36.461258	-114.25535500000001	0.0	0.0	0.0021
Antrozous	0.0	0.0	32.298681	-106.725485	0.0	0.0	0.0021
Antrozous	0.0	0.0	33.281464	-116.627922	0.0	0.0	0.0021
Antrozous	0.0	0.0	31.713408	-110.873345	0.0	0.0	0.0021
Antrozous	0.0	0.0	31.47118	-110.975598	0.0	0.0	0.0021
Antrozous	0.0	0.0	33.279187	-111.158897	0.0	0.0	0.0021
Antrozous	0.0	0.0	37.866253	-121.881897	0.0	0.0	0.0021
Antrozous	0.0	0.0	35.86282999999999	-120.64339299999999	0.0	0.0	0.0021
Antrozous	0.0	0.0	34.542446999999996	-119.81275500000001	0.0	0.0	0.0021
