species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Betulaceae	0.0	0.0	53.72903	-111.26867	0.0	0.0	0.0021
Betulaceae	0.0	0.0	53.56087900000001	-113.42048999999999	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.942588	-71.701161	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.689608	-70.229215	0.0	0.0	0.0021
Betulaceae	0.0	0.0	47.621162	-83.679953	0.0	0.0	0.0021
Betulaceae	0.0	0.0	44.504678999999996	-79.09400600000002	0.0	0.0	0.0021
Betulaceae	0.0	0.0	44.599726000000004	-78.697151	0.0	0.0	0.0021
Betulaceae	0.0	0.0	41.143361	-81.39545	0.0	0.0	0.0021
Betulaceae	0.0	0.0	41.553288	-87.603865	0.0	0.0	0.0021
Betulaceae	0.0	0.0	34.591654	-119.268179	0.0	0.0	0.0021
Betulaceae	0.0	0.0	47.38681	-91.19914200000001	0.0	0.0	0.0021
Betulaceae	0.0	0.0	42.214942	-74.481164	0.0	0.0	0.0021
Betulaceae	0.0	0.0	44.383958	-78.347882	0.0	0.0	0.0021
Betulaceae	0.0	0.0	44.382121999999995	-78.347227	0.0	0.0	0.0021
Betulaceae	0.0	0.0	45.634746	-75.657229	0.0	0.0	0.0021
Betulaceae	0.0	0.0	34.266119	-118.143475	0.0	0.0	0.0021
Betulaceae	0.0	0.0	37.515935999999996	-121.830633	0.0	0.0	0.0021
Betulaceae	0.0	0.0	48.050173	-89.510276	0.0	0.0	0.0021
Betulaceae	0.0	0.0	38.744837	-79.601112	0.0	0.0	0.0021
Betulaceae	0.0	0.0	44.336333	-74.150239	0.0	0.0	0.0021
Betulaceae	0.0	0.0	32.211109	-110.548754	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.47683	-72.87263	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.310194	-79.87899399999998	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.319596999999995	-79.867769	0.0	0.0	0.0021
Betulaceae	0.0	0.0	44.377963	-78.371527	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.501542	-72.37812	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.722423	-71.44051400000002	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.315402	-79.88611999999998	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.72211	-71.440252	0.0	0.0	0.0021
Betulaceae	0.0	0.0	43.5997	-72.517067	0.0	0.0	0.0021
Betulaceae	0.0	0.0	38.978002000000004	-77.043374	0.0	0.0	0.0021
