species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Blarina	0.0	0.0	28.795790000000004	-97.05221999999999	0.0	0.0	0.0021
Blarina	0.0	0.0	40.851215	-73.943388	0.0	0.0	0.0021
Blarina	0.0	0.0	41.5198	-92.07751400000001	0.0	0.0	0.0021
Blarina	0.0	0.0	34.632463	-84.86596899999998	0.0	0.0	0.0021
Blarina	0.0	0.0	34.964638	-85.375458	0.0	0.0	0.0021
Blarina	0.0	0.0	40.670971	-81.44237199999998	0.0	0.0	0.0021
Blarina	0.0	0.0	39.49872	-82.122886	0.0	0.0	0.0021
Blarina	0.0	0.0	40.076591	-86.022108	0.0	0.0	0.0021
Blarina	0.0	0.0	44.183587	-73.037255	0.0	0.0	0.0021
Blarina	0.0	0.0	43.628807	-72.93973000000003	0.0	0.0	0.0021
Blarina	0.0	0.0	42.978278	-72.572188	0.0	0.0	0.0021
Blarina	0.0	0.0	43.183568	-72.446603	0.0	0.0	0.0021
Blarina	0.0	0.0	42.487667	-84.06594100000002	0.0	0.0	0.0021
Blarina	0.0	0.0	34.774541	-82.360318	0.0	0.0	0.0021
Blarina	0.0	0.0	32.569065	-80.25664499999998	0.0	0.0	0.0021
Blarina	0.0	0.0	31.597045	-89.200608	0.0	0.0	0.0021
Blarina	0.0	0.0	34.909801	-80.826138	0.0	0.0	0.0021
Blarina	0.0	0.0	42.9867	-89.381548	0.0	0.0	0.0021
Blarina	0.0	0.0	33.806205	-84.28379699999998	0.0	0.0	0.0021
Blarina	0.0	0.0	43.025509	-77.06681800000001	0.0	0.0	0.0021
Blarina	0.0	0.0	42.40129	-85.389096	0.0	0.0	0.0021
Blarina	0.0	0.0	39.212247	-76.916655	0.0	0.0	0.0021
Blarina	0.0	0.0	46.797984	-96.12266899999999	0.0	0.0	0.0021
Blarina	0.0	0.0	38.759352	-77.116324	0.0	0.0	0.0021
Blarina	0.0	0.0	42.43931	-71.514928	0.0	0.0	0.0021
Blarina	0.0	0.0	38.629983	-77.560013	0.0	0.0	0.0021
Blarina	0.0	0.0	43.03308	-89.351434	0.0	0.0	0.0021
Blarina	0.0	0.0	34.547464	-86.951144	0.0	0.0	0.0021
Blarina	0.0	0.0	41.602524	-87.89683000000002	0.0	0.0	0.0021
Blarina	0.0	0.0	38.843216999999996	-77.273092	0.0	0.0	0.0021
Blarina	0.0	0.0	44.456158	-72.97203	0.0	0.0	0.0021
Blarina	0.0	0.0	30.120635999999998	-95.775521	0.0	0.0	0.0021
Blarina	0.0	0.0	38.762892	-77.59165899999998	0.0	0.0	0.0021
Blarina	0.0	0.0	38.825594	-77.131653	0.0	0.0	0.0021
Blarina	0.0	0.0	38.756643	-77.113569	0.0	0.0	0.0021
Blarina	0.0	0.0	41.182705	-73.6948	0.0	0.0	0.0021
Blarina	0.0	0.0	39.135869	-77.332185	0.0	0.0	0.0021
Blarina	0.0	0.0	35.817422	-81.180358	0.0	0.0	0.0021
Blarina	0.0	0.0	31.594128	-95.574813	0.0	0.0	0.0021
Blarina	0.0	0.0	38.003454999999995	-78.48627900000002	0.0	0.0	0.0021
Blarina	0.0	0.0	37.210592999999996	-80.407337	0.0	0.0	0.0021
Blarina	0.0	0.0	42.433997	-71.517783	0.0	0.0	0.0021
Blarina	0.0	0.0	35.706042	-82.603811	0.0	0.0	0.0021
Blarina	0.0	0.0	39.34823	-75.134749	0.0	0.0	0.0021
Blarina	0.0	0.0	41.011264000000004	-81.940322	0.0	0.0	0.0021
Blarina	0.0	0.0	42.540858	-76.601167	0.0	0.0	0.0021
Blarina	0.0	0.0	33.524415000000005	-86.834795	0.0	0.0	0.0021
Blarina	0.0	0.0	30.479069	-84.199995	0.0	0.0	0.0021
Blarina	0.0	0.0	41.539392	-88.166928	0.0	0.0	0.0021
Blarina	0.0	0.0	42.492808000000004	-70.842272	0.0	0.0	0.0021
Blarina	0.0	0.0	41.248146999999996	-95.976753	0.0	0.0	0.0021
Blarina	0.0	0.0	42.432133	-71.107943	0.0	0.0	0.0021
Blarina	0.0	0.0	42.307045	-71.091689	0.0	0.0	0.0021
Blarina	0.0	0.0	41.77539	-72.372674	0.0	0.0	0.0021
Blarina	0.0	0.0	41.255469	-73.569789	0.0	0.0	0.0021
Blarina	0.0	0.0	42.431991	-71.10771899999997	0.0	0.0	0.0021
Blarina	0.0	0.0	38.339289	-75.633977	0.0	0.0	0.0021
Blarina	0.0	0.0	44.626585	-73.27578199999998	0.0	0.0	0.0021
Blarina	0.0	0.0	38.084437	-85.780119	0.0	0.0	0.0021
Blarina	0.0	0.0	40.794783	-73.77623	0.0	0.0	0.0021
Blarina	0.0	0.0	40.821159	-81.0961	0.0	0.0	0.0021
Blarina	0.0	0.0	40.705566999999995	-83.307523	0.0	0.0	0.0021
Blarina	0.0	0.0	44.978181	-93.321311	0.0	0.0	0.0021
Blarina	0.0	0.0	41.53735	-81.859596	0.0	0.0	0.0021
Blarina	0.0	0.0	42.025044	-71.189447	0.0	0.0	0.0021
Blarina	0.0	0.0	42.236877	-70.987747	0.0	0.0	0.0021
Blarina	0.0	0.0	39.25382000000001	-75.461272	0.0	0.0	0.0021
Blarina	0.0	0.0	35.508532	-80.834811	0.0	0.0	0.0021
Blarina	0.0	0.0	40.478888	-74.42053299999998	0.0	0.0	0.0021
Blarina	0.0	0.0	38.054255	-76.646299	0.0	0.0	0.0021
Blarina	0.0	0.0	42.6221	-85.97023	0.0	0.0	0.0021
Blarina	0.0	0.0	43.192433	-71.575478	0.0	0.0	0.0021
Blarina	0.0	0.0	47.079293	-96.434426	0.0	0.0	0.0021
Blarina	0.0	0.0	42.175145	-74.020287	0.0	0.0	0.0021
Blarina	0.0	0.0	42.736165	-73.653805	0.0	0.0	0.0021
