species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Boraginaceae	0.0	0.0	44.120469	-92.174716	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	36.431411	-118.597843	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	30.412481	-97.757103	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	31.113805	-93.91940699999999	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	30.417972	-97.75853599999999	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	40.040108000000004	-105.198953	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	43.363901	-111.17651299999999	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	43.369911	-111.168099	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	45.534427	-95.531147	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	41.851312	-82.510138	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	41.268931	-81.639325	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	44.669984	-77.879328	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	30.278258	-97.82956899999999	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	48.072758	-89.449926	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	37.84993	-122.19281200000002	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	46.033586	-65.143516	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	49.725811	-94.581312	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	43.297499	-79.90570500000003	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	19.117126000000006	-99.065848	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	42.757562	-80.314624	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	45.3738	-75.797027	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	44.85559600000001	-73.33791	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	42.183152	-80.024929	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	37.207679	-122.348712	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	33.913591	-115.825682	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	48.065704	-89.472603	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	43.028079	-89.437843	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	39.010146	-107.053781	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	40.516936	-74.44067199999998	0.0	0.0	0.0021
Boraginaceae	0.0	0.0	44.370816999999995	-72.54281800000003	0.0	0.0	0.0021
