species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Eptesicus	0.0	0.0	31.723114000000002	-91.380835	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.515795000000004	-89.78448	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.758963	-89.69324	0.0	0.0	0.0021
Eptesicus	0.0	0.0	30.948196999999997	-88.655271	0.0	0.0	0.0021
Eptesicus	0.0	0.0	43.035212	-76.13584399999998	0.0	0.0	0.0021
Eptesicus	0.0	0.0	38.48452	-122.14971299999999	0.0	0.0	0.0021
Eptesicus	0.0	0.0	38.482923	-122.147095	0.0	0.0	0.0021
Eptesicus	0.0	0.0	30.022831	-95.295029	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.49423	-79.95015	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.947716	-81.79034	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.191495	-75.45761999999998	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.441202000000004	-79.999826	0.0	0.0	0.0021
Eptesicus	0.0	0.0	42.447998	-76.475756	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.126236	-84.032782	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.302017	-81.393198	0.0	0.0	0.0021
Eptesicus	0.0	0.0	39.440613	-82.573954	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.780231	-90.139971	0.0	0.0	0.0021
Eptesicus	0.0	0.0	36.137529	-96.113807	0.0	0.0	0.0021
Eptesicus	0.0	0.0	36.086465999999994	-94.58730899999999	0.0	0.0	0.0021
Eptesicus	0.0	0.0	38.84147100000001	-77.059852	0.0	0.0	0.0021
Eptesicus	0.0	0.0	42.997386999999996	-78.18208299999998	0.0	0.0	0.0021
Eptesicus	0.0	0.0	42.253802	-71.33658	0.0	0.0	0.0021
Eptesicus	0.0	0.0	30.617679	-88.943688	0.0	0.0	0.0021
Eptesicus	0.0	0.0	42.253692	-71.336573	0.0	0.0	0.0021
Eptesicus	0.0	0.0	38.544803	-121.652424	0.0	0.0	0.0021
Eptesicus	0.0	0.0	36.475955	-121.185349	0.0	0.0	0.0021
Eptesicus	0.0	0.0	31.894944	-109.164635	0.0	0.0	0.0021
Eptesicus	0.0	0.0	42.45758	-71.68939300000002	0.0	0.0	0.0021
Eptesicus	0.0	0.0	36.459024	-121.02568799999999	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.336022	-72.909842	0.0	0.0	0.0021
Eptesicus	0.0	0.0	38.634688	-90.473038	0.0	0.0	0.0021
Eptesicus	0.0	0.0	39.813828	-75.641624	0.0	0.0	0.0021
Eptesicus	0.0	0.0	39.827339	-75.630898	0.0	0.0	0.0021
Eptesicus	0.0	0.0	37.045251	-122.134171	0.0	0.0	0.0021
Eptesicus	0.0	0.0	34.910947	-87.10632700000002	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.003599	-81.40219	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.764613	-72.825875	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.459595	-86.905746	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.381513	-73.55413	0.0	0.0	0.0021
Eptesicus	0.0	0.0	38.588313	-92.23401700000001	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.332583	-86.435287	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.660563	-78.56365699999998	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.02292	-75.42126800000003	0.0	0.0	0.0021
Eptesicus	0.0	0.0	43.022701	-77.06085999999998	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.848607	-76.61887	0.0	0.0	0.0021
Eptesicus	0.0	0.0	35.871356	-78.64203499999998	0.0	0.0	0.0021
Eptesicus	0.0	0.0	35.236542	-77.88707	0.0	0.0	0.0021
Eptesicus	0.0	0.0	35.631597	-82.35339300000003	0.0	0.0	0.0021
Eptesicus	0.0	0.0	42.378611	-71.10256700000002	0.0	0.0	0.0021
Eptesicus	0.0	0.0	32.243916999999996	-111.165405	0.0	0.0	0.0021
Eptesicus	0.0	0.0	31.489311999999998	-89.427628	0.0	0.0	0.0021
Eptesicus	0.0	0.0	34.617838	-94.38053000000001	0.0	0.0	0.0021
Eptesicus	0.0	0.0	30.300805	-95.804078	0.0	0.0	0.0021
Eptesicus	0.0	0.0	34.192370000000004	-81.100709	0.0	0.0	0.0021
Eptesicus	0.0	0.0	39.500075	-84.755325	0.0	0.0	0.0021
Eptesicus	0.0	0.0	32.243963	-111.165444	0.0	0.0	0.0021
Eptesicus	0.0	0.0	37.210592999999996	-80.407337	0.0	0.0	0.0021
Eptesicus	0.0	0.0	44.641673	-73.303005	0.0	0.0	0.0021
Eptesicus	0.0	0.0	44.592597	-73.222838	0.0	0.0	0.0021
Eptesicus	0.0	0.0	35.839655	-86.068669	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.579153999999996	-88.455304	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.080279	-81.406536	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.579054	-88.4555	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.282225	-73.92844000000002	0.0	0.0	0.0021
Eptesicus	0.0	0.0	37.720768	-97.292971	0.0	0.0	0.0021
Eptesicus	0.0	0.0	36.110847	-97.067994	0.0	0.0	0.0021
Eptesicus	0.0	0.0	35.631597	-82.35339300000003	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.998909999999995	-81.089995	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.25624000000001	-72.472379	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.665995	-101.16045799999999	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.666043	-101.160247	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.326751	-96.05718	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.666173	-101.16011	0.0	0.0	0.0021
Eptesicus	0.0	0.0	35.834855	-120.60700800000001	0.0	0.0	0.0021
Eptesicus	0.0	0.0	39.870415	-82.759214	0.0	0.0	0.0021
Eptesicus	0.0	0.0	46.989016	-100.612831	0.0	0.0	0.0021
Eptesicus	0.0	0.0	32.336755	-90.00891800000002	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.661925	-86.523163	0.0	0.0	0.0021
Eptesicus	0.0	0.0	39.004979999999996	-76.680428	0.0	0.0	0.0021
Eptesicus	0.0	0.0	42.313562	-71.22466999999997	0.0	0.0	0.0021
Eptesicus	0.0	0.0	35.769443	-120.80056200000001	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.409892	-81.884033	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.29793	-76.655512	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.095265999999995	-75.537823	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.107723	-88.203941	0.0	0.0	0.0021
Eptesicus	0.0	0.0	41.987518	-70.956505	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.666043	-101.160247	0.0	0.0	0.0021
Eptesicus	0.0	0.0	30.890162	-88.694565	0.0	0.0	0.0021
Eptesicus	0.0	0.0	30.864365999999997	-88.75936300000002	0.0	0.0	0.0021
Eptesicus	0.0	0.0	40.893213	-81.705685	0.0	0.0	0.0021
Eptesicus	0.0	0.0	36.830538	-76.849875	0.0	0.0	0.0021
Eptesicus	0.0	0.0	34.522597999999995	-84.51814300000002	0.0	0.0	0.0021
Eptesicus	0.0	0.0	34.52388	-84.920151	0.0	0.0	0.0021
Eptesicus	0.0	0.0	36.06090800000001	-86.906	0.0	0.0	0.0021
Eptesicus	0.0	0.0	44.337401	-89.712778	0.0	0.0	0.0021
Eptesicus	0.0	0.0	33.437787	-86.780351	0.0	0.0	0.0021
