species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Geomys	0.0	0.0	31.562456	-86.135574	0.0	0.0	0.0021
Geomys	0.0	0.0	29.85761500000001	-97.338165	0.0	0.0	0.0021
Geomys	0.0	0.0	31.581875	-86.14243	0.0	0.0	0.0021
Geomys	0.0	0.0	29.578647999999998	-82.608551	0.0	0.0	0.0021
Geomys	0.0	0.0	30.887241999999997	-98.656882	0.0	0.0	0.0021
Geomys	0.0	0.0	29.969425	-96.225226	0.0	0.0	0.0021
Geomys	0.0	0.0	31.012352000000003	-85.04509	0.0	0.0	0.0021
Geomys	0.0	0.0	29.671389	-96.267776	0.0	0.0	0.0021
Geomys	0.0	0.0	31.587913	-96.524916	0.0	0.0	0.0021
Geomys	0.0	0.0	31.012929999999997	-85.148712	0.0	0.0	0.0021
Geomys	0.0	0.0	31.470667	-85.395691	0.0	0.0	0.0021
Geomys	0.0	0.0	30.887809000000004	-98.656787	0.0	0.0	0.0021
Geomys	0.0	0.0	29.678706	-81.950836	0.0	0.0	0.0021
Geomys	0.0	0.0	29.377640999999997	-98.068609	0.0	0.0	0.0021
Geomys	0.0	0.0	29.113699	-98.17094	0.0	0.0	0.0021
Geomys	0.0	0.0	32.784215	-97.827537	0.0	0.0	0.0021
Geomys	0.0	0.0	32.318103	-97.693915	0.0	0.0	0.0021
Geomys	0.0	0.0	32.07053	-86.14473000000002	0.0	0.0	0.0021
Geomys	0.0	0.0	30.100482	-97.21499	0.0	0.0	0.0021
Geomys	0.0	0.0	29.042498	-82.37569599999998	0.0	0.0	0.0021
Geomys	0.0	0.0	32.611162	-97.405415	0.0	0.0	0.0021
Geomys	0.0	0.0	37.631663	-97.341888	0.0	0.0	0.0021
Geomys	0.0	0.0	31.187633	-85.075613	0.0	0.0	0.0021
Geomys	0.0	0.0	26.719713	-98.45200000000001	0.0	0.0	0.0021
Geomys	0.0	0.0	31.085059	-85.06585	0.0	0.0	0.0021
Geomys	0.0	0.0	29.913791999999997	-95.94103199999999	0.0	0.0	0.0021
Geomys	0.0	0.0	27.64071400000001	-97.305409	0.0	0.0	0.0021
Geomys	0.0	0.0	31.278373	-85.097571	0.0	0.0	0.0021
Geomys	0.0	0.0	41.07445	-87.642709	0.0	0.0	0.0021
Geomys	0.0	0.0	47.396662	-94.414803	0.0	0.0	0.0021
Geomys	0.0	0.0	30.18923400000001	-97.231172	0.0	0.0	0.0021
Geomys	0.0	0.0	45.043728	-95.882994	0.0	0.0	0.0021
Geomys	0.0	0.0	29.186971000000003	-99.34108499999999	0.0	0.0	0.0021
Geomys	0.0	0.0	29.023502	-99.244778	0.0	0.0	0.0021
Geomys	0.0	0.0	31.012867	-85.149666	0.0	0.0	0.0021
Geomys	0.0	0.0	29.036851000000002	-99.364597	0.0	0.0	0.0021
Geomys	0.0	0.0	29.126677	-99.228546	0.0	0.0	0.0021
Geomys	0.0	0.0	41.069299	-87.78228	0.0	0.0	0.0021
Geomys	0.0	0.0	31.875888	-95.42238499999999	0.0	0.0	0.0021
Geomys	0.0	0.0	45.403165	-93.19923399999999	0.0	0.0	0.0021
Geomys	0.0	0.0	41.209869	-101.64911500000001	0.0	0.0	0.0021
Geomys	0.0	0.0	32.337610999999995	-85.20885	0.0	0.0	0.0021
Geomys	0.0	0.0	33.852351	-100.854642	0.0	0.0	0.0021
Geomys	0.0	0.0	32.344721	-85.258399	0.0	0.0	0.0021
Geomys	0.0	0.0	30.332914000000002	-97.18786899999999	0.0	0.0	0.0021
Geomys	0.0	0.0	33.352684	-97.707047	0.0	0.0	0.0021
Geomys	0.0	0.0	28.271331	-96.806752	0.0	0.0	0.0021
Geomys	0.0	0.0	32.748683	-94.51216099999999	0.0	0.0	0.0021
Geomys	0.0	0.0	32.62515	-95.650589	0.0	0.0	0.0021
Geomys	0.0	0.0	27.650059000000002	-97.329396	0.0	0.0	0.0021
Geomys	0.0	0.0	32.360212	-85.18373000000003	0.0	0.0	0.0021
Geomys	0.0	0.0	36.570095	-99.557001	0.0	0.0	0.0021
Geomys	0.0	0.0	40.010983	-90.06312	0.0	0.0	0.0021
Geomys	0.0	0.0	30.087802000000003	-97.184528	0.0	0.0	0.0021
