species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Grossulariaceae	0.0	0.0	33.599595	-117.547403	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	33.57675	-118.546535	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.633155	-110.54548100000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.895721	-121.451798	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.7022	-120.064725	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.666513	-105.66921599999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.69645	-120.049093	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.320125	-79.86877	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.256943	-79.884445	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.284168	-79.90139	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.415525	-120.31093	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	40.438934	-121.532036	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.733167	-120.529283	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.309484999999995	-120.205289	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	19.093007999999998	-98.660958	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	55.438632	-131.679378	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.657158	-119.061045	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.91219	-122.26836599999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.46905	-122.481371	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.732445	-87.34004200000004	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	35.663154	-106.40612800000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.877992	-120.07116699999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.609919	-92.424079	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.851797999999995	-122.20024699999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.76298	-121.55967	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.866904	-123.87866000000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.438817	-121.499803	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.84290900000001	-122.192678	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	49.67883	-112.867309	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.106186	-118.796074	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	49.678916	-112.867329	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	40.375838	-111.709558	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.650459999999995	-66.81314	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.522877	-122.815078	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.287137	-120.386009	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.41829	-120.28653700000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.825553	-81.059394	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.404909	-122.27065	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.91722100000001	-105.02967199999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.306999999999995	-112.271	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.871631	-109.493958	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.678898	-119.59548500000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.31118	-74.636716	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.580681	-78.398942	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.398951000000004	-80.06727	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.177194	-62.743196999999995	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.031560999999996	-89.24263	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.338809999999995	-75.923335	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.87130300000001	-112.44553400000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.469411	-122.27721899999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	32.843889000000004	-117.182778	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.273872	-115.627997	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.5626	-121.911064	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.247091999999995	-112.00237800000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.353671999999996	-112.24253999999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.855385999999996	-120.48985	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.859173	-120.500515	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.357510999999995	-122.18449	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.520062	-111.30391999999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.808075	-122.472522	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.52505	-118.75415	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.658223	-124.119095	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	49.152984000000004	-125.906618	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.234294	-121.169028	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.46915	-122.287888	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	48.02512	-122.678393	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.877282	-63.23455799999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.143229	-118.167902	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.635688	-105.121067	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.596463	-122.18373999999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	40.138695	-87.752764	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.57046500000001	-122.31491499999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.570448	-122.314925	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	49.240691	-122.971721	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.410956	-85.74962099999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	50.268066999999995	-122.523983	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.898487	-120.64006599999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.899101	-120.64261699999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.840115000000004	-120.709052	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.130581	-119.94069499999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.354782	-118.416925	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.140285	-118.167294	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	48.460403	-120.23680800000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	35.079767	-111.601593	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	55.350251	-131.663655	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.050656	-121.21018400000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	32.955031	-117.161022	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.908787	-113.96796299999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	55.318865	-131.59874399999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.380161	-91.188381	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.788074	-122.476049	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.37922800000001	-91.188195	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.023171999999995	-81.242075	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.455802	-75.504733	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.072782000000004	-122.71269299999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	48.673227000000004	-121.25953700000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.501374	-79.997253	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.189695	-107.74759099999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	32.640284	-117.111174	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.186084	-84.11105500000002	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.675244	-105.19294599999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.898403	-120.64122900000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.89815	-120.64074	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.408342	-94.256547	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	40.870486	-124.070269	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.108493	-81.176316	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.11913300000001	-88.912323	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.481037	-91.107384	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.329840000000004	-88.94695899999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.712603	-88.274171	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.617691	-112.54911399999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.841926	-84.869889	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.675534000000006	-81.042612	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.429679	-81.112493	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	40.720751	-111.53668400000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.725003	-79.053478	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.546131	-122.37259499999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.073510999999996	-85.469183	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.6838	-121.77337	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.453751000000004	-88.54126	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.380901	-91.187454	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.592194	-119.054625	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.680924	-121.777305	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.680924	-121.777305	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.683233	-121.773353	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.683225	-121.773362	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.478771	-119.709809	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.820663	-122.04641000000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.683186	-121.773583	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.176575	-87.912741	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	35.286275	-120.67876299999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.124210999999995	-92.076425	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.349733	-92.687702	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.573223	-87.95413	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.343676	-88.171684	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.172191	-121.891178	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.235789000000004	-118.117378	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.13947	-77.42993	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.085311	-89.428567	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.3859	-117.651753	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.084456	-78.88482900000002	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.028332	-82.735558	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.401653	-124.059905	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.052289	-84.127404	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.110872	-84.059426	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.098781	-123.406687	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.754781	-123.20516	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.633526	-87.82785799999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.021012	-78.579133	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.301306	-78.268792	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.298936	-78.267986	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.895363	-81.194805	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.922945	-92.941742	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.591645	-64.955242	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.552489	-79.654128	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.552586	-79.655333	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.150293	-87.782636	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.459617	-121.62973000000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.480978	-83.977998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.423956	-75.844135	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.432957	-75.847601	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.479502000000004	-77.30197199999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.525463	-88.18935400000002	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.522529	-88.168747	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.9325	-91.757778	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.45515	-121.21370800000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.189977	-79.68427700000002	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.206655	-79.808977	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.68380300000001	-121.773425	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.274024	-115.62998999999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.427395000000004	-122.450778	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.675556	-121.76886699999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.091167	-79.305267	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.921013	-79.645845	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.528967	-83.6746	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.360865999999994	-79.682311	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.815528	-88.084342	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.690063	-116.27655	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.43213400000001	-120.240424	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.391921999999994	-91.20800799999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.11489	-119.324192	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	49.997167	-105.008544	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	40.528459999999995	-104.99763600000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.190732000000004	-107.74985500000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.236531	-117.166082	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	33.748928	-118.305002	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	33.170178	-117.28866699999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	36.25631	-115.65356899999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.469473	-119.69008000000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.976942	-93.151027	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.892129	-120.331027	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.868333	-122.218333	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.490755	-80.031933	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	37.473553	-112.24026299999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.831542	-112.453728	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.888042	-120.406783	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	47.382638	-91.19755	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.588934	-89.72718499999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.713888	-84.588875	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.622491	-109.23992	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.903019	-76.09564	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.377573	-92.4588	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	58.661942	-93.830795	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.644137	-90.816875	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	58.419176	-134.543079	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	50.139472999999995	-96.81013100000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	50.00907	-96.881997	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.258223	-119.226353	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.56372800000001	-105.15131799999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.396784999999994	-110.69113	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.141964	-118.16882199999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.672124	-111.55293799999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	41.667039	-111.627001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	33.765475	-116.71569699999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.042147	-92.513766	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.480138000000004	-87.954295	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.094221999999995	-119.17473600000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.58933	-105.02843600000001	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	40.558009999999996	-111.814663	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	46.823964000000004	-92.090571	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	33.697922	-117.436466	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	42.150417	-87.785904	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	48.397883	-85.078147	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.26577	-75.37359599999998	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.217402	-85.74579200000002	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.93721	-87.383629	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	45.546749	-122.46316999999999	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	38.809751	-120.373764	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	44.423636	-121.726872	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	39.357048	-120.258575	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.330728	-80.642861	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	34.450778	-119.7343	0.0	0.0	0.0021
Grossulariaceae	0.0	0.0	43.30222	-80.397458	0.0	0.0	0.0021
