species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Juglandaceae	0.0	0.0	33.982517	-117.844178	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	37.180902	-122.218104	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	44.27737	-72.571435	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	38.589432	-92.235837	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.86776500000001	-73.876798	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	32.997881	-96.794758	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	34.186555	-117.31239199999999	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	43.321988	-79.873536	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	43.310701	-79.879064	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.10802	-76.68705	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	32.830069	-96.711637	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.580797	-74.416666	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	34.098012	-118.19528999999999	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.862275	-73.80348199999997	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	34.011959000000004	-117.79001399999999	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	42.472438000000004	-87.932237	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	16.799314000000006	-92.782583	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.516936	-74.44067199999998	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	39.240033000000004	-80.060611	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	33.1609	-85.58377800000002	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	32.733414	-97.14177600000001	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	41.607701	-81.30476800000002	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	39.646947	-79.97788800000002	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.12159000000001	-76.968172	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	34.116632	-118.166711	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.630139	-74.168031	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	30.045455	-97.15992800000001	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	40.670026	-73.970667	0.0	0.0	0.0021
Juglandaceae	0.0	0.0	45.381459	-75.694375	0.0	0.0	0.0021
