species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Kogia	0.0	0.0	43.291109999999996	-124.278803	0.0	0.0	0.0021
Kogia	0.0	0.0	38.317775	-123.02608300000001	0.0	0.0	0.0021
Kogia	0.0	0.0	41.151456	-73.11523199999998	0.0	0.0	0.0021
Kogia	0.0	0.0	28.05	-80.55	0.0	0.0	0.0021
Kogia	0.0	0.0	26.92	-80.08	0.0	0.0	0.0021
Kogia	0.0	0.0	33.48	-79.07	0.0	0.0	0.0021
Kogia	0.0	0.0	33.73	-78.8	0.0	0.0	0.0021
Kogia	0.0	0.0	26.97	-80.17	0.0	0.0	0.0021
Kogia	0.0	0.0	26.92	-80.12	0.0	0.0	0.0021
Kogia	0.0	0.0	33.9	-78.28	0.0	0.0	0.0021
Kogia	0.0	0.0	33.25	-79.17	0.0	0.0	0.0021
Kogia	0.0	0.0	29.13	-80.97	0.0	0.0	0.0021
Kogia	0.0	0.0	28.33	-80.6	0.0	0.0	0.0021
Kogia	0.0	0.0	31.93	-81.05	0.0	0.0	0.0021
Kogia	0.0	0.0	27.28	-80.22	0.0	0.0	0.0021
Kogia	0.0	0.0	26.62	-80.13	0.0	0.0	0.0021
Kogia	0.0	0.0	32.1	-80.82	0.0	0.0	0.0021
Kogia	0.0	0.0	32.1686	-80.7139	0.0	0.0	0.0021
Kogia	0.0	0.0	30.35	-86.98	0.0	0.0	0.0021
Kogia	0.0	0.0	28.12	-80.57	0.0	0.0	0.0021
Kogia	0.0	0.0	27.75	-82.77	0.0	0.0	0.0021
Kogia	0.0	0.0	27.2042	-80.1964	0.0	0.0	0.0021
Kogia	0.0	0.0	33.4894	-79.0789	0.0	0.0	0.0021
Kogia	0.0	0.0	34.17	-77.82	0.0	0.0	0.0021
Kogia	0.0	0.0	30.4	-88.83	0.0	0.0	0.0021
Kogia	0.0	0.0	33.3244	-79.1583	0.0	0.0	0.0021
Kogia	0.0	0.0	28.4	-80.58	0.0	0.0	0.0021
Kogia	0.0	0.0	28.97	-80.85	0.0	0.0	0.0021
