species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Lauraceae	0.0	0.0	36.879283	-76.580458	0.0	0.0	0.0021
Lauraceae	0.0	0.0	32.871266999999996	-116.491097	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.578295000000004	-74.44640600000002	0.0	0.0	0.0021
Lauraceae	0.0	0.0	43.278889	-79.909164	0.0	0.0	0.0021
Lauraceae	0.0	0.0	43.281387	-79.90194699999998	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.472514000000004	-74.695487	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.517901	-74.444046	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.553171999999996	-70.500855	0.0	0.0	0.0021
Lauraceae	0.0	0.0	34.292069	-117.83971000000001	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.2126	-122.24772	0.0	0.0	0.0021
Lauraceae	0.0	0.0	35.573655	-80.93141999999997	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.608435	-81.305095	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.60827800000001	-81.30385799999998	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.6461	-79.97880500000002	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.650762	-70.626778	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.586101	-122.712326	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.121854	-76.967867	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.57703	-122.70188	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.5951	-122.71893	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.12438	-84.243717	0.0	0.0	0.0021
Lauraceae	0.0	0.0	16.65935	-92.703389	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.225633	-73.576101	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.648288	-70.62552	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.253019	-71.341131	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.987988	-122.50673700000002	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.814923	-122.17478700000001	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.053489	-122.073242	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.226413	-73.188713	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.027814	-74.26793599999998	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.633188	-75.388811	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.685078000000004	-71.588662	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.236164	-74.788399	0.0	0.0	0.0021
Lauraceae	0.0	0.0	33.551395	-81.498059	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.671525	-74.461384	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.004749	-73.574669	0.0	0.0	0.0021
Lauraceae	0.0	0.0	30.451984999999997	-88.65411	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.006151	-73.583349	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.561353999999994	-81.428156	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.561353999999994	-81.428156	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.581781	-76.50892900000002	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.259297	-81.574738	0.0	0.0	0.0021
Lauraceae	0.0	0.0	35.014955	-79.545908	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.688472	-73.515638	0.0	0.0	0.0021
Lauraceae	0.0	0.0	43.01248	-85.631518	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.019047	-122.576825	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.868086	-122.21413500000001	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.919137	-76.914188	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.279097	-77.27520799999998	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.745955	-86.331008	0.0	0.0	0.0021
Lauraceae	0.0	0.0	43.315055	-84.16663100000002	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.342172999999995	-79.423877	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.750183	-74.728575	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.822338	-84.724787	0.0	0.0	0.0021
Lauraceae	0.0	0.0	35.039590999999994	-83.193155	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.591068	-92.234563	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.852740999999995	-79.553375	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.040724	-76.930824	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.608876	-80.652781	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.335255	-122.090553	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.905613	-77.11489	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.915447	-77.222267	0.0	0.0	0.0021
Lauraceae	0.0	0.0	33.041683	-79.710037	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.81137800000001	-72.798027	0.0	0.0	0.0021
Lauraceae	0.0	0.0	44.631695	-85.767981	0.0	0.0	0.0021
Lauraceae	0.0	0.0	44.630887	-85.767372	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.069283	-77.151353	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.156944	-81.305	0.0	0.0	0.0021
Lauraceae	0.0	0.0	36.282475	-121.854644	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.88919	-76.946872	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.128955	-81.569334	0.0	0.0	0.0021
Lauraceae	0.0	0.0	32.418056	-94.708106	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.20010300000001	-81.495885	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.280825	-81.567812	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.228341	-122.06667	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.428329	-78.86441500000002	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.564003	-71.477436	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.665519	-80.493081	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.668217	-80.499314	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.870933	-73.923233	0.0	0.0	0.0021
Lauraceae	0.0	0.0	33.090173	-87.061849	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.058802	-77.033109	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.429311	-78.864987	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.872279999999996	-73.926101	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.995005	-76.897412	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.070201000000004	-78.876224	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.870483	-73.923393	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.264158	-83.05240699999997	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.025276	-74.220558	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.418051	-77.639922	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.872345	-73.924384	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.591451	-77.258107	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.776526000000004	-89.634353	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.114441	-80.558195	0.0	0.0	0.0021
Lauraceae	0.0	0.0	37.963306	-91.78061600000001	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.880646	-84.37518100000001	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.01798	-76.934497	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.75493	-77.104461	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.15591	-81.442423	0.0	0.0	0.0021
Lauraceae	0.0	0.0	42.456671	-83.99445899999998	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.861001	-73.875915	0.0	0.0	0.0021
Lauraceae	0.0	0.0	40.950712	-73.758523	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.873542	-121.61458999999999	0.0	0.0	0.0021
Lauraceae	0.0	0.0	41.278923999999996	-73.774128	0.0	0.0	0.0021
Lauraceae	0.0	0.0	38.4409	-77.542008	0.0	0.0	0.0021
Lauraceae	0.0	0.0	39.460622	-77.496672	0.0	0.0	0.0021
Lauraceae	0.0	0.0	34.196949	-118.02505	0.0	0.0	0.0021
