species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Ochotona	0.0	0.0	39.089042	-107.02919299999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	44.427968	-110.588454	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.626173	-121.278826	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.784701	-121.780528	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.60609	-121.69065800000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	39.578379999999996	-104.740082	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.394018	-105.689617	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.788732	-121.783464	0.0	0.0	0.0021
Ochotona	0.0	0.0	35.793831	-105.780856	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.788613	-121.783708	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.919408000000004	-121.659973	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.572695	-121.265303	0.0	0.0	0.0021
Ochotona	0.0	0.0	48.89647	-121.56373700000002	0.0	0.0	0.0021
Ochotona	0.0	0.0	48.4585	-121.011306	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.919157	-121.664775	0.0	0.0	0.0021
Ochotona	0.0	0.0	45.559424	-122.07973100000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	43.493057	-114.93636699999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	47.417127	-121.481199	0.0	0.0	0.0021
Ochotona	0.0	0.0	43.485372	-114.90693300000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	48.459194000000004	-121.01141399999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	45.390392	-121.747925	0.0	0.0	0.0021
Ochotona	0.0	0.0	37.176494	-118.54938600000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	43.765775	-110.755719	0.0	0.0	0.0021
Ochotona	0.0	0.0	37.914272	-119.266512	0.0	0.0	0.0021
Ochotona	0.0	0.0	43.459371999999995	-113.55908899999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	47.44611	-121.4677	0.0	0.0	0.0021
Ochotona	0.0	0.0	48.747392	-113.746505	0.0	0.0	0.0021
Ochotona	0.0	0.0	45.666707	-121.874472	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.376737	-105.786565	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.919174	-121.66449899999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.586733	-111.614728	0.0	0.0	0.0021
Ochotona	0.0	0.0	47.458220000000004	-121.27373	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.754647	-121.699095	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.567634999999996	-111.685048	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.564303	-111.65068899999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.385698	-105.78987	0.0	0.0	0.0021
Ochotona	0.0	0.0	38.876135999999995	-120.145876	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.376721999999994	-105.78656200000002	0.0	0.0	0.0021
Ochotona	0.0	0.0	48.469833	-121.05485300000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	48.469745	-121.05580800000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	47.358826	-121.52256899999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.56524	-111.62033000000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	63.114803	-151.19259499999995	0.0	0.0	0.0021
Ochotona	0.0	0.0	39.62530200000001	-105.72825300000001	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.91722100000001	-121.679822	0.0	0.0	0.0021
Ochotona	0.0	0.0	48.061268	-121.804286	0.0	0.0	0.0021
Ochotona	0.0	0.0	47.458753	-121.277383	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.376738	-105.78656299999999	0.0	0.0	0.0021
Ochotona	0.0	0.0	46.916108	-121.677475	0.0	0.0	0.0021
Ochotona	0.0	0.0	40.586277	-111.615802	0.0	0.0	0.0021
