species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Oleaceae	0.0	0.0	32.651396000000005	-97.11193399999999	0.0	0.0	0.0021
Oleaceae	0.0	0.0	27.946544	-97.203174	0.0	0.0	0.0021
Oleaceae	0.0	0.0	33.576694	-116.783076	0.0	0.0	0.0021
Oleaceae	0.0	0.0	45.834922	-79.514472	0.0	0.0	0.0021
Oleaceae	0.0	0.0	33.39217	-86.72410500000002	0.0	0.0	0.0021
Oleaceae	0.0	0.0	29.78135	-98.70908100000001	0.0	0.0	0.0021
Oleaceae	0.0	0.0	31.433296999999996	-110.28308	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.500246999999998	-98.818533	0.0	0.0	0.0021
Oleaceae	0.0	0.0	43.738275	-72.523712	0.0	0.0	0.0021
Oleaceae	0.0	0.0	43.672571999999995	-72.251672	0.0	0.0	0.0021
Oleaceae	0.0	0.0	43.672522	-72.251281	0.0	0.0	0.0021
Oleaceae	0.0	0.0	48.065998	-89.47234300000002	0.0	0.0	0.0021
Oleaceae	0.0	0.0	44.741653	-72.588258	0.0	0.0	0.0021
Oleaceae	0.0	0.0	31.4325	-110.28440800000001	0.0	0.0	0.0021
Oleaceae	0.0	0.0	37.242123	-121.966275	0.0	0.0	0.0021
Oleaceae	0.0	0.0	44.748395	-72.59991	0.0	0.0	0.0021
Oleaceae	0.0	0.0	47.389625	-91.202105	0.0	0.0	0.0021
Oleaceae	0.0	0.0	44.339895	-78.247238	0.0	0.0	0.0021
Oleaceae	0.0	0.0	44.339559	-78.24753100000002	0.0	0.0	0.0021
Oleaceae	0.0	0.0	36.34454	-106.656108	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.229215999999997	-97.765879	0.0	0.0	0.0021
Oleaceae	0.0	0.0	29.698828000000002	-95.452053	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.303215	-97.744668	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.306818	-97.747318	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.142688	-97.457767	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.289997999999997	-97.730938	0.0	0.0	0.0021
Oleaceae	0.0	0.0	41.513895	-90.564386	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.274590999999997	-97.710903	0.0	0.0	0.0021
Oleaceae	0.0	0.0	45.076583	-87.122567	0.0	0.0	0.0021
Oleaceae	0.0	0.0	47.366858	-91.276237	0.0	0.0	0.0021
Oleaceae	0.0	0.0	32.311198	-106.63734299999999	0.0	0.0	0.0021
Oleaceae	0.0	0.0	44.775208	-73.391913	0.0	0.0	0.0021
Oleaceae	0.0	0.0	25.670633	-100.24831400000001	0.0	0.0	0.0021
Oleaceae	0.0	0.0	41.68225200000001	-87.559715	0.0	0.0	0.0021
Oleaceae	0.0	0.0	32.667145	-97.43303	0.0	0.0	0.0021
Oleaceae	0.0	0.0	32.622354	-97.28335600000001	0.0	0.0	0.0021
Oleaceae	0.0	0.0	30.253446999999998	-97.794962	0.0	0.0	0.0021
