species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Ondatra	0.0	0.0	39.573671000000004	-105.039359	0.0	0.0	0.0021
Ondatra	0.0	0.0	35.118308	-106.661276	0.0	0.0	0.0021
Ondatra	0.0	0.0	43.054675	-89.4291	0.0	0.0	0.0021
Ondatra	0.0	0.0	34.243582	-119.26691799999999	0.0	0.0	0.0021
Ondatra	0.0	0.0	41.41075	-82.60155300000002	0.0	0.0	0.0021
Ondatra	0.0	0.0	44.060253	-121.321083	0.0	0.0	0.0021
Ondatra	0.0	0.0	36.091567	-114.96533799999999	0.0	0.0	0.0021
Ondatra	0.0	0.0	42.317	-83.780029	0.0	0.0	0.0021
Ondatra	0.0	0.0	39.573324	-105.03978799999999	0.0	0.0	0.0021
Ondatra	0.0	0.0	35.130475	-106.682845	0.0	0.0	0.0021
Ondatra	0.0	0.0	38.464519	-121.304258	0.0	0.0	0.0021
Ondatra	0.0	0.0	40.238875	-111.71071699999999	0.0	0.0	0.0021
Ondatra	0.0	0.0	40.79196500000001	-73.92626	0.0	0.0	0.0021
Ondatra	0.0	0.0	44.830085	-93.241509	0.0	0.0	0.0021
Ondatra	0.0	0.0	40.166692	-105.13908400000001	0.0	0.0	0.0021
Ondatra	0.0	0.0	39.551288	-79.35270799999998	0.0	0.0	0.0021
Ondatra	0.0	0.0	35.822462	-90.70505	0.0	0.0	0.0021
Ondatra	0.0	0.0	35.195132	-106.638799	0.0	0.0	0.0021
Ondatra	0.0	0.0	39.597446999999995	-105.02568899999999	0.0	0.0	0.0021
Ondatra	0.0	0.0	41.099921	-121.51478600000002	0.0	0.0	0.0021
Ondatra	0.0	0.0	43.568034999999995	-84.38552299999998	0.0	0.0	0.0021
Ondatra	0.0	0.0	41.096933	-80.864492	0.0	0.0	0.0021
Ondatra	0.0	0.0	40.183331	-105.172808	0.0	0.0	0.0021
Ondatra	0.0	0.0	42.539187	-83.850617	0.0	0.0	0.0021
Ondatra	0.0	0.0	40.187853000000004	-105.183702	0.0	0.0	0.0021
Ondatra	0.0	0.0	39.298995	-84.693304	0.0	0.0	0.0021
Ondatra	0.0	0.0	42.539963	-83.84949	0.0	0.0	0.0021
Ondatra	0.0	0.0	42.534877	-76.882235	0.0	0.0	0.0021
Ondatra	0.0	0.0	41.012094	-81.513491	0.0	0.0	0.0021
Ondatra	0.0	0.0	41.012089	-81.513469	0.0	0.0	0.0021
Ondatra	0.0	0.0	39.053288	-75.427249	0.0	0.0	0.0021
Ondatra	0.0	0.0	47.548838	-122.25647	0.0	0.0	0.0021
