species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Panthera	0.0	0.0	31.802846999999996	-110.69939199999999	0.0	0.0	0.0021
Panthera	0.0	0.0	32.018929	-111.46348300000001	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.5	-80.0	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	40.1667	-83.0833	0.0	0.0	0.0021
Panthera	0.0	0.0	25.398099	-99.871051	0.0	0.0	0.0021
Panthera	0.0	0.0	25.364964	-99.925175	0.0	0.0	0.0021
Panthera	0.0	0.0	26.834581	-108.84804199999999	0.0	0.0	0.0021
Panthera	0.0	0.0	29.472158	-108.978641	0.0	0.0	0.0021
Panthera	0.0	0.0	25.248987	-100.046114	0.0	0.0	0.0021
Panthera	0.0	0.0	25.012529	-100.178147	0.0	0.0	0.0021
