species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Salicaceae	0.0	0.0	44.515612	-124.047128	0.0	0.0	0.0021
Salicaceae	0.0	0.0	62.461362	-114.369049	0.0	0.0	0.0021
Salicaceae	0.0	0.0	59.60181	-133.31538	0.0	0.0	0.0021
Salicaceae	0.0	0.0	61.71044499999999	-142.98568	0.0	0.0	0.0021
Salicaceae	0.0	0.0	64.445533	-146.909211	0.0	0.0	0.0021
Salicaceae	0.0	0.0	44.417184999999996	-78.343312	0.0	0.0	0.0021
Salicaceae	0.0	0.0	44.382835	-78.34744	0.0	0.0	0.0021
Salicaceae	0.0	0.0	44.384588	-78.348787	0.0	0.0	0.0021
Salicaceae	0.0	0.0	38.687337	-119.986493	0.0	0.0	0.0021
Salicaceae	0.0	0.0	48.05469	-89.415361	0.0	0.0	0.0021
Salicaceae	0.0	0.0	34.142508	-118.167305	0.0	0.0	0.0021
Salicaceae	0.0	0.0	34.207082	-118.16763600000002	0.0	0.0	0.0021
Salicaceae	0.0	0.0	34.206903999999994	-118.16708899999999	0.0	0.0	0.0021
Salicaceae	0.0	0.0	44.372932	-78.367717	0.0	0.0	0.0021
Salicaceae	0.0	0.0	42.893313	-88.26679200000002	0.0	0.0	0.0021
Salicaceae	0.0	0.0	62.447224	-114.36138899999999	0.0	0.0	0.0021
Salicaceae	0.0	0.0	38.819092	-77.039017	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.480396	-80.557793	0.0	0.0	0.0021
Salicaceae	0.0	0.0	48.049118	-89.507729	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.283611	-79.89971899999998	0.0	0.0	0.0021
Salicaceae	0.0	0.0	15.766967000000001	-96.134529	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.028079	-89.437843	0.0	0.0	0.0021
Salicaceae	0.0	0.0	41.37725	-81.47335	0.0	0.0	0.0021
Salicaceae	0.0	0.0	55.346937	-131.655181	0.0	0.0	0.0021
Salicaceae	0.0	0.0	45.263321999999995	-75.263366	0.0	0.0	0.0021
Salicaceae	0.0	0.0	44.947594	-73.200113	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.882366999999995	-80.121403	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.219770000000004	-79.601588	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.260441	-79.625196	0.0	0.0	0.0021
Salicaceae	0.0	0.0	44.363580999999996	-68.039052	0.0	0.0	0.0021
Salicaceae	0.0	0.0	19.086833	-98.654158	0.0	0.0	0.0021
Salicaceae	0.0	0.0	19.089903	-98.63045600000001	0.0	0.0	0.0021
Salicaceae	0.0	0.0	37.933678	-119.179677	0.0	0.0	0.0021
Salicaceae	0.0	0.0	19.092357999999997	-98.660347	0.0	0.0	0.0021
Salicaceae	0.0	0.0	47.388104	-91.20311	0.0	0.0	0.0021
Salicaceae	0.0	0.0	47.38809000000001	-91.203693	0.0	0.0	0.0021
Salicaceae	0.0	0.0	32.910952	-117.205891	0.0	0.0	0.0021
Salicaceae	0.0	0.0	16.732498	-92.600573	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.206128	-72.902399	0.0	0.0	0.0021
Salicaceae	0.0	0.0	32.198392	-96.898815	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.94955	-80.940425	0.0	0.0	0.0021
Salicaceae	0.0	0.0	42.26968400000001	-83.068962	0.0	0.0	0.0021
Salicaceae	0.0	0.0	48.800083	-88.66863199999996	0.0	0.0	0.0021
Salicaceae	0.0	0.0	37.895897	-119.133032	0.0	0.0	0.0021
Salicaceae	0.0	0.0	39.11323400000001	-79.50008100000002	0.0	0.0	0.0021
Salicaceae	0.0	0.0	39.096340999999995	-79.36437600000002	0.0	0.0	0.0021
Salicaceae	0.0	0.0	43.00677	-78.863838	0.0	0.0	0.0021
Salicaceae	0.0	0.0	40.055539	-78.319817	0.0	0.0	0.0021
Salicaceae	0.0	0.0	35.875133	-106.43953400000001	0.0	0.0	0.0021
Salicaceae	0.0	0.0	38.008015	-121.722862	0.0	0.0	0.0021
Salicaceae	0.0	0.0	57.039832	-135.175852	0.0	0.0	0.0021
Salicaceae	0.0	0.0	33.860878	-118.253647	0.0	0.0	0.0021
Salicaceae	0.0	0.0	68.156878	-151.790851	0.0	0.0	0.0021
Salicaceae	0.0	0.0	68.15571700000001	-151.790435	0.0	0.0	0.0021
Salicaceae	0.0	0.0	40.767324	-73.975797	0.0	0.0	0.0021
Salicaceae	0.0	0.0	41.540211	-96.030914	0.0	0.0	0.0021
Salicaceae	0.0	0.0	35.207038	-106.455405	0.0	0.0	0.0021
Salicaceae	0.0	0.0	26.488838	-106.461661	0.0	0.0	0.0021
