species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Vitaceae	0.0	0.0	33.334841	-87.79364699999998	0.0	0.0	0.0021
Vitaceae	0.0	0.0	38.951693	-77.006414	0.0	0.0	0.0021
Vitaceae	0.0	0.0	34.035123999999996	-116.94096299999998	0.0	0.0	0.0021
Vitaceae	0.0	0.0	42.214836	-74.481064	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.416798	-73.980701	0.0	0.0	0.0021
Vitaceae	0.0	0.0	39.064595000000004	-77.053158	0.0	0.0	0.0021
Vitaceae	0.0	0.0	26.091714	-80.280204	0.0	0.0	0.0021
Vitaceae	0.0	0.0	35.96867	-79.00604200000002	0.0	0.0	0.0021
Vitaceae	0.0	0.0	38.975116	-77.099356	0.0	0.0	0.0021
Vitaceae	0.0	0.0	43.32174000000001	-79.873839	0.0	0.0	0.0021
Vitaceae	0.0	0.0	43.297367	-79.905966	0.0	0.0	0.0021
Vitaceae	0.0	0.0	44.37002800000001	-78.36480999999998	0.0	0.0	0.0021
Vitaceae	0.0	0.0	44.366638	-78.360972	0.0	0.0	0.0021
Vitaceae	0.0	0.0	29.987925	-95.570945	0.0	0.0	0.0021
Vitaceae	0.0	0.0	29.781438	-98.70898100000001	0.0	0.0	0.0021
Vitaceae	0.0	0.0	17.353832999999998	-99.451075	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.578295000000004	-74.44640600000002	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.578295000000004	-74.44640600000002	0.0	0.0	0.0021
Vitaceae	0.0	0.0	38.816937	-77.03888	0.0	0.0	0.0021
Vitaceae	0.0	0.0	38.800413	-76.995613	0.0	0.0	0.0021
Vitaceae	0.0	0.0	35.998032	-78.917542	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.634017	-74.456491	0.0	0.0	0.0021
Vitaceae	0.0	0.0	35.911685999999996	-78.89771999999998	0.0	0.0	0.0021
Vitaceae	0.0	0.0	32.838741999999996	-97.481098	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.594856	-82.39379	0.0	0.0	0.0021
Vitaceae	0.0	0.0	41.6516	-70.62700500000003	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.411428	-74.009399	0.0	0.0	0.0021
Vitaceae	0.0	0.0	35.574255	-80.931122	0.0	0.0	0.0021
Vitaceae	0.0	0.0	44.745360999999995	-72.594438	0.0	0.0	0.0021
Vitaceae	0.0	0.0	45.263321999999995	-75.263366	0.0	0.0	0.0021
Vitaceae	0.0	0.0	35.574287	-80.93106999999998	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.671232	-74.01320799999998	0.0	0.0	0.0021
Vitaceae	0.0	0.0	43.258469	-79.707887	0.0	0.0	0.0021
Vitaceae	0.0	0.0	42.56554600000001	-76.250733	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.11789	-79.884111	0.0	0.0	0.0021
Vitaceae	0.0	0.0	29.682653000000002	-82.6055	0.0	0.0	0.0021
Vitaceae	0.0	0.0	29.840625	-95.595742	0.0	0.0	0.0021
Vitaceae	0.0	0.0	40.120331	-76.96845400000002	0.0	0.0	0.0021
Vitaceae	0.0	0.0	30.133188	-102.38805500000001	0.0	0.0	0.0021
Vitaceae	0.0	0.0	29.965999999999998	-95.60909000000001	0.0	0.0	0.0021
Vitaceae	0.0	0.0	30.439238	-91.165951	0.0	0.0	0.0021
