species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Vulpes	0.0	0.0	41.446179	-72.861938	0.0	0.0	0.0021
Vulpes	0.0	0.0	39.321542	-76.63260600000002	0.0	0.0	0.0021
Vulpes	0.0	0.0	42.611499	-79.104538	0.0	0.0	0.0021
Vulpes	0.0	0.0	42.42352800000001	-90.18231999999999	0.0	0.0	0.0021
Vulpes	0.0	0.0	40.363017	-82.917434	0.0	0.0	0.0021
Vulpes	0.0	0.0	44.898308	-93.363101	0.0	0.0	0.0021
Vulpes	0.0	0.0	38.974821	-77.059591	0.0	0.0	0.0021
Vulpes	0.0	0.0	39.615858	-76.729169	0.0	0.0	0.0021
Vulpes	0.0	0.0	27.359159000000002	-80.351526	0.0	0.0	0.0021
Vulpes	0.0	0.0	42.405238	-71.324708	0.0	0.0	0.0021
Vulpes	0.0	0.0	39.104739	-76.62203000000002	0.0	0.0	0.0021
Vulpes	0.0	0.0	43.102006	-89.61863699999998	0.0	0.0	0.0021
Vulpes	0.0	0.0	43.080789	-89.462151	0.0	0.0	0.0021
Vulpes	0.0	0.0	35.236621	-80.515342	0.0	0.0	0.0021
Vulpes	0.0	0.0	38.072361	-76.647223	0.0	0.0	0.0021
Vulpes	0.0	0.0	42.409665000000004	-71.327224	0.0	0.0	0.0021
Vulpes	0.0	0.0	41.615536999999996	-83.162943	0.0	0.0	0.0021
Vulpes	0.0	0.0	43.095566999999996	-89.35072	0.0	0.0	0.0021
Vulpes	0.0	0.0	39.993455	-86.017391	0.0	0.0	0.0021
Vulpes	0.0	0.0	40.808043	-96.633354	0.0	0.0	0.0021
Vulpes	0.0	0.0	42.393817	-85.41469000000002	0.0	0.0	0.0021
Vulpes	0.0	0.0	40.993547	-73.81388299999998	0.0	0.0	0.0021
Vulpes	0.0	0.0	39.528745	-82.14551	0.0	0.0	0.0021
Vulpes	0.0	0.0	37.788475	-122.17491499999998	0.0	0.0	0.0021
Vulpes	0.0	0.0	44.923155	-93.357528	0.0	0.0	0.0021
Vulpes	0.0	0.0	44.898213	-93.363447	0.0	0.0	0.0021
Vulpes	0.0	0.0	34.826621	-85.323201	0.0	0.0	0.0021
Vulpes	0.0	0.0	37.261593	-97.41893	0.0	0.0	0.0021
Vulpes	0.0	0.0	41.088326	-111.992231	0.0	0.0	0.0021
Vulpes	0.0	0.0	40.825348	-96.621791	0.0	0.0	0.0021
Vulpes	0.0	0.0	40.672645	-111.846451	0.0	0.0	0.0021
