species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Asteraceae	10.0	10.0	36.419722	-82.476667	Asterids	10.0	9.438
Asteraceae	0.126	0.01	42.385556	-84.748333	Asterids	0.034966644730996616	0.07035
Asteraceae	0.126	0.01	42.385556	-84.748333	Asterids	0.012134515006310707	0.07035
Asteraceae	0.126	0.01	44.302778	-85.326389	Asterids	0.050173130211748206	0.07035
Asteraceae	0.126	0.01	44.302778	-85.326389	Asterids	0.03109392020184985	0.07035
Asteraceae	1.81	0.7809999999999999	35.359722	-76.8175	Asterids	1.4348595004349858	1.287
Asteraceae	1.81	0.7809999999999999	35.359722	-76.8175	Asterids	0.9214253273688288	1.287
Asteraceae	1.81	0.7809999999999999	35.359722	-76.8175	Asterids	1.384639572490861	1.287
Asteraceae	0.126	0.01	49.7177	-124.97399999999999	Asterids	0.047460074793820126	0.07035
Asteraceae	0.126	0.01	49.7177	-124.97399999999999	Asterids	0.060358976023907475	0.07035
Asteraceae	9.9	9.9	40.454444	-85.791944	Asterids	9.9	9.438
Asteraceae	0.126	0.01	42.12	-85.906667	Asterids	0.02587140398480746	0.07035
Asteraceae	0.126	0.01	42.12	-85.906667	Asterids	0.03329761825593774	0.07035
Asteraceae	0.126	0.01	42.548611	-84.24972199999998	Asterids	0.10663899844975258	0.07035
Asteraceae	0.126	0.01	42.548611	-84.24972199999998	Asterids	0.06353973207285941	0.07035
Asteraceae	0.4	0.4	27.63833300000001	-80.3975	Asterids	0.4	0.4515
