species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Baiomys	4.9	1.8	42.799999	-114.900002	Cricetidae	2.5201437036978684	2.19
Baiomys	4.9	1.8	42.799999	-114.900002	Cricetidae	4.147347113597997	4.4665
Baiomys	4.9	1.8	42.799999	-114.900002	Cricetidae	3.5271428998976413	3.09
Baiomys	4.9	2.5	43.613739	-116.237651	Muridae	4.141007490673024	4.4665
Baiomys	2.5	1.9	32.113609999999994	-109.92111	Muridae	2.020862920810042	2.19
Baiomys	2.5	1.9	33.448457	-112.073844	Muridae	2.3026675017544447	2.19
Baiomys	2.5	1.9	32.113609999999994	-109.92111	Muridae	2.1995834531828597	2.19
Baiomys	5.9	4.9	28.5	-108.25	Muridae	5.5692189924487865	6.2895
Baiomys	4.9	1.8	28.9	-108.0	Cricetidae	2.2794872182104293	2.19
Baiomys	4.9	2.5	39.055833	-95.689444	Muridae	2.6031348640287093	3.09
Baiomys	4.9	1.8	37.200001	-100.300003	Cricetidae	4.411181014464237	4.4665
Baiomys	4.9	2.5	28.75	-108.25	Muridae	3.3452194407097564	3.09
Baiomys	2.5	1.9	32.113609999999994	-109.92111	Muridae	2.4177821330982416	2.19
Baiomys	4.9	2.5	33.448457	-112.073844	Muridae	3.794759747023417	4.4665
Baiomys	4.9	2.5	32.113609999999994	-109.92111	Muridae	2.6192982231847397	3.09
Baiomys	4.9	2.5	33.101667	-109.268611	Muridae	3.1149402266871524	3.09
Baiomys	4.9	1.8	33.900002	-117.0	Cricetidae	1.9545416167064844	2.19
Baiomys	4.9	2.5	33.101667	-109.268611	Muridae	3.672621730304338	4.4665
Baiomys	4.9	2.5	38.555605	-121.468926	Muridae	3.074855723759834	3.09
Baiomys	4.9	1.8	37.099998	-100.900002	Cricetidae	2.0686549392556817	2.19
Baiomys	4.9	2.5	32.518611	-96.380833	Muridae	2.6175157256356303	3.09
Baiomys	4.9	2.5	39.055833	-95.689444	Muridae	3.4255498824668997	3.09
Baiomys	4.9	2.5	39.055833	-95.689444	Muridae	2.8382481075826407	3.09
Baiomys	4.9	1.8	32.716667	-100.916664	Cricetidae	3.2037229248925074	3.09
Baiomys	4.9	2.5	39.055833	-95.689444	Muridae	4.275527432904728	4.4665
Baiomys	4.9	1.8	37.200001	-100.300003	Cricetidae	3.8720872586205184	4.4665
Baiomys	4.9	2.5	39.055833	-95.689444	Muridae	3.2179269791740412	3.09
Baiomys	5.2	4.3	37.04638900000001	-100.6508	Muridae	4.8136541792055505	4.4665
