species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Berberidaceae	13.6	10.3	38.493889	-118.897222	Eudi_Non_Ro-Aster	11.241328168080884	9.438
Berberidaceae	20.43	15.97	39.2	-117.78333300000001	Eudi_Non_Ro-Aster	19.665941268741914	18.205000000000002
Berberidaceae	20.43	15.97	39.2	-117.78333300000001	Eudi_Non_Ro-Aster	18.226300390164152	18.205000000000002
Berberidaceae	5.33	1.81	39.309722	-119.64861100000002	Eudi_Non_Ro-Aster	5.171864903407076	4.4665
Berberidaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Eudi_Non_Ro-Aster	13.595481505888381	12.725000000000001
Berberidaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Eudi_Non_Ro-Aster	11.373522419011335	9.438
Berberidaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	16.464892492802765	18.205000000000002
Berberidaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	16.873039172996034	18.205000000000002
Berberidaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	16.073296957051628	18.205000000000002
Berberidaceae	13.6	10.3	39.388611	-118.9725	Eudi_Non_Ro-Aster	12.676796628437836	12.725000000000001
Berberidaceae	13.6	10.3	39.388611	-118.9725	Eudi_Non_Ro-Aster	12.673005139358072	12.725000000000001
Berberidaceae	16.3	13.6	38.493889	-118.897222	Eudi_Non_Ro-Aster	14.391465239375934	14.895
Berberidaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Berberidaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Berberidaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Berberidaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Berberidaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Berberidaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Berberidaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Berberidaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	19.26063458990746	18.205000000000002
Berberidaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	16.60868634228189	18.205000000000002
Berberidaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	16.904500932049785	18.205000000000002
Berberidaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	16.66894184694608	18.205000000000002
Berberidaceae	16.3	13.6	39.583333	-119.35	Eudi_Non_Ro-Aster	14.988546590219169	14.895
Berberidaceae	13.65	11.61	39.583333	-119.36666699999999	Eudi_Non_Ro-Aster	12.046535946490044	12.725000000000001
Berberidaceae	13.65	11.61	39.583333	-119.36666699999999	Eudi_Non_Ro-Aster	12.523987505885403	12.725000000000001
Berberidaceae	13.65	11.61	39.583333	-119.36666699999999	Eudi_Non_Ro-Aster	13.319608148960125	12.725000000000001
Berberidaceae	13.65	11.61	39.583333	-119.35	Eudi_Non_Ro-Aster	11.969639480098646	12.725000000000001
Berberidaceae	13.65	11.61	39.583333	-119.35	Eudi_Non_Ro-Aster	12.375874930729447	12.725000000000001
Berberidaceae	13.65	11.61	39.583333	-119.35	Eudi_Non_Ro-Aster	12.811057716105141	12.725000000000001
Berberidaceae	13.65	11.61	39.583333	-119.35	Eudi_Non_Ro-Aster	12.904675933332756	12.725000000000001
Berberidaceae	13.65	11.61	39.583333	-119.35	Eudi_Non_Ro-Aster	13.405409165930822	12.725000000000001
Berberidaceae	15.97	11.61	36.139722	-120.359167	Eudi_Non_Ro-Aster	11.979393296280794	12.725000000000001
Berberidaceae	19.1	17.38	42.83	-124.55	Eudi_Non_Ro-Aster	18.0705598847998	18.205000000000002
