species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Betulaceae	13.6	10.3	38.493889	-118.897222	Rosids	12.167617322066755	12.725000000000001
Betulaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	20.162678135237293	18.205000000000002
Betulaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.047202901193252	18.205000000000002
Betulaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	17.635008912162125	18.205000000000002
Betulaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	17.160825073328194	18.205000000000002
Betulaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.760770501193274	18.205000000000002
Betulaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	4.090484480245477	4.4665
Betulaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	5.268931666499562	4.4665
Betulaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	19.490458741190213	18.205000000000002
Betulaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	18.130067972408433	18.205000000000002
Betulaceae	13.6	10.3	39.388611	-118.9725	Rosids	11.629694975223465	9.438
Betulaceae	10.0	10.0	36.419722	-82.476667	Rosids	10.0	9.438
Betulaceae	10.0	10.0	36.419722	-82.476667	Rosids	10.0	9.438
Betulaceae	23.03	20.43	75.411111	-89.430278	Rosids	21.42710058125175	21.735
Betulaceae	23.03	20.43	75.411111	-89.430278	Rosids	22.293197672246567	21.735
Betulaceae	23.03	20.43	75.411111	-89.430278	Rosids	21.750906898774826	21.735
Betulaceae	23.03	20.43	75.411111	-89.430278	Rosids	22.98589058482121	21.735
Betulaceae	0.126	0.01	42.385556	-84.748333	Rosids	0.106033614037833	0.07035
Betulaceae	0.126	0.01	42.385556	-84.748333	Rosids	0.038426450296781024	0.07035
Betulaceae	0.126	0.01	44.302778	-85.326389	Rosids	0.016488252083046082	0.07035
Betulaceae	16.3	13.6	38.493889	-118.897222	Rosids	13.722294239945047	12.725000000000001
Betulaceae	0.0335	0.0231	50.18333300000001	-114.516667	Rosids	0.03329116106681766	0.07035
Betulaceae	1.81	0.7809999999999999	35.359722	-76.8175	Rosids	1.752997567141875	1.287
Betulaceae	1.81	0.7809999999999999	35.359722	-76.8175	Rosids	1.7843710324400741	1.287
Betulaceae	1.81	0.7809999999999999	35.359722	-76.8175	Rosids	1.7450768275352917	1.287
Betulaceae	1.81	0.7809999999999999	35.359722	-76.8175	Rosids	1.3700277638439249	1.287
Betulaceae	0.126	0.01	49.7177	-124.97399999999999	Rosids	0.09272648637896358	0.07035
Betulaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Betulaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Betulaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	18.042035851704746	18.205000000000002
Betulaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	16.912111377843228	18.205000000000002
Betulaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	18.61808295911079	18.205000000000002
Betulaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	16.193069569583088	18.205000000000002
Betulaceae	1.81	0.7809999999999999	55.298889	-131.542778	Rosids	1.0087946889610535	1.287
Betulaceae	0.126	0.01	42.12	-85.906667	Rosids	0.07138352911768936	0.07035
Betulaceae	0.126	0.01	42.12	-85.906667	Rosids	0.03239110621126471	0.07035
Betulaceae	16.3	13.6	39.583333	-119.35	Rosids	14.502201197638009	14.895
Betulaceae	16.3	13.6	39.583333	-119.35	Rosids	14.384884337933387	14.895
Betulaceae	16.3	13.6	39.583333	-119.35	Rosids	15.977005693925538	18.205000000000002
Betulaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.579239264053447	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.812589294026575	12.725000000000001
Betulaceae	16.3	13.6	39.583333	-119.41666699999999	Rosids	15.367894814266071	14.895
Betulaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	13.408568274804187	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.410933110620567	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.207284340954034	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.01621719377767	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.35	Rosids	11.70328338899307	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.35	Rosids	12.711378007022846	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.35	Rosids	12.931705108831991	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.35	Rosids	11.901328492481785	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.35	Rosids	13.36620181775599	12.725000000000001
Betulaceae	13.65	11.61	39.583333	-119.35	Rosids	12.83477422741538	12.725000000000001
Betulaceae	15.97	11.61	39.9	-119.55	Rosids	12.45762737348151	12.725000000000001
Betulaceae	15.97	11.61	39.9	-119.55	Rosids	15.73254499522095	14.895
Betulaceae	15.97	11.61	39.9	-119.55	Rosids	13.4476754187841	12.725000000000001
Betulaceae	15.97	11.61	39.9	-119.55	Rosids	14.245362214498384	14.895
Betulaceae	15.97	11.61	39.9	-119.55	Rosids	14.525853812132725	14.895
Betulaceae	15.97	11.61	39.9	-119.55	Rosids	13.498405714408864	12.725000000000001
Betulaceae	15.97	11.61	39.9	-119.55	Rosids	13.473445287982251	12.725000000000001
Betulaceae	0.126	0.01	43.268056	-83.18083299999998	Rosids	0.02074845685058849	0.07035
Betulaceae	0.126	0.01	43.268056	-83.18083299999998	Rosids	0.03844448295788574	0.07035
Betulaceae	0.01346	0.01346	36.9575	-81.76916700000002	Rosids	0.01346	0.07035
Betulaceae	0.01346	0.01346	36.9575	-81.76916700000002	Rosids	0.01346	0.07035
Betulaceae	0.126	0.01	42.548611	-84.24972199999998	Rosids	0.07936689844030087	0.07035
Betulaceae	0.126	0.01	42.548611	-84.24972199999998	Rosids	0.061448317439154965	0.07035
Betulaceae	19.1	17.38	42.83	-124.55	Rosids	18.396420954999712	18.205000000000002
Betulaceae	19.1	17.38	42.83	-124.55	Rosids	17.994606822281032	18.205000000000002
Betulaceae	27.82	23.03	44.77	-122.62	Rosids	23.86257141429352	25.425
Betulaceae	27.82	23.03	44.77	-122.62	Rosids	24.370198796613078	25.425
