species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Blarina	0.126	0.0117	38.833332	-79.283333	Soricidae	0.09822469009362184	0.07035
Blarina	2.588	0.0117	34.200001	-84.800003	Soricidae	0.6907547061659791	0.4515
Blarina	0.126	0.0117	37.097298	-81.33609799999998	Soricidae	0.05176464582197431	0.07035
Blarina	1.8	0.3	38.700001	-79.300003	Soricidae	0.9637274298029812	1.287
Blarina	2.588	0.0117	38.605556	-79.370834	Soricidae	1.7569020304253329	1.287
Blarina	0.126	0.0117	38.476665	-78.892776	Soricidae	0.07409254740392478	0.07035
Blarina	0.126	0.0117	28.083332	-80.599998	Soricidae	0.08895248935446264	0.07035
Blarina	0.126	0.0117	37.200001	-100.300003	Soricidae	0.08670977240630777	0.07035
Blarina	0.126	0.0117	31.98333400000001	-81.066666	Soricidae	0.0544218689723498	0.07035
Blarina	1.8	0.3	38.400002	-98.099998	Soricidae	1.579398520958064	1.287
Blarina	4.9	1.8	39.900002	-97.699997	Soricidae	4.252074239792452	4.4665
Blarina	2.588	0.0117	37.543331	-80.398888	Soricidae	0.9408090255370694	1.287
Blarina	0.126	0.0117	29.407499	-82.476387	Soricidae	0.11144939886691296	0.07035
Blarina	0.126	0.0117	38.086109	-79.656944	Soricidae	0.0324355329824214	0.07035
Blarina	0.126	0.0117	38.833332	-79.29583000000002	Soricidae	0.031178932135251827	0.07035
Blarina	1.8	0.3	34.5	-101.699997	Soricidae	1.0062961987347998	1.287
Blarina	0.126	0.0117	38.577221	-79.363609	Soricidae	0.06295931526115035	0.07035
Blarina	0.126	0.0	36.183334	-86.783333	Soricidae	0.03791965842138617	0.07035
Blarina	1.8	0.3	36.700001	-99.900002	Soricidae	0.8804407152982618	1.287
Blarina	4.9	1.8	37.5	-98.0	Soricidae	4.270704042809965	4.4665
Blarina	1.8	0.3	38.700001	-98.099998	Soricidae	1.6512142044294074	1.287
Blarina	0.126	0.0	37.334721	-80.67916899999999	Soricidae	0.06633222913879742	0.07035
Blarina	0.126	0.0117	38.357777	-79.083054	Soricidae	0.113499961729806	0.07035
Blarina	1.8	0.3	33.75	-99.5	Soricidae	0.9411859409606034	1.287
Blarina	2.5	1.9	39.055833	-95.689444	Soricidae	2.10467185141132	2.19
Blarina	1.8	0.012	39.0	-98.199997	Soricidae	1.2733469427613389	1.287
Blarina	1.8	0.3	36.0	-93.199997	Soricidae	0.9136888235760656	1.287
Blarina	1.8	0.3	34.0	-99.800003	Soricidae	1.7131070348670383	1.287
Blarina	1.8	0.3	40.200001	-98.099998	Soricidae	0.325671162402587	0.4515
Blarina	0.126	0.0	37.616669	-91.833336	Soricidae	0.09231823455452758	0.07035
Blarina	1.8	0.3	40.200001	-75.300003	Soricidae	0.4988623612928762	0.4515
Blarina	1.8	0.3	38.700001	-79.300003	Soricidae	1.4944600535081325	1.287
Blarina	2.588	0.0	38.458332	-79.898888	Soricidae	1.992151456560384	2.19
Blarina	0.126	0.0	37.616669	-91.833336	Soricidae	0.10013126839534553	0.07035
Blarina	1.8	0.3	39.599998	-78.699997	Soricidae	1.3546973056984228	1.287
Blarina	2.5	1.9	39.92361	-97.82139	Soricidae	2.055628962097689	2.19
Blarina	1.8	0.3	36.799999	-100.5	Soricidae	1.5768224251309164	1.287
Blarina	1.8	0.3	37.200001	-100.300003	Soricidae	0.4602284714465795	0.4515
Blarina	1.8	0.3	41.200001	-96.599998	Soricidae	0.3086843761936292	0.4515
Blarina	0.3	0.012	29.1	-82.300003	Soricidae	0.2688276467882057	0.4515
Blarina	0.126	0.0117	29.6	-82.416664	Soricidae	0.09575922534965063	0.07035
Blarina	1.8	0.3	29.011944	-82.668053	Soricidae	0.8110229531679294	1.287
Blarina	1.8	0.3	45.433334	-99.866669	Soricidae	0.7630973303466491	0.4515
Blarina	1.8	0.3	27.9	-81.800003	Soricidae	0.7250369970192295	0.4515
Blarina	1.8	0.3	27.700001	-82.5	Soricidae	1.7840392416066682	1.287
Blarina	0.126	0.0117	29.799999	-82.099998	Soricidae	0.01261118601481682	0.07035
Blarina	1.8	0.3	28.799168	-82.070274	Soricidae	0.5788436526825733	0.4515
Blarina	4.9	1.8	29.0	-82.68	Soricidae	4.143134158299149	4.4665
Blarina	1.8	0.3	29.683332	-82.566666	Soricidae	1.3068032244369363	1.287
Blarina	1.8	0.3	39.599998	-78.699997	Soricidae	1.3405328396358156	1.287
Blarina	0.126	0.0117	27.5	-82.5	Soricidae	0.09569051593035356	0.07035
Blarina	1.8	0.3	39.799999	-95.0	Soricidae	1.0747475355536396	1.287
Blarina	0.126	0.0117	29.799999	-82.099998	Soricidae	0.0363486078272632	0.07035
Blarina	0.3	0.012	27.799999	-82.800003	Soricidae	0.034456009923238134	0.07035
Blarina	1.8	0.3	37.200001	-100.300003	Soricidae	1.051028487533304	1.287
Blarina	0.126	0.0117	34.719722999999995	-87.767776	Soricidae	0.0122341330164904	0.07035
Blarina	1.8	0.3	39.799999	-77.199997	Soricidae	0.5440901908858731	0.4515
Blarina	0.126	0.0117	28.716667	-81.449997	Soricidae	0.027485416427515084	0.07035
Blarina	1.8	0.3	27.041668	-81.821114	Soricidae	1.2186083788316977	1.287
Blarina	0.126	0.0117	29.4	-82.599998	Soricidae	0.05869986009861169	0.07035
Blarina	1.8	0.3	37.200001	-100.300003	Soricidae	0.9765403880974162	1.287
Blarina	1.8	0.3	37.200001	-100.300003	Soricidae	1.3662408201994587	1.287
Blarina	0.126	0.0117	31.98333400000001	-81.066666	Soricidae	0.09473690952064764	0.07035
