species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Brachyerix	2.5	0.85	32.16667	-106.8333	Erinaceidae	0.9968329983475438	1.287
Brachyerix	12.1	10.1	43.119444	-101.930833	Erinaceidae	11.157303288992095	9.438
Brachyerix	5.9	4.9	35.5	-106.41667	Erinaceidae	5.652464977348963	6.2895
Brachyerix	2.5	1.9	34.97	-101.9	Erinaceidae	2.43247571681015	2.19
Brachyerix	23.0	22.0	29.1225	-103.4754	Erinaceidae	22.330025723730806	21.735
Brachyerix	7.6	6.8	39.400833	-100.136944	Erinaceidae	7.1480684785678426	6.2895
Brachyerix	6.8	5.9	42.393056	-98.126111	Erinaceidae	6.781906282523416	6.2895
Brachyerix	6.8	5.9	39.154722	-101.509722	Erinaceidae	5.95623911672458	6.2895
Brachyerix	24.8	20.43	29.200001	-103.199997	Erinaceidae	23.392751048602772	25.425
Brachyerix	7.6	6.8	40.395	-100.257778	Erinaceidae	6.803280654294873	6.2895
Brachyerix	9.0	7.6	37.371389	-99.785278	Erinaceidae	7.853679568218182	9.438
Brachyerix	23.0	19.5	29.16666667	-103.5	Erinaceidae	20.862331393349365	21.735
Brachyerix	4.9	2.5	35.66722199999999	-105.964444	Erinaceidae	3.148155707033814	3.09
Brachyerix	14.8	12.5	35.427778	-106.8236	Erinaceidae	12.725302107191595	12.725000000000001
Brachyerix	16.0	14.8	35.0975	-116.62	Erinaceidae	15.595423006115967	14.895
Brachyerix	14.8	12.5	54.5	-105.681389	Erinaceidae	14.021582726762507	14.895
Brachyerix	16.0	14.8	45.666667	-111.3	Erinaceidae	14.838779208322293	14.895
Brachyerix	15.97	13.6	34.799999	-117.0	Erinaceidae	13.780449809779446	12.725000000000001
Brachyerix	20.43	15.97	42.400002	-103.800003	Erinaceidae	19.63959663361358	18.205000000000002
Brachyerix	16.0	14.8	38.586111	-117.926389	Erinaceidae	15.712419947431545	14.895
Brachyerix	13.9	12.8	31.0466	-93.2054	Erinaceidae	13.413676155200374	12.725000000000001
Brachyerix	15.9	14.8	42.159167	-103.7256	Erinaceidae	15.375408155936794	14.895
Brachyerix	10.1	9.0	35.686944	-105.937778	Erinaceidae	9.238943956527393	9.438
Brachyerix	16.0	14.8	42.160833	-103.725833	Erinaceidae	15.359965407854517	14.895
Brachyerix	15.97	13.6	45.926109	-111.294724	Erinaceidae	15.820842571850266	14.895
Brachyerix	14.8	12.5	43.493056	-99.277778	Erinaceidae	13.452199624379256	12.725000000000001
Brachyerix	15.97	13.6	38.099998	-117.300003	Erinaceidae	14.244289935602536	14.895
Brachyerix	14.8	12.5	31.046667	-93.205278	Erinaceidae	12.638477450868075	12.725000000000001
Brachyerix	13.6	12.5	43.493056	-99.27778	Erinaceidae	12.893410606660755	12.725000000000001
Brachyerix	15.16	14.8	38.223333000000004	-117.2689	Erinaceidae	14.947566163210256	14.895
Brachyerix	15.97	13.6	49.200001	-106.199997	Erinaceidae	15.817010205193913	14.895
Brachyerix	15.9	15.8	35.031667	-117.0611	Erinaceidae	15.821524297738188	14.895
Brachyerix	15.9	14.8	45.666667	-111.3	Erinaceidae	15.097500756826525	14.895
Brachyerix	15.97	13.6	43.099998	-98.300003	Erinaceidae	15.915918008798739	14.895
Brachyerix	20.43	15.97	42.200001	-103.099998	Erinaceidae	16.622764656672476	18.205000000000002
Brachyerix	15.9	14.8	46.6167	-111.05	Erinaceidae	15.580652662882311	14.895
Brachyerix	20.43	15.97	42.400002	-103.800003	Erinaceidae	17.64717023842632	18.205000000000002
Brachyerix	19.5	15.9	42.516667	-103.4	Erinaceidae	18.757813290327576	18.205000000000002
Brachyerix	17.4	16.7	42.446389	-107.5567	Erinaceidae	17.268707399910177	18.205000000000002
Brachyerix	16.7	16.1	42.446389	-107.5567	Erinaceidae	16.328948244062946	18.205000000000002
Brachyerix	18.8	17.5	40.074722	-105.945278	Erinaceidae	17.877672337130974	18.205000000000002
Brachyerix	16.1	15.9	42.446389	-107.5567	Erinaceidae	15.917826179656437	14.895
Brachyerix	23.0	19.5	46.621389	-111.097778	Erinaceidae	20.227219319445034	18.205000000000002
Brachyerix	18.8	17.5	42.376389	-103.3117	Erinaceidae	18.556942838262	18.205000000000002
Brachyerix	15.9	14.8	46.6578	-111.0664	Erinaceidae	15.576884377021685	14.895
Brachyerix	18.8	17.5	42.7475	-102.0098	Erinaceidae	18.27902206424155	18.205000000000002
Brachyerix	17.0	16.5	42.175	-103.7375	Erinaceidae	16.645180473618854	18.205000000000002
Brachyerix	17.5	17.0	42.399722	-103.0306	Erinaceidae	17.20612716352372	18.205000000000002
Brachyerix	17.5	16.0	42.399722	-103.030556	Erinaceidae	17.265154764625652	18.205000000000002
Brachyerix	20.43	15.97	42.374001	-103.317703	Erinaceidae	19.32081212252369	18.205000000000002
Brachyerix	20.43	15.97	43.200001	-108.199997	Erinaceidae	17.947646587235752	18.205000000000002
Brachyerix	17.5	16.0	42.446389	-107.556667	Erinaceidae	17.274458288694028	18.205000000000002
Brachyerix	18.8	17.5	40.055833	-106.2092	Erinaceidae	18.043453352948536	18.205000000000002
Brachyerix	18.8	17.5	40.03	-106.3139	Erinaceidae	18.534675259219586	18.205000000000002
Brachyerix	19.5	18.8	42.417222	-103.727222	Erinaceidae	19.295336308368	18.205000000000002
Brachyerix	20.43	15.97	43.200001	-108.199997	Erinaceidae	19.49099556252798	18.205000000000002
Brachyerix	20.43	15.97	43.200001	-108.199997	Erinaceidae	16.114791815206775	18.205000000000002
Brachyerix	23.8	18.8	42.492778	-103.7139	Erinaceidae	19.621108900767318	18.205000000000002
Brachyerix	19.5	18.8	42.55	-103.7917	Erinaceidae	19.20472085693335	18.205000000000002
Brachyerix	18.8	17.5	42.750833	-102.022222	Erinaceidae	18.305565332322587	18.205000000000002
Brachyerix	17.5	17.0	42.545	-102.8628	Erinaceidae	17.41363730303101	18.205000000000002
Brachyerix	20.43	15.97	42.75	-102.0	Erinaceidae	16.97485679056329	18.205000000000002
Brachyerix	18.8	17.5	42.817	-102.0745	Erinaceidae	17.55219579888196	18.205000000000002
Brachyerix	17.4	15.9	42.4325	-107.5603	Erinaceidae	16.126373420032007	18.205000000000002
Brachyerix	24.8	20.43	42.400002	-103.800003	Erinaceidae	20.699985103368327	21.735
Brachyerix	20.43	15.97	43.200001	-107.099998	Erinaceidae	18.30484233752953	18.205000000000002
Brachyerix	17.4	15.9	42.441666999999995	-107.5556	Erinaceidae	16.143381091479696	18.205000000000002
Brachyerix	20.43	15.97	43.200001	-108.199997	Erinaceidae	17.175977422741123	18.205000000000002
Brachyerix	20.43	15.97	42.799999	-103.099998	Erinaceidae	19.200115909479265	18.205000000000002
Brachyerix	18.8	17.5	40.025278	-106.3061	Erinaceidae	18.331579276448238	18.205000000000002
Brachyerix	18.8	18.3	40.901666999999996	-103.2697	Erinaceidae	18.667672991103448	18.205000000000002
Brachyerix	17.5	16.0	42.175	-103.7375	Erinaceidae	17.06224236326365	18.205000000000002
Brachyerix	20.43	15.97	43.200001	-108.199997	Erinaceidae	18.887219250207966	18.205000000000002
Brachyerix	17.0	15.9	42.1393	-103.8175	Erinaceidae	16.62681766687157	18.205000000000002
Brachyerix	20.43	15.97	43.200001	-108.199997	Erinaceidae	18.25257254259268	18.205000000000002
Brachyerix	20.43	15.97	43.200001	-107.099998	Erinaceidae	17.15303389993992	18.205000000000002
Brachyerix	17.4	15.9	42.436667	-107.56	Erinaceidae	16.082135892094666	18.205000000000002
Brachyerix	17.4	15.9	42.448611	-107.5531	Erinaceidae	16.157031971539844	18.205000000000002
Brachyerix	17.4	15.9	42.450556	-107.5336	Erinaceidae	16.639986287555562	18.205000000000002
Brachyerix	20.43	15.97	42.75	-102.0	Erinaceidae	18.090834837251442	18.205000000000002
Brachyerix	20.43	15.97	42.799999	-103.099998	Erinaceidae	19.37386808973425	18.205000000000002
Brachyerix	18.8	17.5	42.525	-103.0667	Erinaceidae	17.799695124707227	18.205000000000002
