species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Canis	2.588	0.0117	33.214443	-80.447777	Canidae	2.0010553527960258	2.19
Canis	0.85	0.4	28.133333	-81.63166700000002	Canidae	0.5549901994347332	0.4515
Canis	2.5	0.85	33.448457	-112.073844	Canidae	2.1310726200174868	2.19
Canis	0.126	0.0117	29.799999	-82.099998	Canidae	0.0900934280058363	0.07035
Canis	1.8	0.3	32.0	-106.699997	Canidae	1.2636795128014209	1.287
Canis	1.8	0.3	33.214443	-80.448059	Canidae	1.0554388843615934	1.287
Canis	1.8	0.3	36.0	-93.199997	Canidae	0.9661526579120924	1.287
Canis	4.9	0.3	35.700001	-112.400002	Canidae	2.0240761567588827	2.19
Canis	1.9	0.85	28.133333	-81.63166700000002	Canidae	1.8749330363949483	2.19
Canis	1.8	0.3	39.599998	-78.699997	Canidae	1.706835851420042	1.287
Canis	1.8	0.3	28.799168	-82.070274	Canidae	0.8773388719072249	1.287
Canis	1.9	0.85	28.133333	-81.63166700000002	Canidae	1.4251932134202916	1.287
Canis	1.8	0.3	33.700001	-101.900002	Canidae	0.7278691876643493	0.4515
Canis	1.9	0.85	35.66722199999999	-105.964444	Canidae	1.8943560554201144	2.19
Canis	1.8	0.3	39.599998	-78.699997	Canidae	0.9411566607405476	1.287
Canis	1.8	0.3	33.75	-99.5	Canidae	1.2522404073452111	1.287
Canis	1.8	0.3	29.799999	-82.099998	Canidae	1.5781907648335534	1.287
Canis	1.8	0.3	27.700001	-82.5	Canidae	1.5581915944788651	1.287
Canis	1.8	0.3	27.700001	-82.5	Canidae	0.6945147971697558	0.4515
Canis	1.8	0.3	37.099998	-100.900002	Canidae	0.7789493673551652	1.287
Canis	1.8	0.3	29.4	-82.599998	Canidae	0.3154029074358564	0.4515
Canis	1.8	0.3	34.5	-101.300003	Canidae	0.3654449823562098	0.4515
Canis	1.8	0.3	40.200001	-75.300003	Canidae	0.3691922530822344	0.4515
Canis	0.126	0.0117	39.0	-86.5	Canidae	0.10521468090163764	0.07035
Canis	0.126	0.0117	40.427223	-78.388885	Canidae	0.09915524992614068	0.07035
Canis	0.126	0.0117	27.17	-81.900002	Canidae	0.0225849758510223	0.07035
Canis	0.3	0.012	29.1	-82.300003	Canidae	0.16300607423573005	0.4515
Canis	0.126	0.0117	29.6	-82.416664	Canidae	0.11340564068342278	0.07035
Canis	0.3	0.012	34.069721	-118.348892	Canidae	0.28517790347345	0.4515
Canis	1.8	0.012	28.1	-80.5	Canidae	1.7058481005407806	1.287
Canis	0.126	0.0117	37.097298	-81.33609799999998	Canidae	0.012633292452150868	0.07035
Canis	0.126	0.0117	27.5	-82.5	Canidae	0.08175125334137792	0.07035
Canis	0.126	0.0117	29.799999	-82.099998	Canidae	0.057908128122397075	0.07035
Canis	1.8	0.3	37.529999	-121.959999	Canidae	1.2987763392251228	1.287
Canis	0.3	0.012	28.799999	-82.199997	Canidae	0.26339132790719283	0.4515
Canis	1.8	0.3	37.044701	-100.477097	Canidae	0.8199277138979719	1.287
Canis	0.126	0.0117	38.908333	-121.01388500000002	Canidae	0.12246153438614064	0.07035
Canis	0.126	0.0117	38.266666	-90.366669	Canidae	0.04150709278548583	0.07035
Canis	2.588	0.0117	32.559166	-80.292503	Canidae	0.7686965631765332	0.4515
Canis	0.3	0.012	32.479443	-80.334724	Canidae	0.03992700888675298	0.07035
Canis	0.3	0.012	33.010277	-79.087776	Canidae	0.21575996425671692	0.4515
Canis	0.126	0.0117	28.716667	-81.449997	Canidae	0.08710931214179461	0.07035
