species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Castor	4.9	1.8	35.900002	-120.0	Castoridae	3.848888240260673	4.4665
Castor	4.9	1.8	35.900002	-120.0	Castoridae	3.6026993957896387	4.4665
Castor	7.6	6.8	38.555605	-121.468926	Castoridae	7.4621444485959865	9.438
Castor	2.5	1.9	43.613739	-116.237651	Castoridae	2.354345380038641	2.19
Castor	4.9	1.8	35.900002	-120.0	Castoridae	2.6166386497097798	3.09
Castor	4.9	1.8	35.900002	-120.0	Castoridae	3.367572510647161	3.09
Castor	6.7	5.9	45.760833	-119.4806	Castoridae	6.625851013029394	6.2895
Castor	5.9	5.0	42.821667	-97.85221999999999	Castoridae	5.8302232918306025	6.2895
Castor	5.9	4.9	42.81583300000001	-97.725278	Castoridae	5.4662461159677465	6.2895
Castor	7.5	6.7	42.184722	-103.7653	Castoridae	7.3382461258601985	9.438
Castor	1.8	0.3	40.200001	-98.099998	Castoridae	0.9350033837073052	1.287
Castor	6.8	5.9	42.393056	-98.126111	Castoridae	6.2283137541247	6.2895
Castor	6.7	5.9	45.596389	-118.7847	Castoridae	6.324239327150388	6.2895
Castor	4.9	2.5	47.0425	-122.893056	Castoridae	4.016391093290023	4.4665
Castor	4.9	1.8	43.599998	-116.800003	Castoridae	3.0747721223083864	3.09
Castor	4.9	0.3	29.799999	-82.099998	Castoridae	0.7083515450731585	0.4515
Castor	4.9	1.8	46.299999	-119.099998	Castoridae	3.756755124451926	4.4665
Castor	3.6	0.7809999999999999	46.283333	-112.716667	Castoridae	2.8046311977968377	3.09
Castor	4.9	1.8	31.700001	-114.5	Castoridae	2.7008517095659577	3.09
Castor	4.9	1.8	43.0	-118.0	Castoridae	2.8262637944717506	3.09
Castor	4.9	1.8	35.900002	-120.0	Castoridae	2.5743588212484005	2.19
Castor	4.9	2.5	43.613739	-116.237651	Castoridae	4.279294385056241	4.4665
Castor	4.9	1.8	35.900002	-120.0	Castoridae	4.129820782891418	4.4665
Castor	7.6	6.8	42.198056	-103.780833	Castoridae	7.495646513521242	9.438
Castor	5.9	4.7	42.81583300000001	-97.72528	Castoridae	5.28577386240913	4.4665
Castor	4.9	1.8	44.0	-116.800003	Castoridae	4.366666678910607	4.4665
Castor	4.9	1.8	35.900002	-120.0	Castoridae	4.3245624935893305	4.4665
Castor	4.9	1.8	47.0	-118.5	Castoridae	2.0197878506879703	2.19
Castor	6.7	5.9	43.2363	-120.6369	Castoridae	5.924318808352482	6.2895
Castor	6.7	5.9	42.393056	-98.12611	Castoridae	6.647160385361558	6.2895
Castor	4.9	1.8	43.0	-118.0	Castoridae	3.760636726267938	4.4665
Castor	0.126	0.0	37.365002	-80.533333	Castoridae	0.03476296092152882	0.07035
Castor	0.0117	0.0	38.628056	-78.41471899999998	Castoridae	0.004491760064803532	0.006200000000000001
Castor	1.8	0.3	38.299999	-97.599998	Castoridae	0.7888592856752652	1.287
Castor	0.0117	0.0	38.822777	-78.540001	Castoridae	0.010554215644086836	0.00995
Castor	0.126	0.0	37.334721	-80.67916899999999	Castoridae	0.056137480382579256	0.07035
Castor	0.126	0.0117	45.099998	-64.199997	Castoridae	0.05124438443631323	0.07035
Castor	0.126	0.0117	31.98333400000001	-81.066666	Castoridae	0.05413978448992093	0.07035
Castor	1.8	0.3	36.0	-93.199997	Castoridae	1.294617221792398	1.287
Castor	0.126	0.0117	32.0	-81.099998	Castoridae	0.11851904404471332	0.07035
Castor	2.588	0.0117	36.266666	-83.13333100000001	Castoridae	0.04413997520148339	0.07035
Castor	0.126	0.0117	38.357777	-79.083054	Castoridae	0.11191020996102842	0.07035
Castor	2.5	1.9	29.61667000000001	-82.36667	Castoridae	2.4570680216905547	2.19
Castor	2.588	0.0117	36.150002	-84.099998	Castoridae	1.8201257133059368	2.19
Castor	0.126	0.0117	68.199997	-140.0	Castoridae	0.04742616456507688	0.07035
Castor	0.7809999999999999	0.126	36.88361	-80.916389	Castoridae	0.27623948335017057	0.4515
Castor	0.0117	0.0	42.820328	-70.820328	Castoridae	0.003982350346167874	0.0021
Castor	0.0117	0.0	43.806885	-70.033089	Castoridae	0.007768875103449012	0.006200000000000001
Castor	0.126	0.0117	42.808887	-83.364441	Castoridae	0.08962959028075519	0.07035
Castor	0.126	0.0117	38.602779	-79.368889	Castoridae	0.06734570089951687	0.07035
Castor	0.126	0.0117	41.544998	-89.66278100000002	Castoridae	0.03171871668954152	0.07035
Castor	0.0117	0.0	35.233334	-114.366669	Castoridae	0.010564102074487335	0.00995
Castor	0.126	0.0117	28.716667	-81.449997	Castoridae	0.028735247496385563	0.07035
Castor	2.588	0.0117	38.605556	-79.370834	Castoridae	0.3724915205839636	0.4515
Castor	2.588	0.0117	39.644169	-77.58555600000003	Castoridae	0.1742540707663875	0.4515
Castor	0.126	0.0117	40.200001	-84.683334	Castoridae	0.11543770781573705	0.07035
Castor	2.588	0.0117	32.559166	-80.292503	Castoridae	0.27426255723491233	0.4515
Castor	0.126	0.0117	44.633331	-112.58333600000002	Castoridae	0.04556787386884269	0.07035
