species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Cryptotis	6.8	5.9	44.930833	-123.028889	Soricidae	6.347506181325767	6.2895
Cryptotis	4.9	2.5	39.055833	-95.689444	Soricidae	3.6788608277566133	4.4665
Cryptotis	4.9	1.8	37.200001	-100.300003	Soricidae	1.8010010197294344	2.19
Cryptotis	4.9	2.5	39.055833	-95.689444	Soricidae	3.5096844930053823	3.09
Cryptotis	6.7	5.9	43.2363	-120.6369	Soricidae	6.675024352773522	6.2895
Cryptotis	4.9	1.8	37.200001	-100.300003	Soricidae	4.827313167984826	4.4665
Cryptotis	4.9	2.5	39.055833	-95.689444	Soricidae	2.7092956025631167	3.09
Cryptotis	4.9	1.8	37.5	-98.0	Soricidae	3.8508771925086407	4.4665
Cryptotis	4.9	1.8	37.200001	-100.300003	Soricidae	2.2884706323764537	2.19
Cryptotis	4.9	2.5	39.055833	-95.689444	Soricidae	4.8830367932905085	4.4665
Cryptotis	0.126	0.0	37.616669	-91.833336	Soricidae	0.06763517166722158	0.07035
Cryptotis	0.126	0.0	37.616669	-91.833336	Soricidae	0.08784703406950531	0.07035
Cryptotis	0.126	0.0	37.616669	-91.833336	Soricidae	0.009613998799616613	0.00995
Cryptotis	0.0117	0.0	36.183334	-86.783333	Soricidae	0.006091277368069855	0.006200000000000001
Cryptotis	0.126	0.0	37.616669	-91.833336	Soricidae	0.08958536097795121	0.07035
Cryptotis	1.8	0.3	38.700001	-98.099998	Soricidae	0.9167368259337464	1.287
Cryptotis	1.8	0.3	37.200001	-100.300003	Soricidae	0.6190442591749047	0.4515
Cryptotis	0.126	0.0117	29.1	-82.300003	Soricidae	0.0436639768316513	0.07035
Cryptotis	1.8	0.3	29.011944	-82.668053	Soricidae	0.8688337180326136	1.287
Cryptotis	0.126	0.0117	29.6	-82.416664	Soricidae	0.02623713946670176	0.07035
Cryptotis	0.126	0.0117	29.407499	-82.476387	Soricidae	0.07677177415801771	0.07035
Cryptotis	0.3	0.012	29.1	-82.300003	Soricidae	0.1537572304281003	0.4515
Cryptotis	0.126	0.0117	29.4	-82.599998	Soricidae	0.0531824527301311	0.07035
Cryptotis	1.8	0.3	33.75	-99.5	Soricidae	0.6151636762027094	0.4515
Cryptotis	1.8	0.3	29.683332	-82.566666	Soricidae	0.9310656036634308	1.287
Cryptotis	0.126	0.0117	38.357777	-79.083054	Soricidae	0.016139340829125583	0.07035
Cryptotis	4.9	1.8	29.0	-82.68	Soricidae	2.9996582470163458	3.09
Cryptotis	0.126	0.0117	38.833332	-79.283333	Soricidae	0.055205185972387306	0.07035
Cryptotis	1.8	0.3	34.0	-99.800003	Soricidae	1.0240544447661777	1.287
Cryptotis	0.126	0.0117	29.799999	-82.099998	Soricidae	0.08848967515208649	0.07035
Cryptotis	1.8	0.3	28.799168	-82.070274	Soricidae	0.509000349833733	0.4515
Cryptotis	0.126	0.0117	32.714721999999995	-96.707497	Soricidae	0.058238452227967676	0.07035
Cryptotis	0.126	0.0117	31.883333	-108.449997	Soricidae	0.039934314520605016	0.07035
Cryptotis	0.126	0.0117	25.700001	-80.400002	Soricidae	0.0536074784465785	0.07035
Cryptotis	4.9	0.3	29.799999	-82.099998	Soricidae	2.8052107870706293	3.09
Cryptotis	1.8	0.3	33.799999	-99.699997	Soricidae	1.6038657446056894	1.287
Cryptotis	0.126	0.0117	32.366669	-104.449997	Soricidae	0.03617208816389885	0.07035
Cryptotis	1.8	0.3	37.200001	-100.300003	Soricidae	0.5852335353051794	0.4515
Cryptotis	0.126	0.0117	29.799999	-82.099998	Soricidae	0.06132991963487916	0.07035
Cryptotis	0.126	0.0	27.0	-104.800003	Soricidae	0.0813246256813814	0.07035
Cryptotis	4.9	2.5	47.0425	-122.893056	Soricidae	3.7258959180937694	4.4665
Cryptotis	4.9	2.5	39.055833	-95.689444	Soricidae	4.8544341827270845	4.4665
Cryptotis	4.9	2.5	39.055833	-95.689444	Soricidae	3.888748344495751	4.4665
Cryptotis	4.9	2.5	32.113609999999994	-109.92111	Soricidae	3.9634868709605113	4.4665
Cryptotis	4.9	2.5	32.518611	-96.380833	Soricidae	4.205973836353087	4.4665
Cryptotis	4.9	2.5	39.055833	-95.689444	Soricidae	4.2307700600240885	4.4665
