species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Cynomys	1.8	0.3	38.299999	-97.599998	Sciuridae	0.4713976762466296	0.4515
Cynomys	2.588	0.0	31.883333	-104.883331	Sciuridae	1.626324812479946	1.287
Cynomys	0.126	0.0117	34.883331	-106.883331	Sciuridae	0.022066773918542167	0.07035
Cynomys	2.5	1.9	39.055833	-95.689444	Sciuridae	2.0456212056255034	2.19
Cynomys	1.8	0.3	37.200001	-100.300003	Sciuridae	1.22779250956459	1.287
Cynomys	2.5	1.9	35.66722199999999	-105.964444	Sciuridae	2.421255161241532	2.19
Cynomys	4.9	1.8	39.900002	-97.699997	Sciuridae	3.0571625619538265	3.09
Cynomys	0.126	0.0117	46.616669	-113.050003	Sciuridae	0.03739012561802621	0.07035
Cynomys	1.8	0.3	35.0	-101.900002	Sciuridae	0.4919177908138754	0.4515
Cynomys	0.126	0.0117	46.595554	-113.043335	Sciuridae	0.09681739482403906	0.07035
Cynomys	0.126	0.0117	30.633333	-97.683334	Sciuridae	0.09238099291764908	0.07035
Cynomys	1.8	0.3	35.0	-101.900002	Sciuridae	1.1580918076421105	1.287
Cynomys	1.8	0.3	36.5	-107.0	Sciuridae	1.270020589254307	1.287
Cynomys	1.8	0.3	36.5	-107.0	Sciuridae	1.1007260684256148	1.287
Cynomys	1.8	0.3	34.0	-99.800003	Sciuridae	0.9798024719775704	1.287
Cynomys	0.126	0.0117	36.783333	-100.699997	Sciuridae	0.08475222759940701	0.07035
Cynomys	0.126	0.0117	31.183332	-104.199997	Sciuridae	0.10455571479185158	0.07035
Cynomys	1.8	0.3	38.299999	-97.599998	Sciuridae	1.6519140963162842	1.287
Cynomys	1.8	0.3	34.0	-99.800003	Sciuridae	0.3977534263646767	0.4515
Cynomys	0.126	0.0117	33.066666	-96.966667	Sciuridae	0.04407683637613477	0.07035
Cynomys	0.126	0.0117	46.615002	-112.982498	Sciuridae	0.12411355616881928	0.07035
Cynomys	1.8	0.3	34.5	-101.699997	Sciuridae	1.1422892534814344	1.287
Cynomys	1.8	0.3	34.5	-101.300003	Sciuridae	1.5710927908086338	1.287
Cynomys	1.8	0.3	34.400002	-98.900002	Sciuridae	0.3729569041500563	0.4515
Cynomys	0.126	0.0117	46.200001	-112.76667	Sciuridae	0.054296844843804114	0.07035
Cynomys	1.8	0.3	33.75	-99.5	Sciuridae	0.7203498416755619	0.4515
Cynomys	1.8	0.3	36.5	-107.0	Sciuridae	1.4885965849450693	1.287
Cynomys	0.126	0.0117	32.349998	-104.783333	Sciuridae	0.11846884583843885	0.07035
Cynomys	0.126	0.0117	35.433334	-98.716667	Sciuridae	0.045005491266432274	0.07035
Cynomys	0.126	0.0117	31.883333	-108.449997	Sciuridae	0.04153683482577245	0.07035
Cynomys	1.8	0.3	37.200001	-100.300003	Sciuridae	1.1465127102497967	1.287
Cynomys	0.3	0.012	41.0	-100.599998	Sciuridae	0.2746617814809048	0.4515
Cynomys	1.8	0.3	42.700001	-102.5	Sciuridae	0.5095452116869559	0.4515
Cynomys	1.8	0.3	42.700001	-102.5	Sciuridae	0.8454512018495663	1.287
Cynomys	1.8	0.3	42.700001	-102.5	Sciuridae	1.3238993517738409	1.287
Cynomys	1.8	0.3	50.099998	-110.699997	Sciuridae	1.2376632243129115	1.287
Cynomys	1.8	0.3	40.200001	-98.099998	Sciuridae	0.4523320401146628	0.4515
Cynomys	1.8	0.3	40.900002	-100.099998	Sciuridae	0.5554494727698401	0.4515
Cynomys	1.8	0.3	42.700001	-102.5	Sciuridae	1.1573746819889112	1.287
Cynomys	1.8	0.3	42.700001	-102.5	Sciuridae	1.0806833373899931	1.287
Cynomys	1.8	0.3	38.299999	-97.599998	Sciuridae	0.7208366150484966	0.4515
Cynomys	1.8	0.3	51.599998	-112.300003	Sciuridae	1.4877707319374358	1.287
Cynomys	0.126	0.0117	42.799999	-112.900002	Sciuridae	0.0722670630127203	0.07035
Cynomys	0.126	0.0117	37.299999	-105.0	Sciuridae	0.08279930325160681	0.07035
Cynomys	0.126	0.0117	52.200001	-106.699997	Sciuridae	0.05352522333163953	0.07035
Cynomys	0.126	0.0117	50.183334	-114.51667	Sciuridae	0.059763893398470665	0.07035
Cynomys	0.126	0.0117	50.099998	-110.699997	Sciuridae	0.11554430483121347	0.07035
Cynomys	0.3	0.012	41.0	-100.599998	Sciuridae	0.02691196024037667	0.07035
Cynomys	0.3	0.012	40.799999	-97.099998	Sciuridae	0.2461222245681865	0.4515
Cynomys	0.3	0.012	40.200001	-99.400002	Sciuridae	0.2181477369564931	0.4515
Cynomys	1.8	0.3	40.200001	-99.400002	Sciuridae	1.7898798750279388	1.287
Cynomys	0.3	0.012	40.200001	-99.400002	Sciuridae	0.16744040949569136	0.4515
Cynomys	1.8	0.3	33.700001	-101.900002	Sciuridae	0.6411230751510724	0.4515
Cynomys	1.8	0.3	40.200001	-98.099998	Sciuridae	1.583941020054484	1.287
Cynomys	1.8	0.3	40.200001	-98.099998	Sciuridae	1.603973079389635	1.287
Cynomys	1.8	0.3	37.044701	-100.495201	Sciuridae	1.68854872111217	1.287
Cynomys	1.8	0.3	38.400002	-98.099998	Sciuridae	1.1841809281934257	1.287
Cynomys	1.8	0.3	38.299999	-97.599998	Sciuridae	0.6381264972665511	0.4515
Cynomys	1.8	0.3	40.799999	-97.099998	Sciuridae	0.9424111536061848	1.287
Cynomys	1.8	0.3	38.700001	-98.099998	Sciuridae	1.781434741034411	1.287
Cynomys	0.126	0.0117	37.299999	-105.0	Sciuridae	0.016158577622718873	0.07035
Cynomys	0.3	0.012	40.799999	-97.099998	Sciuridae	0.06272329685920461	0.07035
Cynomys	4.9	1.8	39.799999	-98.099998	Sciuridae	4.810749814371512	4.4665
Cynomys	4.9	1.8	39.900002	-97.699997	Sciuridae	3.837203376863732	4.4665
Cynomys	2.5	0.85	39.055833	-95.689444	Sciuridae	0.9983823187014108	1.287
