species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Dasypus	0.126	0.0117	29.683332	-82.566666	Dasypodidae	0.08894136526950291	0.07035
Dasypus	2.5	1.9	40.809868	-96.675345	Dasypodidae	2.104055431668358	2.19
Dasypus	0.126	0.0117	28.799999	-82.199997	Dasypodidae	0.014617363022482253	0.07035
Dasypus	2.5	0.85	28.133333	-81.63166700000002	Dasypodidae	2.2829027736634617	2.19
Dasypus	0.126	0.0117	36.666668	-93.216667	Dasypodidae	0.04660994986319537	0.07035
Dasypus	0.126	0.0117	29.4	-82.599998	Dasypodidae	0.1252750400217996	0.07035
Dasypus	1.8	0.3	29.4	-82.599998	Dasypodidae	1.385515505257826	1.287
Dasypus	1.8	0.3	36.700001	-99.900002	Dasypodidae	1.3958253054194392	1.287
Dasypus	4.9	0.3	29.690001	-82.559998	Dasypodidae	4.330448817480291	4.4665
Dasypus	0.126	0.0	37.616669	-91.833336	Dasypodidae	0.028724757670925725	0.07035
Dasypus	1.8	0.3	33.700001	-101.900002	Dasypodidae	0.6351356711549471	0.4515
Dasypus	2.5	1.9	27.78333333	-82.68333333	Dasypodidae	2.1364998324422144	2.19
Dasypus	1.8	0.3	29.700001	-82.599998	Dasypodidae	1.5582924507945075	1.287
Dasypus	1.8	0.3	27.041668	-81.821114	Dasypodidae	1.2203136797066705	1.287
Dasypus	0.3	0.012	27.799999	-82.800003	Dasypodidae	0.1359093703432768	0.4515
Dasypus	1.8	0.3	27.0	-82.199997	Dasypodidae	1.4033362593297998	1.287
Dasypus	1.8	0.3	32.861942	-80.04083299999998	Dasypodidae	0.3046453171677923	0.4515
Dasypus	1.8	0.3	27.9	-81.800003	Dasypodidae	1.3786147604083692	1.287
Dasypus	0.3	0.012	32.98	-80.17472099999998	Dasypodidae	0.027188278299314632	0.07035
Dasypus	0.126	0.0117	29.049999	-82.089996	Dasypodidae	0.07830529452353391	0.07035
Dasypus	1.8	0.3	34.700001	-87.900002	Dasypodidae	0.9547304129124421	1.287
Dasypus	0.3	0.012	29.1	-82.300003	Dasypodidae	0.028344647355313505	0.07035
Dasypus	0.126	0.0117	28.083332	-80.599998	Dasypodidae	0.05960749886712127	0.07035
Dasypus	4.9	1.8	42.378334	-98.234444	Dasypodidae	3.926995938116991	4.4665
Dasypus	2.588	0.0117	32.559166	-80.292503	Dasypodidae	0.4969316421384257	0.4515
Dasypus	0.126	0.0	37.616669	-91.833336	Dasypodidae	0.03943215218098669	0.07035
Dasypus	0.126	0.0117	29.1	-82.300003	Dasypodidae	0.11876031534895228	0.07035
Dasypus	1.8	0.3	28.799168	-82.070274	Dasypodidae	1.4096856003360292	1.287
Dasypus	2.5	1.9	28.133333	-81.63166700000002	Dasypodidae	2.020759646366411	2.19
Dasypus	0.85	0.4	28.133333	-81.63166700000002	Dasypodidae	0.8292397724803166	1.287
Dasypus	0.7809999999999999	0.126	29.416668	-82.216667	Dasypodidae	0.29726346705639184	0.4515
Dasypus	0.126	0.0117	29.799999	-82.099998	Dasypodidae	0.02008488847405061	0.07035
Dasypus	1.9	0.85	28.133333	-81.63166700000002	Dasypodidae	1.4093574207208983	1.287
Dasypus	4.9	1.8	29.700001	-82.599998	Dasypodidae	3.4251105508650244	3.09
Dasypus	0.126	0.0117	28.716667	-81.449997	Dasypodidae	0.013007206134173941	0.07035
Dasypus	0.126	0.0117	32.714721999999995	-96.707497	Dasypodidae	0.1190488549927363	0.07035
Dasypus	4.9	1.8	29.6	-82.933334	Dasypodidae	4.423700531841932	4.4665
Dasypus	4.9	1.8	28.6	-81.449997	Dasypodidae	4.417819380620848	4.4665
Dasypus	4.9	1.8	27.299999	-80.800003	Dasypodidae	2.8483981006644554	3.09
Dasypus	0.126	0.0117	34.386665	-84.909447	Dasypodidae	0.11143838800893067	0.07035
Dasypus	0.126	0.0117	29.799999	-82.099998	Dasypodidae	0.08714059556626379	0.07035
Dasypus	0.126	0.0117	34.700001	-87.900002	Dasypodidae	0.032760276635626244	0.07035
Dasypus	0.126	0.0117	29.1	-82.300003	Dasypodidae	0.12345753537657647	0.07035
Dasypus	2.5	1.9	28.133333	-81.63166700000002	Dasypodidae	2.2557900104697817	2.19
Dasypus	1.8	0.3	29.683332	-82.566666	Dasypodidae	1.2444464969180096	1.287
Dasypus	0.126	0.0	37.616669	-91.833336	Dasypodidae	0.0024306781255960565	0.0021
Dasypus	0.126	0.0117	36.68528	-81.97110699999998	Dasypodidae	0.12250337227854664	0.07035
Dasypus	2.588	0.0117	34.200001	-84.800003	Dasypodidae	0.22310719093646286	0.4515
Dasypus	2.5	1.9	28.133333	-81.63166700000002	Dasypodidae	1.9959573695289408	2.19
Dasypus	0.126	0.0117	29.799999	-82.099998	Dasypodidae	0.10058508773625026	0.07035
Dasypus	0.126	0.0117	32.0	-81.099998	Dasypodidae	0.11136804456146657	0.07035
Dasypus	1.8	0.3	29.799999	-82.099998	Dasypodidae	1.71957515375888	1.287
Dasypus	1.8	0.3	27.830278000000003	-80.811386	Dasypodidae	1.2262703215650659	1.287
Dasypus	1.9	0.85	28.133333	-81.63166700000002	Dasypodidae	1.6480512353069838	1.287
Dasypus	4.9	1.8	29.0	-82.68	Dasypodidae	2.5116012385138355	2.19
Dasypus	0.126	0.0117	29.1	-82.300003	Dasypodidae	0.062172211069447314	0.07035
Dasypus	0.126	0.0117	29.799999	-82.099998	Dasypodidae	0.06543482942865399	0.07035
Dasypus	1.8	0.3	27.700001	-82.5	Dasypodidae	1.1992103001784362	1.287
Dasypus	1.8	0.3	29.011944	-82.668053	Dasypodidae	0.8498561110125269	1.287
Dasypus	1.8	0.3	27.700001	-82.5	Dasypodidae	1.3789416517288915	1.287
Dasypus	4.9	1.8	27.366667	-82.449997	Dasypodidae	4.831338664987826	4.4665
Dasypus	2.5	1.9	29.61667000000001	-82.36667	Dasypodidae	2.3223070823287797	2.19
Dasypus	4.9	1.8	29.799999	-82.099998	Dasypodidae	4.429813414964082	4.4665
Dasypus	0.126	0.0117	31.98333400000001	-81.066666	Dasypodidae	0.03287480607895978	0.07035
Dasypus	0.126	0.0117	29.6	-82.416664	Dasypodidae	0.08578026629276392	0.07035
Dasypus	0.126	0.0117	27.799999	-82.699997	Dasypodidae	0.11457768560929744	0.07035
Dasypus	0.126	0.0117	25.700001	-80.400002	Dasypodidae	0.03710111981546805	0.07035
Dasypus	4.9	0.3	29.799999	-82.099998	Dasypodidae	3.3463326128760467	3.09
Dasypus	2.5	1.9	28.133333	-81.63166700000002	Dasypodidae	2.1691686783359185	2.19
Dasypus	1.9	0.85	28.133333	-81.63166700000002	Dasypodidae	1.022539516825839	1.287
Dasypus	0.126	0.0117	29.799999	-82.099998	Dasypodidae	0.0738067084842583	0.07035
Dasypus	0.126	0.0117	28.799999	-82.199997	Dasypodidae	0.08606356217187904	0.07035
Dasypus	1.8	0.3	34.0	-99.800003	Dasypodidae	1.6481184365921515	1.287
Dasypus	2.5	1.9	27.366667	-82.45	Dasypodidae	2.370548157523116	2.19
Dasypus	2.5	1.9	30.23	-82.63	Dasypodidae	2.0770023100340875	2.19
Dasypus	1.8	0.3	27.700001	-82.5	Dasypodidae	0.34515819900004924	0.4515
Dasypus	0.126	0.0	37.616669	-91.833336	Dasypodidae	0.03502692853314588	0.07035
