species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Dipodomys	0.126	0.0117	34.0	-118.199997	Heteromyidae	0.042723171265804535	0.07035
Dipodomys	1.8	0.3	32.900002	-117.099998	Heteromyidae	1.6118898727803832	1.287
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	4.62614278066131	4.4665
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	3.848185067019723	4.4665
Dipodomys	1.8	0.3	32.900002	-117.099998	Heteromyidae	1.5979428062759111	1.287
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	3.5271158317840117	3.09
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	3.0050474116769497	3.09
Dipodomys	4.9	2.5	38.555605	-121.468926	Heteromyidae	3.0717959895758744	3.09
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	2.7344103727399904	3.09
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	2.0947453334579	2.19
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	1.9384482966270145	2.19
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	1.936317931108816	2.19
Dipodomys	2.5	0.85	38.555605	-121.468926	Heteromyidae	1.314485927798664	1.287
Dipodomys	1.8	0.3	32.900002	-117.099998	Heteromyidae	0.5583303950007483	0.4515
Dipodomys	1.8	0.3	34.799999	-117.0	Heteromyidae	0.4951817942528138	0.4515
Dipodomys	2.5	1.9	33.448457	-112.073844	Heteromyidae	1.9237125443868808	2.19
Dipodomys	1.8	0.3	32.0	-110.199997	Heteromyidae	0.8176359001572355	1.287
Dipodomys	2.5	1.9	32.113609999999994	-109.92111	Heteromyidae	2.4281183894117206	2.19
Dipodomys	4.9	2.5	39.160833	-119.753889	Heteromyidae	2.8795552690341366	3.09
Dipodomys	1.8	0.3	32.0	-110.199997	Heteromyidae	0.6155179645962681	0.4515
Dipodomys	4.9	1.8	35.700001	-115.199997	Heteromyidae	4.033821273359684	4.4665
Dipodomys	4.9	1.8	33.0	-109.599998	Heteromyidae	4.359866994091527	4.4665
Dipodomys	4.9	2.5	33.101667	-109.268611	Heteromyidae	4.834782990211561	4.4665
Dipodomys	2.5	1.9	39.055833	-95.689444	Heteromyidae	2.1298199728713048	2.19
Dipodomys	2.5	1.9	33.448457	-112.073844	Heteromyidae	1.9802206343194824	2.19
Dipodomys	4.9	0.3	32.578499	-109.4842	Heteromyidae	4.612722510766006	4.4665
Dipodomys	2.5	0.85	38.555605	-121.468926	Heteromyidae	2.2742949353188417	2.19
Dipodomys	4.9	2.5	38.555605	-121.468926	Heteromyidae	3.016294984733051	3.09
Dipodomys	4.9	1.8	32.0	-110.199997	Heteromyidae	2.7400792292052043	3.09
Dipodomys	2.5	1.9	33.448457	-112.073844	Heteromyidae	2.2758662429123424	2.19
Dipodomys	4.9	1.8	32.694	-109.449997	Heteromyidae	4.78296578108096	4.4665
Dipodomys	4.9	1.8	33.0	-109.599998	Heteromyidae	3.0217625398035293	3.09
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	4.041822136667169	4.4665
Dipodomys	4.9	2.5	38.555605	-121.468926	Heteromyidae	4.12754560787341	4.4665
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	3.9660353542807414	4.4665
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	2.393760091704385	2.19
Dipodomys	4.9	1.8	37.200001	-100.300003	Heteromyidae	3.6843812038906334	4.4665
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	4.898612285106721	4.4665
Dipodomys	4.9	1.8	32.900002	-117.099998	Heteromyidae	3.072590099933989	3.09
Dipodomys	0.0117	0.0	31.183332	-104.199997	Heteromyidae	0.003681935062266076	0.0021
Dipodomys	0.0117	0.0	35.233334	-114.366669	Heteromyidae	0.008909500367206911	0.00995
Dipodomys	0.126	0.0117	31.183332	-104.199997	Heteromyidae	0.10297120675748833	0.07035
Dipodomys	0.0117	0.0	35.233334	-114.366669	Heteromyidae	0.0066864686042751855	0.006200000000000001
Dipodomys	1.8	0.3	34.799999	-117.0	Heteromyidae	0.6669767938503903	0.4515
Dipodomys	0.126	0.0117	34.883331	-106.883331	Heteromyidae	0.10931188699669098	0.07035
