species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Dipoides	4.9	1.8	46.299999	-119.099998	Castoridae	4.434312803063186	4.4665
Dipoides	4.9	1.8	37.200001	-100.300003	Castoridae	4.048944059853084	4.4665
Dipoides	4.9	2.5	47.0425	-122.893056	Castoridae	3.5924768393062347	3.09
Dipoides	4.9	2.5	39.055833	-95.689444	Castoridae	2.7378412608616065	3.09
Dipoides	4.9	1.8	37.200001	-100.300003	Castoridae	2.1339611841979544	2.19
Dipoides	4.9	1.8	42.700001	-100.0	Castoridae	1.9158411929693744	2.19
Dipoides	4.9	1.8	37.133331	-100.48333	Castoridae	3.7492250877259887	4.4665
Dipoides	15.16	14.8	44.509444	-119.6378	Castoridae	14.870878910555804	14.895
Dipoides	4.9	2.5	39.055833	-95.689444	Castoridae	4.130392554395929	4.4665
Dipoides	6.8	5.9	44.930833	-123.028889	Castoridae	6.320746699160456	6.2895
Dipoides	6.8	5.9	45.596389	-118.784722	Castoridae	6.063140572502856	6.2895
Dipoides	6.7	5.9	45.596389	-118.7847	Castoridae	6.4760662149970285	6.2895
Dipoides	9.0	7.6	40.769167	-118.795	Castoridae	7.8245009101617935	9.438
Dipoides	9.0	7.6	43.592778	-110.698889	Castoridae	8.13325386947329	9.438
Dipoides	9.0	6.8	43.109444	-114.894444	Castoridae	8.372241968645692	9.438
Dipoides	7.6	6.8	43.746667	-118.419167	Castoridae	7.1155625074320445	6.2895
Dipoides	7.38	7.2	44.501389	-119.6167	Castoridae	7.347061849230497	9.438
Dipoides	9.0	7.6	46.286667	-112.810833	Castoridae	8.511778173541622	9.438
Dipoides	8.0	7.5	41.93333300000001	-118.9	Castoridae	7.651181907576502	9.438
Dipoides	7.5	6.7	43.592778	-110.6989	Castoridae	6.938830195834545	6.2895
Dipoides	7.5	6.7	46.286667	-112.8108	Castoridae	7.4001864380997135	9.438
Dipoides	7.6	6.8	40.395	-100.257778	Castoridae	7.014582042565503	6.2895
Dipoides	7.5	6.7	43.109444	-114.8944	Castoridae	6.833805060204308	6.2895
Dipoides	7.6	6.8	43.451111	-117.587222	Castoridae	7.327405644883631	9.438
Dipoides	6.8	5.9	44.930833	-123.028889	Castoridae	6.141654561149961	6.2895
Dipoides	7.38	7.2	44.5	-120.0	Castoridae	7.300418947974963	9.438
Dipoides	9.3	7.8	38.749444	-119.1811	Castoridae	9.269929297558896	9.438
Dipoides	7.6	6.8	44.486111	-119.666667	Castoridae	7.286391359586459	9.438
Dipoides	6.7	5.9	43.875278	-117.4464	Castoridae	6.4328299882329425	6.2895
Dipoides	6.7	5.9	43.785556	-117.4578	Castoridae	6.4545896482089375	6.2895
Dipoides	7.5	7.1	43.746666999999995	-118.4192	Castoridae	7.175557147502388	6.2895
Dipoides	9.0	7.5	40.769166999999996	-118.795	Castoridae	7.985829534060277	9.438
Dipoides	13.6	10.3	43.599998	-117.5	Castoridae	12.917122744477954	12.725000000000001
Dipoides	7.5	7.1	42.790278	-117.7386	Castoridae	7.18899001294523	6.2895
Dipoides	7.5	7.1	43.747222	-118.4481	Castoridae	7.253075640258374	9.438
Dipoides	7.5	6.7	43.451111	-117.5872	Castoridae	6.756165309794789	6.2895
Dipoides	9.0	7.6	38.830278	-119.040278	Castoridae	8.316970101607469	9.438
Dipoides	7.5	6.7	40.395	-100.2578	Castoridae	7.366987049531477	9.438
Dipoides	9.0	7.6	41.925	-118.83611100000002	Castoridae	7.682132178953607	9.438
Dipoides	7.5	6.7	43.451111	-117.5872	Castoridae	6.7812933805078455	6.2895
Dipoides	7.5	6.7	41.111944	-103.2178	Castoridae	6.8745714022531414	6.2895
Dipoides	1.8	0.3	36.799999	-100.5	Castoridae	0.5226560237593794	0.4515
Dipoides	12.1	9.0	42.694167	-100.856389	Castoridae	9.086927291573367	9.438
Dipoides	12.2	11.5	43.402221999999995	-100.5972	Castoridae	11.630374019213797	12.725000000000001
Dipoides	11.5	9.5	42.814167	-101.7042	Castoridae	9.938838120081288	9.438
Dipoides	13.6	10.3	42.633331	-100.050003	Castoridae	13.38973965425413	12.725000000000001
Dipoides	11.5	9.5	42.625	-100.0556	Castoridae	10.113860542166613	9.438
Dipoides	11.5	9.5	42.890556	-100.2267	Castoridae	10.32817912399392	9.438
Dipoides	9.0	7.5	34.7	-107.0158	Castoridae	7.561525140928526	9.438
Dipoides	6.7	5.9	43.875278	-117.4464	Castoridae	6.500795899975835	6.2895
Dipoides	6.8	5.9	44.930833	-123.028889	Castoridae	6.112318310205947	6.2895
Dipoides	6.7	4.7	37.600278	-120.5792	Castoridae	5.93965011276438	6.2895
Dipoides	6.6	6.3	35.577778	-110.0492	Castoridae	6.587412043647125	6.2895
Dipoides	7.1	6.9	36.102778	-106.0778	Castoridae	6.952318458003584	6.2895
Dipoides	7.5	6.7	40.395	-100.2578	Castoridae	7.152254411080572	6.2895
Dipoides	7.6	6.8	36.114167	-105.978889	Castoridae	7.276085213104441	9.438
Dipoides	7.1	6.9	36.101667	-106.0753	Castoridae	7.041504423009885	6.2895
Dipoides	7.1	6.9	36.103333	-106.0792	Castoridae	7.0822216212386335	6.2895
Dipoides	6.8	4.9	33.448457	-112.073844	Castoridae	5.4866813543715045	6.2895
Dipoides	9.0	4.7	39.263056	-119.2344	Castoridae	5.088239363027908	4.4665
Dipoides	6.7	5.9	45.716667	-120.1072	Castoridae	6.4080492215345135	6.2895
Dipoides	6.7	5.9	45.716667	-120.1072	Castoridae	6.65658843490812	6.2895
Dipoides	6.7	5.9	45.716667	-120.1072	Castoridae	6.013418851584133	6.2895
Dipoides	4.9	2.5	39.055833	-95.689444	Castoridae	3.4728959458606563	3.09
Dipoides	7.5	6.7	42.175833000000004	-103.7564	Castoridae	6.793995786039593	6.2895
Dipoides	6.7	5.9	45.716667	-120.1072	Castoridae	6.407887453135915	6.2895
Dipoides	6.7	5.9	43.2363	-120.6369	Castoridae	6.082215551346399	6.2895
Dipoides	6.7	5.9	45.760833	-119.4806	Castoridae	6.624178139495015	6.2895
Dipoides	6.7	5.9	45.716667	-120.1072	Castoridae	6.3265771709963285	6.2895
Dipoides	7.5	6.7	42.184722	-103.7653	Castoridae	6.858031411952669	6.2895
Dipoides	5.2	4.3	37.04638900000001	-100.6508	Castoridae	4.991885797625773	4.4665
Dipoides	4.9	1.8	37.099998	-100.900002	Castoridae	4.766582767747281	4.4665
Dipoides	6.7	5.9	45.716667	-120.1072	Castoridae	6.382036539099183	6.2895
Dipoides	7.5	4.3	44.1294	-118.579	Castoridae	5.4368410564219385	6.2895
Dipoides	6.7	5.9	45.716667	-120.1072	Castoridae	6.200857958920458	6.2895
