species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Equus	0.126	0.0117	69.605553	-134.883331	Equidae	0.02656620562972421	0.07035
Equus	0.126	0.0117	69.0	-134.0	Equidae	0.04109980972747003	0.07035
Equus	0.126	0.0117	67.897224	-115.20833600000002	Equidae	0.09698961868642417	0.07035
Equus	0.126	0.0117	69.583336	-139.083328	Equidae	0.09141435943047116	0.07035
Equus	0.126	0.0117	69.566666	-138.916672	Equidae	0.07563438149406433	0.07035
Equus	0.7809999999999999	0.126	63.073055	-139.312775	Equidae	0.3325524729562114	0.4515
Equus	0.126	0.0117	64.053329	-141.87666299999995	Equidae	0.04511116966859738	0.07035
Equus	0.126	0.0117	32.714721999999995	-96.707497	Equidae	0.12360709126598599	0.07035
Equus	2.5	1.9	33.448457	-112.073844	Equidae	2.360070963538966	2.19
Equus	2.5	1.9	43.613739	-116.237651	Equidae	1.9651024440025435	2.19
Equus	2.5	1.9	32.113609999999994	-109.92111	Equidae	1.93931352862906	2.19
Equus	4.9	2.5	40.809868	-96.675345	Equidae	3.570396959181476	3.09
Equus	2.5	0.85	39.055833	-95.689444	Equidae	0.9012705315763432	1.287
Equus	2.5	0.85	32.16667	-106.8333	Equidae	2.3330703327519604	2.19
Equus	1.9	0.85	35.66722199999999	-105.964444	Equidae	1.7960575130295229	1.287
Equus	4.9	2.5	37.0	-103.6333333	Equidae	3.612520342419727	4.4665
Equus	2.5	1.9	33.25	-107.25	Equidae	2.2670004127805847	2.19
Equus	2.5	1.9	35.66722199999999	-105.964444	Equidae	2.32231128171087	2.19
Equus	4.9	2.5	35.66722199999999	-105.964444	Equidae	3.153651120602955	3.09
Equus	0.126	0.0117	36.716946	-81.762497	Equidae	0.1009826089449025	0.07035
Equus	1.8	0.3	39.799999	-77.199997	Equidae	1.1922952488660503	1.287
Equus	2.588	0.0117	31.221111	-81.50389100000002	Equidae	0.4331880523783069	0.4515
Equus	0.126	0.0117	29.950001	-82.788002	Equidae	0.09043601842829764	0.07035
Equus	2.588	0.0117	30.566668	-96.416664	Equidae	1.4937099923507262	1.287
Equus	1.8	0.3	50.700001	-107.900002	Equidae	1.0676286531912869	1.287
Equus	0.126	0.0117	39.0	-86.5	Equidae	0.12117578140665268	0.07035
Equus	2.588	0.0117	33.025276	-90.350281	Equidae	1.237718512196879	1.287
Equus	0.126	0.0117	38.332222	-79.570274	Equidae	0.1042195059230675	0.07035
Equus	0.7809999999999999	0.126	36.88361	-80.916389	Equidae	0.30581684432843137	0.4515
Equus	0.126	0.0117	38.266666	-90.366669	Equidae	0.07713851393057068	0.07035
Equus	2.588	0.0117	29.87389000000001	-91.919998	Equidae	1.4858381005308934	1.287
Equus	2.588	0.0117	28.126944	-97.427498	Equidae	2.224115811821749	2.19
Equus	4.9	1.8	31.700001	-114.5	Equidae	1.9036411152166484	2.19
Equus	1.8	0.3	40.200001	-75.300003	Equidae	0.6570395499268264	0.4515
Equus	2.588	0.0117	39.644169	-77.58555600000003	Equidae	0.43546679509133795	0.4515
Equus	0.126	0.0117	27.799999	-82.699997	Equidae	0.0883521702385306	0.07035
Equus	2.588	0.0117	36.150002	-84.099998	Equidae	1.740239683930742	1.287
Equus	0.126	0.0117	42.783333	-105.683334	Equidae	0.08468867813624542	0.07035
Equus	0.126	0.0117	50.900002	-110.199997	Equidae	0.01799715961579914	0.07035
Equus	1.8	0.3	38.299999	-97.599998	Equidae	1.118231219674285	1.287
Equus	0.126	0.0117	32.799999	-96.599998	Equidae	0.026847717292795288	0.07035
Equus	1.8	0.3	51.599998	-112.300003	Equidae	1.7568999841314834	1.287
Equus	1.8	0.3	33.700001	-101.900002	Equidae	0.5429445121004712	0.4515
Equus	1.8	0.3	34.0	-99.800003	Equidae	0.42165394210294	0.4515
Equus	0.126	0.0117	31.566668	-108.400002	Equidae	0.07300984138347895	0.07035
Equus	1.8	0.3	48.799999	-110.0	Equidae	0.8509692615092976	1.287
Equus	0.126	0.0117	32.714721999999995	-96.707497	Equidae	0.06360731631086028	0.07035
Equus	1.8	0.3	40.200001	-98.099998	Equidae	0.8584969934507629	1.287
Equus	1.8	0.3	35.0	-101.900002	Equidae	0.32435833329802244	0.4515
Equus	1.8	0.3	34.799999	-117.0	Equidae	1.403008838955062	1.287
Equus	1.8	0.3	34.799999	-117.0	Equidae	1.3231545362254329	1.287
Equus	1.8	0.3	37.044701	-100.495201	Equidae	0.7578981580319353	0.4515
Equus	0.126	0.0117	50.099998	-110.699997	Equidae	0.09826873667007473	0.07035
Equus	1.8	0.3	37.200001	-100.300003	Equidae	1.1760294732150436	1.287
Equus	0.126	0.0117	50.5	-119.800003	Equidae	0.08267454519205157	0.07035
Equus	1.8	0.3	34.5	-101.699997	Equidae	1.7437263653771853	1.287
Equus	2.588	0.0117	34.983334	-101.916664	Equidae	0.5952216089777465	0.4515
Equus	0.126	0.0117	37.299999	-105.0	Equidae	0.02725310361052187	0.07035
Equus	0.126	0.0117	52.200001	-106.699997	Equidae	0.08676644212129765	0.07035
Equus	0.126	0.0	39.483334	-114.033333	Equidae	0.053324238826652576	0.07035
Equus	2.588	0.0117	51.183334	-114.45138500000002	Equidae	1.952553006457706	2.19
Equus	0.126	0.0117	40.900002	-111.199997	Equidae	0.041496459155073516	0.07035
