species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Erethizon	4.9	1.8	32.900002	-117.099998	Erethizontidae	3.8058866590631437	4.4665
Erethizon	2.5	1.9	43.613739	-116.237651	Erethizontidae	2.0742226332451343	2.19
Erethizon	4.9	1.8	32.900002	-117.099998	Erethizontidae	4.382346840530699	4.4665
Erethizon	4.9	1.8	32.900002	-117.099998	Erethizontidae	3.3419478261459465	3.09
Erethizon	2.5	1.9	32.113609999999994	-109.92111	Erethizontidae	2.166175636648855	2.19
Erethizon	4.9	1.8	43.0	-118.0	Erethizontidae	3.5486638579090464	3.09
Erethizon	4.9	1.8	32.0	-110.199997	Erethizontidae	2.5612044164137093	2.19
Erethizon	2.5	0.85	38.555605	-121.468926	Erethizontidae	1.1422143926404065	1.287
Erethizon	1.8	0.3	33.900002	-117.0	Erethizontidae	0.4527659831792822	0.4515
Erethizon	4.9	1.8	33.900002	-117.0	Erethizontidae	3.70021724905919	4.4665
Erethizon	4.9	2.5	38.555605	-121.468926	Erethizontidae	2.8125624060199037	3.09
Erethizon	4.9	2.5	38.555605	-121.468926	Erethizontidae	3.2267169808691185	3.09
Erethizon	0.126	0.0	36.780556	-81.92083000000002	Erethizontidae	0.04764671497617652	0.07035
Erethizon	1.9	0.85	28.133333	-81.63166700000002	Erethizontidae	1.2289438314395889	1.287
Erethizon	1.8	0.3	40.200001	-75.300003	Erethizontidae	0.7122117325424215	0.4515
Erethizon	0.126	0.0117	38.357777	-79.083054	Erethizontidae	0.06883370395704964	0.07035
Erethizon	0.126	0.0117	40.916668	-122.23333	Erethizontidae	0.055117017261609634	0.07035
Erethizon	0.126	0.0117	32.366669	-104.449997	Erethizontidae	0.012700357498343426	0.07035
Erethizon	2.588	0.0117	39.135834	-79.684998	Erethizontidae	1.3120992626980332	1.287
Erethizon	2.588	0.0	31.883333	-104.883331	Erethizontidae	0.8133683416477775	1.287
Erethizon	0.126	0.0117	38.577221	-79.363609	Erethizontidae	0.10492996595142566	0.07035
Erethizon	1.8	0.3	39.799999	-77.199997	Erethizontidae	1.6815004279897658	1.287
Erethizon	0.126	0.0117	38.332222	-79.570274	Erethizontidae	0.10794991504292983	0.07035
Erethizon	0.126	0.0117	37.097298	-81.33609799999998	Erethizontidae	0.05148227067428432	0.07035
Erethizon	1.8	0.3	36.0	-93.199997	Erethizontidae	0.6778433711483416	0.4515
Erethizon	2.588	0.0117	38.700001	-79.300003	Erethizontidae	0.08987569872589589	0.07035
Erethizon	0.126	0.0117	31.183332	-104.199997	Erethizontidae	0.11124709366324866	0.07035
Erethizon	0.126	0.0117	42.799999	-112.900002	Erethizontidae	0.09711437934914552	0.07035
Erethizon	0.126	0.0117	27.799999	-82.699997	Erethizontidae	0.0859037776008687	0.07035
Erethizon	1.8	0.3	28.799168	-82.070274	Erethizontidae	0.5589430392607535	0.4515
Erethizon	1.9	0.85	28.133333	-81.63166700000002	Erethizontidae	1.459078155801731	1.287
Erethizon	1.8	0.3	38.700001	-79.300003	Erethizontidae	0.3641849842080374	0.4515
Erethizon	0.126	0.0117	40.974998	-83.449997	Erethizontidae	0.02840283534564348	0.07035
Erethizon	0.126	0.0117	38.602779	-79.368889	Erethizontidae	0.0901417945984174	0.07035
Erethizon	0.126	0.0117	40.916668	-122.23333	Erethizontidae	0.06362961515746378	0.07035
Erethizon	1.8	0.3	29.683332	-82.566666	Erethizontidae	0.3996176287312443	0.4515
Erethizon	2.588	0.0117	39.644169	-77.58555600000003	Erethizontidae	1.111582264464544	1.287
Erethizon	0.126	0.0117	42.783333	-100.083336	Erethizontidae	0.09904049737216816	0.07035
Erethizon	0.126	0.0	36.654446	-82.49166899999999	Erethizontidae	0.06828441906832512	0.07035
Erethizon	1.8	0.3	29.799999	-82.099998	Erethizontidae	0.6272766514258626	0.4515
