species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Fabaceae	13.6	10.3	38.493889	-118.897222	Rosids	11.877709525713227	12.725000000000001
Fabaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	19.126879912177678	18.205000000000002
Fabaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	18.776811737339273	18.205000000000002
Fabaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	11.827544659871124	12.725000000000001
Fabaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	12.53747786134518	12.725000000000001
Fabaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	19.70714756670757	18.205000000000002
Fabaceae	13.6	10.3	39.388611	-118.9725	Rosids	10.341031577329597	9.438
Fabaceae	16.3	13.6	38.493889	-118.897222	Rosids	16.135490125543132	18.205000000000002
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Fabaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	16.99015665570596	18.205000000000002
Fabaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	13.637117223687833	12.725000000000001
Fabaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.565533864367369	12.725000000000001
Fabaceae	13.65	11.61	39.583333	-119.35	Rosids	13.582630763196594	12.725000000000001
Fabaceae	15.97	11.61	39.9	-119.55	Rosids	14.459835317424453	14.895
Fabaceae	15.97	11.61	36.139722	-120.359167	Rosids	14.694659932473801	14.895
