species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Geomys	4.9	1.8	37.200001	-100.300003	Geomyidae	4.3218630481889235	4.4665
Geomys	5.9	5.0	40.4545	-85.7919	Geomyidae	5.579501409727307	6.2895
Geomys	4.9	2.5	39.055833	-95.689444	Geomyidae	4.14309242716174	4.4665
Geomys	4.9	2.5	39.055833	-95.689444	Geomyidae	3.5628225134538187	3.09
Geomys	2.5	0.85	38.555605	-121.468926	Geomyidae	0.9657138310538684	1.287
Geomys	4.9	2.5	38.555605	-121.468926	Geomyidae	4.027763648658259	4.4665
Geomys	4.9	2.5	38.555605	-121.468926	Geomyidae	2.7304646179093863	3.09
Geomys	1.8	0.3	33.700001	-101.900002	Geomyidae	1.4006409474585175	1.287
Geomys	0.126	0.0117	30.265278	-98.255836	Geomyidae	0.1124396350664998	0.07035
Geomys	1.8	0.3	37.044701	-100.495201	Geomyidae	0.5050214796542275	0.4515
Geomys	1.8	0.3	36.0	-93.199997	Geomyidae	1.6227248984676164	1.287
Geomys	1.8	0.3	38.299999	-97.599998	Geomyidae	1.3428394276048292	1.287
Geomys	1.8	0.3	37.200001	-100.300003	Geomyidae	1.0474171886315866	1.287
Geomys	0.126	0.0117	38.900002	-90.166664	Geomyidae	0.05325348189305208	0.07035
Geomys	1.8	0.3	36.700001	-99.900002	Geomyidae	1.5280136705984828	1.287
Geomys	1.8	0.3	38.900002	-99.400002	Geomyidae	1.4521639696937392	1.287
Geomys	1.8	0.3	34.0	-99.800003	Geomyidae	1.0595399565417447	1.287
Geomys	2.588	0.0117	42.416668	-90.433334	Geomyidae	0.8622748181712337	1.287
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	0.6297652908948645	0.4515
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	0.5033453686486417	0.4515
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	0.31416638333688524	0.4515
Geomys	1.8	0.3	38.700001	-98.099998	Geomyidae	1.7651412428590263	1.287
Geomys	1.8	0.3	38.299999	-97.599998	Geomyidae	1.7265273513974646	1.287
Geomys	1.8	0.3	34.0	-99.800003	Geomyidae	1.767867434730989	1.287
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	1.0210478520338655	1.287
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	1.2319749637725423	1.287
Geomys	0.126	0.0117	37.299999	-105.0	Geomyidae	0.10198038602871404	0.07035
Geomys	0.126	0.0117	39.0	-86.5	Geomyidae	0.10952561320828552	0.07035
Geomys	0.126	0.0117	32.799999	-96.599998	Geomyidae	0.02283166313853232	0.07035
Geomys	1.8	0.3	38.299999	-97.599998	Geomyidae	0.9414311480019864	1.287
Geomys	1.8	0.3	34.0	-99.800003	Geomyidae	1.176092583051302	1.287
Geomys	1.8	0.3	40.200001	-98.099998	Geomyidae	0.8754480314856512	1.287
