species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Gomphotherium	2.588	0.0117	30.566668	-96.416664	Gomphotheriidae	0.5517606363951512	0.4515
Gomphotherium	13.6	10.3	41.0	-115.5	Gomphotheriidae	11.326516018686275	9.438
Gomphotherium	15.97	13.6	30.5	-95.0	Gomphotheriidae	15.792325289277256	14.895
Gomphotherium	13.6	10.3	43.200001	-99.800003	Gomphotheriidae	13.048626161453251	12.725000000000001
Gomphotherium	15.97	13.6	36.5	-107.0	Gomphotheriidae	15.700573743709207	14.895
Gomphotherium	15.97	13.6	27.9	-81.800003	Gomphotheriidae	14.197155770600068	14.895
Gomphotherium	13.82	11.62	38.400002	-76.5	Gomphotheriidae	11.644362373904887	12.725000000000001
Gomphotherium	13.6	10.3	35.0	-100.800003	Gomphotheriidae	12.129727705241852	12.725000000000001
Gomphotherium	15.97	13.82	38.504166	-76.505836	Gomphotheriidae	14.324370018535467	14.895
Gomphotherium	15.97	13.6	30.745556	-95.212502	Gomphotheriidae	14.506323861700261	14.895
Gomphotherium	13.6	10.3	37.814999	-121.910004	Gomphotheriidae	10.98950474819668	9.438
Gomphotherium	15.97	13.6	38.400002	-76.5	Gomphotheriidae	14.183921465084364	14.895
Gomphotherium	13.6	10.3	34.799999	-117.0	Gomphotheriidae	12.764215061448915	12.725000000000001
Gomphotherium	14.8	12.5	35.24115	-106.88662	Gomphotheriidae	13.712510970865596	12.725000000000001
Gomphotherium	14.8	12.5	30.725	-95.1453	Gomphotheriidae	14.78699684284584	14.895
Gomphotherium	14.1	12.5	35.892778	-106.1186	Gomphotheriidae	13.920868251420815	14.895
Gomphotherium	14.8	12.5	35.24407	-106.88735	Gomphotheriidae	13.348265103007359	12.725000000000001
Gomphotherium	14.2	14.0	40.815278	-104.0658	Gomphotheriidae	14.071281454087048	14.895
Gomphotherium	14.1	12.5	35.764167	-105.9333	Gomphotheriidae	12.577851581226234	12.725000000000001
Gomphotherium	14.1	12.5	35.992222	-106.0472	Gomphotheriidae	12.91931047355237	12.725000000000001
Gomphotherium	14.8	12.5	35.82472199999999	-105.978611	Gomphotheriidae	12.768914111266374	12.725000000000001
Gomphotherium	14.4	14.0	40.823333	-103.9714	Gomphotheriidae	14.088712251927323	14.895
Gomphotherium	14.1	12.5	36.1449	-106.0666	Gomphotheriidae	12.726037854101765	12.725000000000001
Gomphotherium	15.97	13.6	35.5	-106.199997	Gomphotheriidae	15.969094245879806	14.895
Gomphotherium	14.8	12.5	35.24407	-106.88735	Gomphotheriidae	12.90366463248644	12.725000000000001
Gomphotherium	14.1	12.5	35.723889	-105.9403	Gomphotheriidae	13.101642639352784	12.725000000000001
Gomphotherium	12.5	9.0	40.446389	-114.4444	Gomphotheriidae	10.992945143133774	9.438
Gomphotherium	13.6	10.3	42.799999	-100.800003	Gomphotheriidae	12.95385515163473	12.725000000000001
Gomphotherium	14.1	12.5	36.1718	-106.0891	Gomphotheriidae	12.71945700681972	12.725000000000001
Gomphotherium	14.8	12.5	39.739167	-104.984722	Gomphotheriidae	13.861783050536935	14.895
