species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Hypolagus	2.5	1.9	33.448457	-112.073844	Leporidae	2.1899300057534967	2.19
Hypolagus	4.9	0.3	32.578499	-109.4842	Leporidae	1.843813466968398	2.19
Hypolagus	4.9	1.8	33.0	-109.599998	Leporidae	2.5635429341099307	2.19
Hypolagus	7.5	7.1	43.751111	-118.1036	Leporidae	7.163664538029966	6.2895
Hypolagus	4.9	1.8	36.0	-116.25	Leporidae	2.4063091067668987	2.19
Hypolagus	4.9	1.8	32.900002	-117.099998	Leporidae	2.880595030141805	3.09
Hypolagus	5.9	4.9	33.891110999999995	-117.047222	Leporidae	5.471985195189428	6.2895
Hypolagus	4.9	1.8	33.900002	-117.0	Leporidae	3.739658699521182	4.4665
Hypolagus	4.9	1.8	33.900002	-117.0	Leporidae	4.229288483381825	4.4665
Hypolagus	4.9	1.8	32.900002	-117.099998	Leporidae	2.6799882811472298	3.09
Hypolagus	4.9	1.8	33.900002	-117.0	Leporidae	2.2410217699345347	2.19
Hypolagus	4.9	1.8	37.799999	-114.300003	Leporidae	3.5882753057245287	3.09
Hypolagus	4.9	1.8	35.900002	-120.0	Leporidae	2.1403452729078927	2.19
Hypolagus	4.9	1.8	34.0	-118.199997	Leporidae	2.8444638153573214	3.09
Hypolagus	4.8	4.62	37.790556	-114.3886	Leporidae	4.6987221694987085	4.4665
Hypolagus	4.9	1.8	35.299999	-118.5	Leporidae	2.0633909475819032	2.19
Hypolagus	4.9	1.8	32.616669	-117.0	Leporidae	2.45013243697698	2.19
Hypolagus	4.9	1.8	42.799999	-114.900002	Leporidae	4.858641868408765	4.4665
Hypolagus	4.9	1.8	35.400002	-102.5	Leporidae	2.156740564697132	2.19
Hypolagus	4.9	1.8	43.0	-115.699997	Leporidae	2.4165978945295024	2.19
Hypolagus	4.9	1.8	33.599998	-117.800003	Leporidae	2.540270912638146	2.19
Hypolagus	9.0	6.7	35.463056	-118.9133	Leporidae	8.647306810041352	9.438
Hypolagus	4.9	1.8	42.799999	-114.900002	Leporidae	3.435230374949522	3.09
Hypolagus	4.9	2.5	38.555605	-121.468926	Leporidae	2.687107243243711	3.09
Hypolagus	4.9	2.5	37.64	-114.88	Leporidae	4.314708870773344	4.4665
Hypolagus	4.9	2.5	47.0425	-122.893056	Leporidae	4.341149681217567	4.4665
Hypolagus	4.8	4.62	37.794444	-114.3333	Leporidae	4.715465331068495	4.4665
Hypolagus	4.9	1.8	47.0	-118.5	Leporidae	4.02162364065754	4.4665
Hypolagus	4.9	1.8	32.616669	-117.0	Leporidae	1.956872010843916	2.19
Hypolagus	4.9	2.5	38.555605	-121.468926	Leporidae	4.869668030826213	4.4665
Hypolagus	6.7	5.3	38.01	-122.3025	Leporidae	6.2832360488577255	6.2895
Hypolagus	5.7	5.4	33.893333	-117.0464	Leporidae	5.6666927371469225	6.2895
