species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Lepus	0.126	0.0117	32.349998	-104.783333	Leporidae	0.11739972333909475	0.07035
Lepus	1.8	0.3	36.0	-93.199997	Leporidae	1.7824031952251822	1.287
Lepus	0.126	0.0117	38.476665	-78.892776	Leporidae	0.06187320703650824	0.07035
Lepus	1.8	0.3	43.799999	-103.099998	Leporidae	1.4422769964505355	1.287
Lepus	2.588	0.0117	36.266666	-83.13333100000001	Leporidae	1.8885934145396923	2.19
Lepus	1.8	0.3	68.199997	-140.0	Leporidae	0.6217481017253605	0.4515
Lepus	1.8	0.3	36.0	-93.199997	Leporidae	1.330310770398582	1.287
Lepus	0.126	0.0117	56.280834	-121.227501	Leporidae	0.04371281883279813	0.07035
Lepus	0.126	0.0117	38.602779	-79.368889	Leporidae	0.06810932458046022	0.07035
Lepus	1.8	0.3	39.599998	-78.699997	Leporidae	0.7290254310306762	0.4515
Lepus	1.8	0.3	68.199997	-140.0	Leporidae	1.7522492257957891	1.287
Lepus	1.8	0.3	39.599998	-78.699997	Leporidae	1.629957131614331	1.287
Lepus	0.0117	0.0	46.666668	-113.099998	Leporidae	0.009134154133164995	0.00995
Lepus	0.126	0.0117	50.183334	-114.51667	Leporidae	0.10829986067140863	0.07035
Lepus	0.126	0.0117	52.200001	-106.699997	Leporidae	0.0258280900298844	0.07035
Lepus	0.126	0.0117	40.784	-122.281998	Leporidae	0.09713795246778227	0.07035
Lepus	0.126	0.0117	38.086109	-79.656944	Leporidae	0.10117590801196903	0.07035
Lepus	0.126	0.0117	38.872501	-78.512222	Leporidae	0.0572484485184757	0.07035
Lepus	0.126	0.0117	68.199997	-140.0	Leporidae	0.10713777291102633	0.07035
Lepus	0.126	0.0	39.483334	-114.033333	Leporidae	0.04436531684443392	0.07035
Lepus	0.126	0.0117	38.357777	-79.083054	Leporidae	0.10184534093949543	0.07035
Lepus	0.126	0.0	37.952778	-79.76722	Leporidae	0.0870342646240452	0.07035
Lepus	0.126	0.0117	38.266666	-90.366669	Leporidae	0.11518217875132215	0.07035
Lepus	1.8	0.3	68.199997	-140.0	Leporidae	1.13264226512763	1.287
Lepus	0.126	0.0117	68.199997	-140.0	Leporidae	0.1043574570410297	0.07035
Lepus	0.126	0.0117	68.199997	-140.0	Leporidae	0.056656889513972235	0.07035
Lepus	4.9	0.3	35.700001	-112.400002	Leporidae	4.4245613469108935	4.4665
Lepus	1.8	0.3	34.0	-99.800003	Leporidae	1.7233578477144431	1.287
Lepus	0.126	0.0117	29.566668	-95.050003	Leporidae	0.10311819931199642	0.07035
Lepus	0.126	0.0117	32.366669	-104.449997	Leporidae	0.023005985661304816	0.07035
Lepus	4.9	1.8	42.378334	-98.234444	Leporidae	4.179749151292163	4.4665
Lepus	0.126	0.0117	31.183332	-104.199997	Leporidae	0.02053594348553156	0.07035
Lepus	1.8	0.3	32.900002	-117.099998	Leporidae	0.3410959124746281	0.4515
Lepus	0.126	0.0	39.483334	-114.033333	Leporidae	0.08468339024459852	0.07035
Lepus	0.126	0.0117	34.0	-118.199997	Leporidae	0.012837773039439684	0.07035
Lepus	1.8	0.3	36.5	-107.0	Leporidae	1.5528281986410328	1.287
Lepus	0.126	0.0117	29.583332	-98.400002	Leporidae	0.10796489162211192	0.07035
Lepus	4.9	1.8	37.200001	-100.300003	Leporidae	2.687169946661528	3.09
Lepus	1.8	0.3	36.5	-107.0	Leporidae	0.6841273641379011	0.4515
Lepus	0.126	0.0117	40.784	-122.281998	Leporidae	0.08469576533203864	0.07035
Lepus	2.588	0.0	31.883333	-104.883331	Leporidae	1.0948173006735953	1.287
Lepus	0.0117	0.0	31.183332	-104.199997	Leporidae	0.006062105880313582	0.006200000000000001
Lepus	1.8	0.3	32.900002	-117.099998	Leporidae	1.6059348837413372	1.287
Lepus	26.3	24.8	43.299999	-102.5	Leporidae	25.12755574684485	25.425
Lepus	1.8	0.3	39.299999	-105.699997	Leporidae	1.1763381445832606	1.287
Lepus	1.8	0.3	39.299999	-105.699997	Leporidae	1.3578159783804151	1.287
Lepus	0.126	0.0117	32.349998	-104.783333	Leporidae	0.06094166622387968	0.07035
Lepus	0.0117	0.0	46.666668	-113.099998	Leporidae	0.006043737940204535	0.006200000000000001
Lepus	0.126	0.0117	40.900002	-111.199997	Leporidae	0.07024956990623886	0.07035
Lepus	0.126	0.0	39.483334	-114.033333	Leporidae	0.03924554661934243	0.07035
Lepus	1.8	0.3	39.299999	-105.699997	Leporidae	0.8755688863655681	1.287
Lepus	1.8	0.3	27.700001	-82.5	Leporidae	0.3397597401862931	0.4515
Lepus	0.126	0.0117	50.099998	-110.699997	Leporidae	0.11266893315735067	0.07035
Lepus	1.8	0.3	39.299999	-105.699997	Leporidae	1.4772524039941275	1.287
