species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Lontra	0.0117	0.0	38.628056	-78.41471899999998	Mustelidae	0.009682693758743977	0.00995
Lontra	0.126	0.0117	31.98333400000001	-81.066666	Mustelidae	0.055758656509275986	0.07035
Lontra	4.9	0.3	29.799999	-82.099998	Mustelidae	3.7985944394440696	4.4665
Lontra	0.126	0.0117	27.638332	-80.397499	Mustelidae	0.059926527738752434	0.07035
Lontra	0.126	0.0117	29.950001	-82.788002	Mustelidae	0.025214501343696943	0.07035
Lontra	0.126	0.0117	37.097298	-81.33609799999998	Mustelidae	0.0926863919539425	0.07035
Lontra	0.126	0.0117	28.083332	-80.599998	Mustelidae	0.09130431418194493	0.07035
Lontra	2.588	0.0117	34.200001	-84.800003	Mustelidae	1.0987113812973823	1.287
Lontra	1.8	0.3	36.5	-107.0	Mustelidae	1.1748530982470895	1.287
Lontra	0.126	0.0117	25.700001	-80.400002	Mustelidae	0.06043606717861288	0.07035
Lontra	1.8	0.3	40.200001	-75.300003	Mustelidae	0.5159947581689348	0.4515
Lontra	1.8	0.3	39.299999	-105.699997	Mustelidae	0.3829677593279488	0.4515
Lontra	2.588	0.0117	36.150002	-84.099998	Mustelidae	0.7793537148521983	1.287
Lontra	0.126	0.0117	38.476665	-78.892776	Mustelidae	0.050405993788044834	0.07035
Lontra	0.126	0.0117	27.799999	-82.699997	Mustelidae	0.12107318214886625	0.07035
Lontra	1.8	0.3	29.011944	-82.668053	Mustelidae	1.5408451350086934	1.287
Lontra	4.9	1.8	32.900002	-117.099998	Mustelidae	2.6515808327389965	3.09
Lontra	0.0117	0.0	43.806885	-70.033089	Mustelidae	0.011185917360691666	0.00995
Lontra	1.8	0.3	38.700001	-98.099998	Mustelidae	0.8329765556292494	1.287
Lontra	1.8	0.3	27.700001	-82.5	Mustelidae	0.31606280340797005	0.4515
Lontra	1.8	0.3	39.599998	-78.699997	Mustelidae	0.8001237489961504	1.287
Lontra	1.8	0.3	28.799999	-82.199997	Mustelidae	1.2947168020641395	1.287
Lontra	1.8	0.3	42.0	-96.0	Mustelidae	1.3657363870985646	1.287
Lontra	0.0117	0.0	30.818056	-82.39166999999998	Mustelidae	0.00017877483372777514	0.0021
Lontra	0.126	0.0117	42.799999	-112.900002	Mustelidae	0.022802100504598216	0.07035
Lontra	2.588	0.0117	35.533333	-84.433334	Mustelidae	1.783457876026769	1.287
Lontra	1.8	0.3	39.799999	-98.099998	Mustelidae	0.849665520351925	1.287
