species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Lynx	0.126	0.0117	40.900002	-111.199997	Felidae	0.08049437581101869	0.07035
Lynx	0.126	0.0117	42.799999	-112.900002	Felidae	0.01954633439001499	0.07035
Lynx	0.126	0.0117	50.099998	-110.699997	Felidae	0.04462072487966125	0.07035
Lynx	1.8	0.3	47.0	-118.5	Felidae	1.1098649513409466	1.287
Lynx	2.5	1.9	40.809868	-96.675345	Felidae	1.9470336508321928	2.19
Lynx	6.7	5.9	45.596389	-118.7847	Felidae	6.33811016538408	6.2895
Lynx	0.126	0.0117	34.883331	-106.883331	Felidae	0.06511252298610408	0.07035
Lynx	0.126	0.0117	44.983334	-108.199997	Felidae	0.0751079351933492	0.07035
Lynx	6.8	5.9	35.993333	-100.588333	Felidae	6.397717785671885	6.2895
Lynx	5.9	4.9	34.613611	-113.535833	Felidae	5.249040770819933	4.4665
Lynx	7.6	6.8	35.733056	-100.523611	Felidae	7.235593159309434	6.2895
Lynx	6.7	6.6	35.733056	-100.5236	Felidae	6.6047742673901375	6.2895
Lynx	6.7	5.9	36.747222	-101.3753	Felidae	6.447940184880062	6.2895
Lynx	2.5	1.9	30.75	-105.0	Felidae	1.9045933121504897	2.19
Lynx	4.9	2.5	32.715	-117.1625	Felidae	3.9527425447034448	4.4665
Lynx	5.9	4.9	34.952778	-101.494722	Felidae	5.387352059502383	6.2895
Lynx	4.9	2.5	39.055833	-95.689444	Felidae	3.055720628001507	3.09
Lynx	5.9	4.9	28.18222	-81.82417	Felidae	5.4048263572663675	6.2895
Lynx	5.9	4.9	42.81583300000001	-97.725278	Felidae	5.898123844463306	6.2895
Lynx	4.9	0.3	32.0	-106.699997	Felidae	2.7935550980162107	3.09
Lynx	4.9	1.8	34.883331	-101.633331	Felidae	1.8097177560282744	2.19
Lynx	0.126	0.0117	33.895278999999995	-117.987503	Felidae	0.019579797616726312	0.07035
Lynx	1.9	0.85	28.133333	-81.63166700000002	Felidae	1.6574516205672791	1.287
Lynx	1.8	0.3	29.683332	-82.566666	Felidae	1.3862880154032555	1.287
Lynx	1.8	0.3	37.056667	-120.195831	Felidae	0.9600195507767656	1.287
Lynx	1.8	0.3	27.700001	-82.5	Felidae	1.6400784987551151	1.287
Lynx	4.9	1.8	32.900002	-117.099998	Felidae	2.660195007692568	3.09
Lynx	1.8	0.3	39.299999	-105.699997	Felidae	1.097248214160386	1.287
Lynx	1.8	0.3	34.700001	-87.900002	Felidae	0.4136231868387252	0.4515
Lynx	4.9	1.8	32.900002	-117.099998	Felidae	2.4164963821753846	2.19
Lynx	2.5	0.85	32.16667	-106.8333	Felidae	0.9188801329875492	1.287
Lynx	1.8	0.3	39.299999	-105.699997	Felidae	0.37344177196694894	0.4515
Lynx	1.9	0.85	35.66722199999999	-105.964444	Felidae	1.1828732415494765	1.287
Lynx	1.8	0.3	32.900002	-117.099998	Felidae	0.8091572697016969	1.287
Lynx	4.9	1.8	32.900002	-117.099998	Felidae	3.9367681404222825	4.4665
Lynx	4.9	1.8	32.900002	-117.099998	Felidae	4.510642121263621	4.4665
Lynx	1.8	0.3	39.299999	-105.699997	Felidae	0.9703565487683008	1.287
Lynx	1.8	0.3	36.0	-93.199997	Felidae	0.365535081792645	0.4515
Lynx	1.8	0.3	28.799168	-82.070274	Felidae	0.5958301802039263	0.4515
Lynx	1.9	0.85	28.133333	-81.63166700000002	Felidae	1.51271811334856	1.287
Lynx	0.126	0.0	27.0	-104.800003	Felidae	0.11294560457896882	0.07035
Lynx	4.9	1.8	47.0	-118.5	Felidae	4.726930282005814	4.4665
Lynx	1.8	0.3	29.799999	-82.099998	Felidae	0.9195869479419564	1.287
Lynx	0.126	0.0117	27.638332	-80.397499	Felidae	0.1101809843726973	0.07035
Lynx	0.126	0.0117	42.799999	-112.900002	Felidae	0.012863274952625956	0.07035
Lynx	1.8	0.3	32.0	-106.699997	Felidae	1.269992698393121	1.287
Lynx	1.8	0.3	39.299999	-105.699997	Felidae	0.6467984684394696	0.4515
