species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Mammuthus	2.588	0.0117	50.946388	-119.258614	Elephantidae	0.36459613665538815	0.4515
Mammuthus	0.126	0.0117	29.2075	-81.003334	Elephantidae	0.03468066828613862	0.07035
Mammuthus	2.588	0.0117	44.943611	-93.093613	Elephantidae	2.2885312397731328	2.19
Mammuthus	2.588	0.0117	43.586388	-93.926666	Elephantidae	0.6606915713436579	0.4515
Mammuthus	2.588	0.0117	44.726944	-92.853333	Elephantidae	0.4060107996275053	0.4515
Mammuthus	2.588	0.0117	44.960278	-93.321114	Elephantidae	1.3610000464396683	1.287
Mammuthus	2.588	0.0117	48.116943	-122.760559	Elephantidae	2.1714348296566377	2.19
Mammuthus	0.126	0.0117	30.333332	-110.16666399999998	Elephantidae	0.11625965291257635	0.07035
Mammuthus	2.588	0.0117	46.357224	-94.194443	Elephantidae	1.7135073968921175	1.287
Mammuthus	0.126	0.0117	36.983334	-100.333336	Elephantidae	0.08756062625545173	0.07035
Mammuthus	2.588	0.0117	30.566668	-96.416664	Elephantidae	2.23860350043408	2.19
Mammuthus	2.588	0.0117	48.456669	-123.326111	Elephantidae	1.1920543871369162	1.287
Mammuthus	2.588	0.0117	50.846111	-119.629723	Elephantidae	0.9505729055277888	1.287
Mammuthus	0.126	0.0117	43.763889	-84.53666700000002	Elephantidae	0.10259537128811833	0.07035
Mammuthus	0.126	0.0117	36.9575	-81.769165	Elephantidae	0.040083024209638086	0.07035
Mammuthus	2.588	0.0117	48.47277800000001	-123.291115	Elephantidae	1.3096776345555392	1.287
Mammuthus	2.588	0.0117	43.648609	-93.362503	Elephantidae	1.4958554311789083	1.287
Mammuthus	2.588	0.0117	44.31889	-95.948059	Elephantidae	0.49268987607112197	0.4515
Mammuthus	0.126	0.0117	39.583332	-111.25	Elephantidae	0.12274616618055527	0.07035
Mammuthus	0.126	0.0117	37.683334	-113.633331	Elephantidae	0.021275782249835454	0.07035
Mammuthus	2.588	0.0117	44.640278	-93.143608	Elephantidae	0.30204415840880217	0.4515
Mammuthus	2.588	0.0117	48.458611	-123.294724	Elephantidae	2.135083765439908	2.19
Mammuthus	0.126	0.0117	37.483334	-100.666664	Elephantidae	0.031490432864717866	0.07035
Mammuthus	0.126	0.0117	53.0	-122.5	Elephantidae	0.07479890922156521	0.07035
Mammuthus	0.126	0.0117	36.799999	-100.683334	Elephantidae	0.02083600595407243	0.07035
Mammuthus	2.588	0.0117	48.601665	-123.347221	Elephantidae	2.337786812714167	2.19
Mammuthus	2.588	0.0117	48.601665	-123.347221	Elephantidae	1.8003688883094946	2.19
Mammuthus	0.126	0.0117	44.302776	-85.326385	Elephantidae	0.11468728495779115	0.07035
