species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Mustela	0.126	0.0117	37.020557	-82.02417	Mustelidae	0.08760436228640475	0.07035
Mustela	0.0117	0.0	43.806885	-70.033089	Mustelidae	0.0031253237186315962	0.0021
Mustela	0.126	0.0117	38.357777	-79.083054	Mustelidae	0.08061012646838371	0.07035
Mustela	0.126	0.0117	42.783333	-105.683334	Mustelidae	0.0797578360248952	0.07035
Mustela	1.8	0.3	39.0	-114.099998	Mustelidae	1.7467547495077442	1.287
Mustela	0.126	0.0117	40.974998	-83.449997	Mustelidae	0.09842104480774704	0.07035
Mustela	0.126	0.0117	40.784	-122.281998	Mustelidae	0.01799618809215755	0.07035
Mustela	0.126	0.0117	44.983334	-108.199997	Mustelidae	0.11666827605791312	0.07035
Mustela	0.126	0.0117	38.833332	-79.283333	Mustelidae	0.11668050462655352	0.07035
Mustela	0.126	0.0117	40.916668	-122.23333	Mustelidae	0.07610093798558515	0.07035
Mustela	0.126	0.0	38.950001	-114.01667	Mustelidae	0.11627765585407035	0.07035
Mustela	0.126	0.0117	38.086109	-79.656944	Mustelidae	0.022158810273411742	0.07035
Mustela	0.126	0.0	38.950001	-114.01667	Mustelidae	0.09274380361077306	0.07035
Mustela	2.588	0.0117	37.543331	-80.398888	Mustelidae	0.4907201583934345	0.4515
Mustela	0.126	0.0	36.654446	-82.49166899999999	Mustelidae	0.08804285549132061	0.07035
Mustela	0.126	0.0117	42.783333	-105.683334	Mustelidae	0.05888004418803763	0.07035
Mustela	0.126	0.0117	50.183334	-114.51667	Mustelidae	0.016133651526763444	0.07035
Mustela	0.126	0.0117	38.602779	-79.368889	Mustelidae	0.05996400993566992	0.07035
Mustela	1.8	0.3	39.299999	-105.699997	Mustelidae	0.726516055534365	0.4515
Mustela	1.8	0.3	36.5	-107.0	Mustelidae	0.7475794527519685	0.4515
Mustela	1.8	0.3	39.299999	-105.699997	Mustelidae	0.6801101660599143	0.4515
Mustela	1.8	0.3	37.200001	-100.300003	Mustelidae	0.3229413270016108	0.4515
Mustela	1.8	0.3	36.0	-93.199997	Mustelidae	1.5130891122084502	1.287
Mustela	0.3	0.012	43.049999	-82.61666899999999	Mustelidae	0.16615993002492505	0.4515
Mustela	0.126	0.0117	38.086109	-79.656944	Mustelidae	0.047957658211709706	0.07035
Mustela	0.126	0.0117	50.183334	-114.51667	Mustelidae	0.08075756008717122	0.07035
Mustela	0.126	0.0117	40.900002	-111.199997	Mustelidae	0.06926788099347747	0.07035
Mustela	0.126	0.0	38.950001	-114.01667	Mustelidae	0.0933219717476526	0.07035
Mustela	0.126	0.0117	40.974998	-83.449997	Mustelidae	0.11936535744198208	0.07035
Mustela	0.126	0.0117	37.097298	-81.33609799999998	Mustelidae	0.020217088675471742	0.07035
Mustela	0.126	0.0117	38.483334	-107.150002	Mustelidae	0.053991843480376674	0.07035
Mustela	0.126	0.0117	40.784	-122.281998	Mustelidae	0.09462919743371208	0.07035
Mustela	0.126	0.0	39.483334	-114.033333	Mustelidae	0.054665002283806816	0.07035
Mustela	0.126	0.0117	32.366669	-104.449997	Mustelidae	0.0892115724120359	0.07035
Mustela	1.8	0.3	39.299999	-105.699997	Mustelidae	1.0042335954799348	1.287
Mustela	1.8	0.3	31.700001	-110.800003	Mustelidae	1.4202517677985098	1.287
Mustela	2.5	1.9	39.055833	-95.689444	Mustelidae	2.2783980933021013	2.19
Mustela	0.126	0.0117	50.183334	-114.51667	Mustelidae	0.10994093312264293	0.07035
Mustela	0.126	0.0117	29.6	-82.416664	Mustelidae	0.05079230507642592	0.07035
Mustela	0.126	0.0117	29.407499	-82.476387	Mustelidae	0.06116300519184695	0.07035
Mustela	0.0117	0.0	38.628056	-78.41471899999998	Mustelidae	0.004829161802227956	0.006200000000000001
Mustela	1.8	0.3	37.044701	-100.477097	Mustelidae	1.220117495000974	1.287
Mustela	0.126	0.0	38.950001	-114.01667	Mustelidae	0.0007593761586928205	0.0021
Mustela	4.9	1.8	37.200001	-100.300003	Mustelidae	3.243135215675381	3.09
Mustela	1.8	0.3	27.700001	-82.5	Mustelidae	1.5507462343947365	1.287
Mustela	0.126	0.0117	29.799999	-82.099998	Mustelidae	0.07288834420405774	0.07035
Mustela	0.126	0.0117	38.086109	-79.656944	Mustelidae	0.08077760606488994	0.07035
Mustela	0.126	0.0117	38.357777	-79.083054	Mustelidae	0.10658735946923306	0.07035
Mustela	1.8	0.3	40.200001	-98.099998	Mustelidae	0.7770939373840137	1.287
Mustela	0.126	0.0	37.616669	-91.833336	Mustelidae	0.034248865851665075	0.07035
Mustela	0.126	0.0117	40.916668	-122.23333	Mustelidae	0.053631309913289696	0.07035
Mustela	1.8	0.3	32.900002	-117.099998	Mustelidae	1.0426924442615724	1.287
Mustela	0.126	0.0117	46.200001	-112.76667	Mustelidae	0.0547251620492045	0.07035
Mustela	1.8	0.3	36.0	-93.199997	Mustelidae	1.5677681789144058	1.287
Mustela	1.8	0.3	39.299999	-105.699997	Mustelidae	1.7159433596181222	1.287
Mustela	1.8	0.3	32.900002	-117.099998	Mustelidae	0.6290067359987447	0.4515
Mustela	2.588	0.0117	34.200001	-84.800003	Mustelidae	0.4095948371972815	0.4515
Mustela	1.8	0.3	38.700001	-79.300003	Mustelidae	0.9848372574286696	1.287
Mustela	2.588	0.7809999999999999	62.766666	-137.383331	Mustelidae	2.282025023730144	2.19
Mustela	4.9	1.8	37.133331	-100.48333	Mustelidae	4.406691505819807	4.4665
Mustela	4.9	2.5	39.055833	-95.689444	Mustelidae	3.3759279208728445	3.09
Mustela	0.126	0.0	38.950001	-114.01667	Mustelidae	0.07002143347940849	0.07035
Mustela	0.126	0.0117	34.883331	-106.883331	Mustelidae	0.10149086494304246	0.07035
