species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Neotoma	1.8	0.3	31.700001	-110.800003	Cricetidae	0.7824808035336654	1.287
Neotoma	0.126	0.0117	31.183332	-104.199997	Cricetidae	0.08062974596124267	0.07035
Neotoma	1.8	0.3	31.700001	-110.800003	Cricetidae	1.767222979573486	1.287
Neotoma	0.126	0.0117	34.883331	-106.883331	Cricetidae	0.01341217100316289	0.07035
Neotoma	1.8	0.3	33.700001	-101.900002	Cricetidae	1.6165649676153115	1.287
Neotoma	2.588	0.0	31.883333	-104.883331	Cricetidae	1.9795081031609956	2.19
Neotoma	0.126	0.0	32.549999	-110.650002	Cricetidae	0.10225590663808484	0.07035
Neotoma	0.126	0.0	27.0	-104.800003	Cricetidae	0.0005147486456971331	0.0021
Neotoma	0.126	0.0117	32.366669	-104.449997	Cricetidae	0.07336887894952901	0.07035
Neotoma	0.126	0.0117	31.566668	-108.400002	Cricetidae	0.07693300918357403	0.07035
Neotoma	0.0117	0.0	31.183332	-104.199997	Cricetidae	0.0034543887268475982	0.0021
Neotoma	1.8	0.3	45.433334	-99.866669	Cricetidae	1.6020662058119677	1.287
Neotoma	0.126	0.0117	34.883331	-106.883331	Cricetidae	0.021309830974528158	0.07035
Neotoma	0.0117	0.0	46.666668	-113.099998	Cricetidae	0.0028932940032500077	0.0021
Neotoma	0.126	0.0117	31.566668	-108.400002	Cricetidae	0.06763469085200165	0.07035
Neotoma	0.126	0.0117	32.349998	-104.783333	Cricetidae	0.022117465604266383	0.07035
Neotoma	1.8	0.3	39.299999	-105.699997	Cricetidae	0.3165494376279326	0.4515
Neotoma	1.8	0.3	36.5	-107.0	Cricetidae	0.3642271586499053	0.4515
Neotoma	0.126	0.0117	38.483334	-107.150002	Cricetidae	0.023780219965967644	0.07035
Neotoma	0.126	0.0	39.483334	-114.033333	Cricetidae	0.11733240833840244	0.07035
Neotoma	0.126	0.0117	38.483334	-107.150002	Cricetidae	0.060787305843527366	0.07035
