species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Notiosorex	0.126	0.0	27.0	-104.800003	Soricidae	0.0010123663712607463	0.0021
Notiosorex	0.0117	0.0	31.183332	-104.199997	Soricidae	0.004600776277184871	0.006200000000000001
Notiosorex	1.8	0.3	37.200001	-100.300003	Soricidae	0.6006137051011704	0.4515
Notiosorex	0.0117	0.0	35.233334	-114.366669	Soricidae	0.011032204441724468	0.00995
Notiosorex	0.126	0.0117	34.0	-118.199997	Soricidae	0.03261648662724013	0.07035
Notiosorex	1.8	0.3	31.700001	-110.800003	Soricidae	0.8624227566076963	1.287
Notiosorex	0.126	0.0117	31.183332	-104.199997	Soricidae	0.07967251041008551	0.07035
Notiosorex	1.8	0.3	33.799999	-99.699997	Soricidae	0.5753889696447366	0.4515
Notiosorex	1.8	0.3	31.700001	-110.800003	Soricidae	1.6193082627781747	1.287
Notiosorex	0.126	0.0	32.549999	-110.650002	Soricidae	0.07187972203988209	0.07035
Notiosorex	1.8	0.3	32.900002	-117.099998	Soricidae	0.5270780721188582	0.4515
Notiosorex	2.5	0.85	38.555605	-121.468926	Soricidae	1.1344601564847685	1.287
Notiosorex	4.9	2.5	39.055833	-95.689444	Soricidae	3.904089918443228	4.4665
Notiosorex	4.9	2.5	39.055833	-95.689444	Soricidae	2.5929772790733647	3.09
Notiosorex	4.9	1.8	37.200001	-100.300003	Soricidae	3.0943150641704458	3.09
Notiosorex	4.9	1.8	32.716667	-100.916664	Soricidae	3.1210628556065307	3.09
Notiosorex	4.9	2.5	32.518611	-96.380833	Soricidae	4.445436708358506	4.4665
Notiosorex	4.9	2.5	38.555605	-121.468926	Soricidae	2.8418569376081413	3.09
Notiosorex	4.9	1.8	37.200001	-100.300003	Soricidae	3.666177906253037	4.4665
Notiosorex	4.9	1.8	28.9	-108.0	Soricidae	2.080457907766278	2.19
