species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Ochotona	1.8	0.3	39.599998	-78.699997	Ochotonidae	0.5283133853377542	0.4515
Ochotona	0.126	0.0117	68.199997	-140.0	Ochotonidae	0.04036423436494357	0.07035
Ochotona	1.8	0.3	68.199997	-140.0	Ochotonidae	0.9636959173348872	1.287
Ochotona	1.8	0.3	39.299999	-105.699997	Ochotonidae	1.3707546870804672	1.287
Ochotona	0.126	0.0117	38.483334	-107.150002	Ochotonidae	0.05486676639791902	0.07035
Ochotona	0.126	0.0117	38.483334	-107.150002	Ochotonidae	0.038598221208443056	0.07035
Ochotona	1.8	0.3	39.299999	-105.699997	Ochotonidae	1.0153537293193429	1.287
Ochotona	0.126	0.0117	50.183334	-114.51667	Ochotonidae	0.04020836238895648	0.07035
Ochotona	0.126	0.0117	42.783333	-105.683334	Ochotonidae	0.015182887998160756	0.07035
Ochotona	0.0117	0.0	46.666668	-113.099998	Ochotonidae	0.011229512590206487	0.00995
Ochotona	0.126	0.0	39.483334	-114.033333	Ochotonidae	0.0019971624121866167	0.0021
Ochotona	5.9	4.9	42.81583300000001	-97.725278	Ochotonidae	5.1193010351442965	4.4665
Ochotona	6.8	5.9	42.393056	-98.126111	Ochotonidae	6.442812036247433	6.2895
Ochotona	6.8	5.9	45.596389	-118.784722	Ochotonidae	6.045246246346784	6.2895
Ochotona	6.7	5.9	45.596389	-118.7847	Ochotonidae	6.261986196122256	6.2895
Ochotona	6.7	5.9	42.393056	-98.12611	Ochotonidae	6.327597253316808	6.2895
Ochotona	6.7	5.9	42.69	-98.64721999999999	Ochotonidae	6.036943067673054	6.2895
Ochotona	1.8	0.3	66.599998	-161.899994	Ochotonidae	0.4843753000811151	0.4515
Ochotona	1.8	0.3	68.199997	-140.0	Ochotonidae	1.082239206691991	1.287
Ochotona	0.126	0.0117	68.199997	-140.0	Ochotonidae	0.04545651713236285	0.07035
Ochotona	1.8	0.3	68.199997	-140.0	Ochotonidae	0.9806960202301092	1.287
Ochotona	0.7809999999999999	0.126	63.073055	-139.312775	Ochotonidae	0.2151572661200441	0.4515
Ochotona	0.7809999999999999	0.126	67.849998	-139.766663	Ochotonidae	0.7547982119851897	0.4515
