species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Oleaceae	13.6	10.3	38.493889	-118.897222	Asterids	13.573868838421593	12.725000000000001
Oleaceae	20.43	15.97	39.2	-117.78333300000001	Asterids	19.262528899111878	18.205000000000002
Oleaceae	20.43	15.97	39.2	-117.78333300000001	Asterids	18.21013926206401	18.205000000000002
Oleaceae	20.43	15.97	39.25	-117.88333300000001	Asterids	17.158995967804735	18.205000000000002
Oleaceae	13.6	10.3	39.388611	-118.9725	Asterids	11.576170728199973	9.438
Oleaceae	10.0	10.0	36.419722	-82.476667	Asterids	10.0	9.438
Oleaceae	0.126	0.01	42.385556	-84.748333	Asterids	0.125126478746672	0.07035
Oleaceae	16.3	13.6	38.493889	-118.897222	Asterids	14.7356568046778	14.895
Oleaceae	1.81	0.7809999999999999	35.359722	-76.8175	Asterids	1.654581833239	1.287
Oleaceae	23.03	23.03	44.866667	-113.016667	Asterids	23.03	25.425
Oleaceae	20.43	15.97	39.25	-117.88333300000001	Asterids	16.197819363321553	18.205000000000002
Oleaceae	20.43	15.97	39.25	-117.88333300000001	Asterids	16.92780573485389	18.205000000000002
Oleaceae	13.6	10.3	44.95	-117.5	Asterids	12.543335305086227	12.725000000000001
Oleaceae	0.126	0.01	42.12	-85.906667	Asterids	0.10049103574648303	0.07035
Oleaceae	15.97	11.61	39.9	-119.55	Asterids	13.161840830153857	12.725000000000001
Oleaceae	27.82	23.03	44.77	-122.62	Asterids	24.66285862398356	25.425
