species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Ondatra	1.8	0.3	33.75	-99.5	Cricetidae	1.0365071125153664	1.287
Ondatra	1.8	0.3	39.599998	-78.699997	Cricetidae	0.3067298266687226	0.4515
Ondatra	0.126	0.0117	43.333332	-120.5	Cricetidae	0.053828923682344286	0.07035
Ondatra	0.7809999999999999	0.126	37.366669	-105.75	Cricetidae	0.4725836004339226	0.4515
Ondatra	1.8	0.3	39.799999	-95.0	Cricetidae	1.193005757696773	1.287
Ondatra	1.8	0.3	38.299999	-97.599998	Cricetidae	0.4796121220993357	0.4515
Ondatra	2.588	0.0117	38.605556	-79.370834	Cricetidae	1.2288712374706323	1.287
Ondatra	1.8	0.3	34.5	-101.300003	Cricetidae	1.4167820356580412	1.287
Ondatra	1.8	0.3	39.799999	-98.099998	Cricetidae	0.7560421091487258	0.4515
Ondatra	1.8	0.3	38.700001	-79.300003	Cricetidae	0.7743373791395676	1.287
Ondatra	1.8	0.3	34.5	-101.699997	Cricetidae	0.7524741555071548	0.4515
Ondatra	1.8	0.3	38.700001	-79.300003	Cricetidae	1.1856037019646113	1.287
Ondatra	1.8	0.3	40.200001	-99.400002	Cricetidae	1.798287673366035	1.287
Ondatra	1.8	0.3	33.75	-99.5	Cricetidae	0.5278235325600118	0.4515
Ondatra	0.126	0.0117	38.833332	-79.283333	Cricetidae	0.09113843809080743	0.07035
Ondatra	1.8	0.3	27.9	-81.800003	Cricetidae	0.8104486640706028	1.287
Ondatra	1.8	0.3	45.433334	-99.866669	Cricetidae	1.3500959694787618	1.287
Ondatra	1.8	0.3	39.799999	-98.099998	Cricetidae	0.8110937194786576	1.287
Ondatra	1.8	0.3	27.9	-81.800003	Cricetidae	1.062781556014198	1.287
Ondatra	2.588	0.0117	38.605556	-79.370834	Cricetidae	0.7910250168729639	1.287
Ondatra	1.8	0.3	37.200001	-100.300003	Cricetidae	1.7135047275168085	1.287
Ondatra	1.8	0.3	33.799999	-99.699997	Cricetidae	0.6365909218252674	0.4515
Ondatra	2.588	0.0117	38.700001	-79.300003	Cricetidae	0.6303829716984125	0.4515
Ondatra	1.8	0.3	36.0	-93.199997	Cricetidae	1.1753708799801617	1.287
Ondatra	1.8	0.3	35.0	-101.900002	Cricetidae	0.7642965553753145	0.4515
Ondatra	1.8	0.3	33.900002	-117.0	Cricetidae	0.7734182079619855	0.4515
Ondatra	4.9	1.8	39.900002	-97.699997	Cricetidae	4.48637091697639	4.4665
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	4.728842997369464	4.4665
Ondatra	4.9	1.8	37.200001	-100.300003	Cricetidae	2.7415896245095754	3.09
Ondatra	4.9	1.8	39.900002	-97.699997	Cricetidae	2.579552093327873	2.19
Ondatra	4.9	0.3	29.799999	-82.099998	Cricetidae	3.36287603652514	3.09
Ondatra	4.9	1.8	43.0	-118.0	Cricetidae	2.364593548282729	2.19
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	2.2971270914974578	2.19
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	2.9970671217457565	3.09
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	2.6882765771506456	3.09
Ondatra	1.8	0.3	30.299999	-97.699997	Cricetidae	0.4915356974986946	0.4515
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	3.7278754958329485	4.4665
Ondatra	1.8	0.3	29.011944	-82.668053	Cricetidae	1.7612631642117944	1.287
Ondatra	4.9	1.8	29.0	-82.68	Cricetidae	3.2622613035109977	3.09
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	2.995331328900612	3.09
Ondatra	1.8	0.3	32.0	-110.199997	Cricetidae	1.3708445068667559	1.287
Ondatra	1.8	0.3	32.900002	-117.099998	Cricetidae	0.3731693409042901	0.4515
Ondatra	4.9	1.8	33.0	-109.599998	Cricetidae	3.1271327984317043	3.09
Ondatra	4.9	1.8	32.0	-110.199997	Cricetidae	4.511653294835754	4.4665
Ondatra	4.9	1.8	43.0	-118.0	Cricetidae	3.1726388765798585	3.09
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	3.8719615050276897	4.4665
Ondatra	4.9	1.8	42.0	-101.0	Cricetidae	4.33777153646065	4.4665
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	3.2332880070621366	3.09
Ondatra	4.9	1.8	43.0	-118.0	Cricetidae	2.511595852875518	2.19
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	2.3677657039967417	2.19
Ondatra	4.9	1.8	42.900002	-116.0	Cricetidae	3.836578959491666	4.4665
Ondatra	1.8	0.3	38.799999	-119.5	Cricetidae	1.6765212889600674	1.287
Ondatra	1.8	0.3	40.200001	-75.300003	Cricetidae	1.6803123531305986	1.287
Ondatra	4.9	1.8	43.0	-118.0	Cricetidae	4.84044542135703	4.4665
Ondatra	4.9	1.8	43.0	-118.0	Cricetidae	4.52408963707537	4.4665
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	4.059442432408736	4.4665
Ondatra	1.8	0.3	27.041668	-81.821114	Cricetidae	1.5360874897352312	1.287
Ondatra	1.8	0.3	40.200001	-75.300003	Cricetidae	0.7565675628251324	0.4515
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	2.913706975546024	3.09
Ondatra	1.8	0.3	39.799999	-77.199997	Cricetidae	0.4208810657156045	0.4515
Ondatra	4.9	1.8	39.900002	-97.699997	Cricetidae	4.0284252205132365	4.4665
Ondatra	4.9	1.8	39.900002	-97.699997	Cricetidae	2.2282718542061155	2.19
Ondatra	4.9	1.8	39.900002	-97.699997	Cricetidae	2.011068200217235	2.19
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	4.36325622278299	4.4665
Ondatra	4.9	1.8	43.599998	-116.800003	Cricetidae	3.9955604930189885	4.4665
Ondatra	1.8	0.3	34.383331	-116.183334	Cricetidae	1.2398505487569338	1.287
Ondatra	4.9	1.8	37.200001	-100.300003	Cricetidae	3.525058468569705	3.09
Ondatra	4.9	1.8	34.5	-112.5	Cricetidae	1.9304289613526249	2.19
Ondatra	4.9	1.8	43.900002	-110.800003	Cricetidae	2.6070754412460664	3.09
Ondatra	4.9	1.8	42.700001	-100.0	Cricetidae	2.656249423692216	3.09
Ondatra	4.9	1.8	41.700001	-103.099998	Cricetidae	1.823053183114439	2.19
Ondatra	4.9	1.8	37.5	-98.0	Cricetidae	3.303372620983934	3.09
Ondatra	4.9	1.8	42.816666	-114.949997	Cricetidae	2.486813753451002	2.19
